Names,HDPE_R1,HDPE_R2,HDPE_R3,Mean,Std. Dev.
172,220.0,242.4,256.5,239.7,18.4
173,225.7,248.9,259.6,244.7,17.3
174,230.8,257.1,269.0,252.3,19.6
175,238.7,263.5,275.7,259.3,18.9
176,240.7,271.1,289.8,267.2,24.8
177,251.7,270.6,296.6,273.0,22.5
178,263.9,281.4,308.1,284.5,22.3
179,264.1,283.7,299.6,282.5,17.8
180,268.1,292.8,317.2,292.7,24.5
181,277.3,303.2,330.2,303.6,26.4
182,282.9,311.1,335.4,309.8,26.2
183,290.1,328.5,338.4,319.0,25.5
184,308.1,334.0,337.0,326.3,15.9
185,301.9,338.9,363.9,334.9,31.2
186,315.7,352.2,360.1,342.7,23.7
187,329.3,359.9,364.2,351.1,19.0
188,331.3,373.9,380.8,362.0,26.8
189,326.6,379.8,384.6,363.7,32.2
190,335.3,397.5,396.1,376.3,35.5
191,346.0,404.9,387.5,379.5,30.3
192,351.2,421.2,384.3,385.6,35.0
193,355.3,423.8,393.5,390.9,34.3
194,365.7,439.8,413.5,406.3,37.6
195,364.2,444.0,425.7,411.3,41.8
196,387.1,442.0,433.4,420.8,29.5
197,368.3,454.3,442.2,421.6,46.6
198,379.6,477.2,442.7,433.2,49.5
199,393.6,449.2,446.9,429.9,31.5
200,393.1,482.7,468.9,448.2,48.3
201,397.2,518.7,453.1,456.3,60.8
202,422.6,489.0,457.9,456.5,33.2
203,410.8,495.5,473.7,460.0,44.0
204,426.0,502.4,495.8,474.7,42.4
205,431.6,513.9,486.3,477.3,41.9
206,434.7,528.0,491.3,484.7,47.0
207,443.0,518.9,502.3,488.1,39.9
208,440.7,556.3,492.6,496.6,57.9
209,456.6,534.2,528.8,506.5,43.3
210,463.5,537.4,512.4,504.4,37.6
211,448.7,557.5,534.8,513.7,57.4
212,461.4,565.1,542.9,523.1,54.6
213,464.2,593.5,560.9,539.5,67.3
214,473.9,612.6,544.6,543.7,69.4
215,486.9,610.6,572.7,556.7,63.4
216,479.0,607.9,560.5,549.2,65.2
217,492.9,581.4,564.3,546.2,46.9
218,497.6,639.9,569.4,568.9,71.2
219,494.3,630.7,543.0,556.0,69.1
220,502.3,642.8,606.3,583.8,72.9
221,516.7,658.5,586.8,587.4,70.9
222,515.3,640.3,596.8,584.1,63.5
223,504.0,669.4,602.3,591.9,83.2
224,500.2,669.1,587.5,585.6,84.5
225,534.2,669.0,639.2,614.1,70.8
226,523.5,666.8,611.2,600.5,72.2
227,542.4,703.3,616.6,620.8,80.5
228,545.3,721.2,651.7,639.4,88.6
229,551.2,720.6,671.6,647.8,87.2
230,564.5,692.7,663.7,640.3,67.3
231,578.7,711.1,694.3,661.4,72.1
232,574.0,775.0,666.2,671.7,100.6
233,576.8,733.3,713.0,674.4,85.1
234,589.9,779.7,709.1,692.9,95.9
235,597.5,722.0,711.2,676.9,69.0
236,628.3,719.9,715.7,688.0,51.7
237,626.1,782.7,710.7,706.5,78.4
238,635.7,727.4,708.1,690.4,48.3
239,629.9,736.3,768.0,711.4,72.4
240,650.0,800.2,778.6,742.9,81.2
241,682.6,792.5,768.8,748.0,57.9
242,657.9,800.1,777.6,745.2,76.5
243,670.6,837.3,763.9,757.3,83.6
244,706.5,796.9,820.3,774.6,60.1
245,693.5,840.3,782.9,772.2,74.0
246,688.3,836.4,855.9,793.6,91.6
247,699.8,889.8,786.5,792.0,95.1
248,735.9,815.3,819.7,790.3,47.1
249,728.5,891.3,825.8,815.2,81.9
250,727.8,854.1,896.5,826.1,87.8
251,701.1,870.4,823.0,798.2,87.3
252,739.2,884.4,854.7,826.1,76.7
253,794.7,921.4,845.4,853.8,63.8
254,796.8,901.4,888.9,862.4,57.2
255,770.1,910.3,903.3,861.3,79.0
256,784.7,924.6,897.7,869.0,74.2
257,806.7,959.4,890.5,885.6,76.5
258,830.6,886.7,998.3,905.2,85.4
259,847.8,925.9,946.1,906.6,51.9
260,839.5,944.7,890.4,891.5,52.6
261,820.2,963.3,889.1,890.9,71.5
262,896.1,952.0,954.7,934.3,33.1
263,835.8,972.8,951.2,919.9,73.6
264,903.7,961.6,984.7,950.0,41.7
265,945.3,952.5,996.5,964.8,27.7
266,944.1,957.4,1071.1,990.8,69.8
267,996.8,1036.4,997.0,1010.1,22.8
268,993.3,1052.6,1018.6,1021.5,29.7
269,970.7,992.5,1102.2,1021.8,70.5
270,940.5,1092.0,1008.2,1013.6,75.9
271,1030.9,1085.9,1085.4,1067.4,31.6
272,1094.5,1006.1,1054.1,1051.6,44.2
273,942.6,1081.7,1156.7,1060.3,108.7
274,1008.1,1139.6,1186.8,1111.5,92.6
275,1199.1,1152.8,1071.7,1141.2,64.5
276,1044.1,1095.0,1026.8,1055.3,35.5
277,1057.7,1072.1,1110.4,1080.1,27.3
278,1224.3,1089.5,1152.2,1155.3,67.5
279,1183.4,1246.4,1223.4,1217.7,31.9
280,1010.4,1179.7,1145.6,1111.9,89.5
281,1106.6,1168.6,1163.1,1146.1,34.3
282,1138.8,1081.2,1095.8,1105.2,30.0
283,1164.9,1223.1,1163.7,1183.9,34.0
284,1249.8,1337.6,1204.4,1263.9,67.7
285,1130.1,1269.9,1237.0,1212.3,73.1
286,1237.1,1319.4,1162.9,1239.8,78.3
287,1188.1,1232.2,1375.0,1265.1,97.7
288,1144.6,1397.8,1230.3,1257.6,128.8
289,1138.8,1304.5,1337.3,1260.2,106.4
290,1164.1,1279.8,1323.1,1255.7,82.2
291,1338.8,1502.7,1271.3,1370.9,119.0
292,1304.6,1442.4,1193.2,1313.4,124.8
293,1391.7,1482.2,1215.7,1363.2,135.5
294,1174.5,1395.2,1398.5,1322.7,128.4
295,1279.8,1542.6,1296.4,1372.9,147.2
296,1416.6,1482.3,1281.4,1393.5,102.4
297,1357.4,1404.5,1242.0,1334.6,83.6
298,1387.9,1238.4,1539.3,1388.5,150.5
299,1500.3,1388.1,1374.0,1420.8,69.2
300,1435.3,1539.3,1536.6,1503.7,59.3
301,1381.8,1643.3,1348.3,1457.8,161.5
302,1397.1,1404.4,1417.5,1406.4,10.3
303,1486.3,1417.4,1392.6,1432.1,48.5
304,1302.0,1591.4,1511.2,1468.2,149.4
305,1444.2,1361.3,1280.8,1362.1,81.7
306,1555.6,1594.1,1412.4,1520.7,95.7
307,1538.1,1655.3,1591.4,1594.9,58.7
308,1663.9,1705.2,1432.9,1600.6,146.8
309,1454.3,1725.4,1437.3,1539.0,161.6
310,1498.3,1838.8,1389.3,1575.5,234.5
311,1569.7,1627.0,1358.2,1518.3,141.6
312,1416.0,1594.1,1375.8,1462.0,116.2
313,1574.3,1740.2,1332.4,1549.0,205.1
314,1661.5,1672.2,1580.5,1638.1,50.2
315,1608.3,1698.2,1503.3,1603.3,97.5
316,1588.2,1709.6,1558.3,1618.7,80.2
317,1522.3,1864.2,1754.4,1713.6,174.6
318,1524.0,1771.9,1592.9,1629.6,127.9
319,1634.9,1836.1,1636.7,1702.6,115.7
320,1726.9,1560.7,1749.9,1679.2,103.2
321,1599.0,1692.2,1777.9,1689.7,89.5
322,1493.2,1764.2,1815.5,1691.0,173.2
323,1459.2,1832.8,1579.9,1624.0,190.7
324,1787.2,1781.8,1887.8,1818.9,59.7
325,1837.2,1863.2,1932.5,1877.6,49.3
326,1538.6,2017.0,1752.4,1769.4,239.7
327,1603.2,1717.4,1758.9,1693.2,80.6
328,1748.4,2003.5,1811.5,1854.4,132.9
329,1629.3,1906.7,1820.1,1785.4,141.9
330,1664.8,1964.7,1666.6,1765.4,172.6
331,1745.2,2060.1,1650.0,1818.4,214.7
332,1821.4,1864.9,1712.3,1799.5,78.6
333,1696.5,1813.1,1807.4,1772.3,65.8
334,1670.3,1985.2,1719.1,1791.5,169.5
335,2136.4,1562.1,1788.8,1829.1,289.2
336,1511.9,1573.5,1555.5,1547.0,31.7
337,1607.2,2097.3,2005.9,1903.4,260.6
338,2090.2,1987.2,1958.8,2012.1,69.1
339,1880.8,1960.6,1827.9,1889.8,66.8
340,1955.6,1863.6,2110.5,1976.6,124.8
341,1727.0,2076.4,1768.2,1857.2,191.0
342,2087.2,1865.4,2062.1,2004.9,121.5
343,1845.0,1983.7,2005.5,1944.7,87.0
344,1864.6,2048.2,1696.0,1869.6,176.1
345,1744.1,2123.7,2008.4,1958.7,194.6
346,1741.8,1877.5,1964.1,1861.1,112.0
347,1718.9,1699.4,1968.0,1795.4,149.8
348,2063.7,1950.0,1804.2,1939.3,130.1
349,1894.3,2300.6,2046.2,2080.4,205.3
350,1643.7,1769.2,2265.3,1892.7,328.7
351,1982.4,2370.1,1866.3,2073.0,263.8
352,2062.6,1996.9,1734.7,1931.4,173.5
353,1850.3,1689.0,2186.9,1908.7,254.0
354,1884.4,2473.8,2014.9,2124.4,309.6
355,2154.4,2227.7,1951.9,2111.3,142.9
356,1996.6,2148.7,1698.8,1948.0,228.8
357,2179.6,1976.2,2182.7,2112.8,118.3
358,2410.9,2165.9,1960.6,2179.1,225.5
359,1915.3,1996.1,2348.6,2086.6,230.4
360,2283.4,1991.3,1990.8,2088.5,168.8
361,2513.3,2181.6,2134.2,2276.4,206.6
362,1795.5,1750.3,1979.0,1841.6,121.1
363,1868.3,2216.5,1997.1,2027.3,176.1
364,2174.5,1960.6,1830.7,1988.6,173.6
365,2275.6,2420.6,1894.3,2196.8,271.9
366,2088.1,2126.4,1864.9,2026.5,141.2
367,2499.0,1904.5,1954.9,2119.5,329.6
368,2237.3,2409.4,2586.0,2410.9,174.4
369,1696.6,2135.2,2197.7,2009.9,273.1
370,2501.5,2323.7,1737.4,2187.5,399.8
371,2133.6,2201.5,2493.8,2276.3,191.4
372,2462.2,2272.4,2062.0,2265.5,200.2
373,2531.3,1881.4,1721.7,2044.8,428.8
374,2345.6,2483.2,2044.4,2291.1,224.4
375,2117.7,1903.8,2198.4,2073.3,152.3
376,1778.0,1783.1,2057.6,1872.9,159.9
377,2190.3,2545.2,2202.0,2312.5,201.6
378,2234.8,2314.5,2186.3,2245.2,64.7
379,2336.0,2102.4,2447.6,2295.4,176.2
380,2820.1,2266.4,2505.2,2530.6,277.7
381,2535.6,2321.4,1828.9,2228.6,362.3
382,1910.9,2473.8,1745.2,2043.3,381.9
383,2513.7,1978.1,1754.1,2082.0,390.3
384,2771.2,2238.2,2428.8,2479.4,270.1
385,1716.0,2223.9,1962.8,1967.6,254.0
386,2007.1,2393.2,2440.2,2280.2,237.7
387,2113.2,2209.1,1693.2,2005.1,274.4
388,2375.0,2340.6,2016.2,2243.9,198.0
389,2347.3,2466.4,2289.9,2367.9,90.0
390,1957.8,2408.6,2233.4,2199.9,227.2
391,2556.3,2498.4,2575.5,2543.4,40.1
392,2790.3,2460.7,2020.5,2423.8,386.2
393,2537.4,2286.0,2178.3,2333.9,184.3
394,2944.7,2135.7,2434.0,2504.8,409.1
395,2383.7,2594.5,2187.4,2388.5,203.6
396,2520.0,2260.0,2357.6,2379.2,131.3
397,1804.2,3009.9,2101.2,2305.1,628.1
398,2639.7,2700.8,1797.8,2379.4,504.6
399,2728.3,2513.4,2558.8,2600.1,113.2
400,2439.4,3017.0,2057.2,2504.6,483.2
401,2554.4,2085.2,1803.2,2147.6,379.5
402,2571.5,2808.8,2361.4,2580.6,223.8
403,2617.7,1918.1,1925.9,2153.9,401.7
404,2372.0,2910.4,1952.6,2411.7,480.1
405,2827.2,2785.2,2353.5,2655.3,262.2
406,3072.3,2780.9,2350.0,2734.4,363.4
407,2524.4,2733.9,2394.9,2551.1,171.1
408,1768.4,2585.1,2036.9,2130.1,416.2
409,2441.5,2661.8,2662.7,2588.7,127.5
410,2966.8,3266.3,2113.7,2782.3,598.1
411,2492.5,2387.2,2625.9,2501.9,119.6
412,2466.6,2329.0,2709.7,2501.8,192.8
413,3145.1,3152.6,2653.9,2983.9,285.8
414,2689.0,3185.9,2559.4,2811.4,330.7
415,2801.5,2668.0,2658.5,2709.3,79.9
416,2771.2,2895.8,2320.3,2662.4,302.8
417,2779.3,2717.4,2537.2,2678.0,125.8
418,2828.0,2576.1,2653.0,2685.7,129.1
419,2638.2,2733.7,2200.3,2524.1,284.4
420,2772.8,2997.4,2158.7,2642.9,434.2
421,1885.6,2436.2,2297.9,2206.6,286.4
422,2579.1,2230.9,2077.9,2295.9,256.9
423,2904.3,2250.0,2389.8,2514.7,344.6
424,2437.2,2733.8,2490.8,2553.9,158.1
425,2792.0,3149.4,2990.8,2977.4,179.0
426,2812.7,2243.0,2229.3,2428.3,332.9
427,2742.4,2564.1,2568.4,2625.0,101.7
428,2636.6,2494.3,2655.5,2595.5,88.1
429,2908.1,2009.3,2064.7,2327.3,503.7
430,2564.6,2588.0,1957.4,2370.0,357.5
431,3032.5,2488.8,2682.0,2734.4,275.6
432,2257.3,2830.3,2617.4,2568.4,289.6
433,2935.6,2383.1,2289.4,2536.0,349.2
434,2993.0,2271.1,2685.8,2650.0,362.3
435,3144.4,2696.4,2206.8,2682.6,469.0
436,2669.2,2248.4,2076.3,2331.3,305.0
437,2990.3,2470.3,2696.3,2719.0,260.7
438,2899.0,2207.3,2908.3,2671.5,402.0
439,2804.7,2835.0,2404.6,2681.4,240.2
440,3039.3,2468.7,2602.8,2703.6,298.4
441,3140.8,2482.5,2617.0,2746.8,347.8
442,3321.4,2480.6,2364.6,2722.2,522.2
443,2158.2,2477.6,2706.8,2447.5,275.5
444,2798.5,2629.4,2567.9,2665.3,119.4
445,2572.4,1924.0,2398.0,2298.1,335.5
446,3166.0,2472.0,2302.6,2646.9,457.5
447,2366.8,2883.7,2413.1,2554.5,286.0
448,2894.8,2443.6,2753.6,2697.4,230.8
449,3168.6,2486.6,2264.7,2640.0,471.1
450,2506.2,2078.2,2756.3,2446.9,343.0
451,2808.7,2057.9,2131.6,2332.7,413.9
452,2907.3,2385.3,2416.5,2569.7,292.8
453,2576.9,2187.0,2190.1,2318.0,224.2
454,3250.7,2760.0,2829.2,2946.6,265.6
455,3036.0,2110.3,2408.5,2518.3,472.5
456,2844.4,2671.0,1936.6,2484.0,481.9
457,2147.7,1972.9,2901.9,2340.9,493.7
458,2799.6,2548.7,2413.4,2587.2,196.0
459,3243.6,2326.7,2199.3,2589.9,569.7
460,2752.9,2664.8,2664.8,2694.2,50.9
461,2709.3,2436.1,2692.9,2612.8,153.2
462,2967.8,2336.6,2395.0,2566.5,348.8
463,2989.7,2122.6,2768.5,2626.9,450.6
464,2907.5,2132.5,2879.7,2639.9,439.6
465,3001.5,1973.6,2693.7,2556.2,527.5
466,2757.0,2249.6,2771.3,2592.6,297.2
467,2722.6,2592.3,2519.3,2611.4,103.0
468,3026.0,2264.8,2931.2,2740.7,414.9
469,2370.3,2603.0,2805.2,2592.8,217.6
470,2788.7,2245.1,1621.7,2218.5,584.0
471,2555.7,2015.5,2397.4,2322.9,277.7
472,2294.5,2413.6,2763.7,2490.6,243.9
473,2594.7,2323.8,2957.5,2625.3,317.9
474,2507.0,2378.2,2266.2,2383.8,120.5
475,2755.7,2517.9,2560.6,2611.4,126.8
476,2524.9,1923.5,2720.1,2389.5,415.2
477,2121.0,2114.9,2585.4,2273.8,269.9
478,2151.3,2210.5,3090.5,2484.1,526.0
479,2517.1,2045.8,2816.4,2459.7,388.5
480,2286.6,1884.2,2137.6,2102.8,203.4
481,2458.0,2204.3,2725.4,2462.6,260.6
482,2167.3,2278.7,2162.6,2202.9,65.7
483,2327.5,2144.6,2605.7,2359.3,232.2
484,2351.9,2013.3,2760.3,2375.2,374.1
485,2004.6,2272.8,2636.9,2304.8,317.4
486,2037.5,2208.5,2260.1,2168.7,116.5
487,2210.3,1954.2,2073.9,2079.5,128.1
488,2112.7,2204.6,2527.0,2281.5,217.6
489,2066.0,2185.4,2762.4,2337.9,372.4
490,1898.7,2092.7,2404.6,2132.0,255.2
491,2050.8,2177.1,2290.5,2172.8,119.9
492,1952.4,2160.5,2500.4,2204.4,276.6
493,2019.7,1997.4,2468.9,2162.0,266.1
494,1872.8,2013.0,1970.3,1952.0,71.8
495,1936.4,1943.7,2442.8,2107.6,290.3
496,1851.5,2044.1,2464.1,2119.9,313.3
497,1732.8,2127.4,2108.8,1989.7,222.6
498,1788.6,1995.1,2209.9,1997.9,210.7
499,1791.5,1924.7,2273.2,1996.5,248.8
500,1764.6,1847.8,2351.8,1988.1,317.8
501,1779.8,1835.9,2201.2,1939.0,228.8
502,1673.5,1851.4,2121.4,1882.1,225.6
503,1689.1,1771.0,2254.5,1904.9,305.6
504,1651.8,1770.8,2207.8,1876.8,292.7
505,1637.8,1716.7,2110.0,1821.5,252.9
506,1657.8,1703.3,2065.5,1808.9,223.4
507,1592.3,1639.5,2002.6,1744.8,224.5
508,1530.9,1608.8,1985.9,1708.5,243.3
509,1477.9,1582.7,1980.7,1680.4,265.3
510,1445.0,1529.9,1985.5,1653.5,290.6
511,1406.1,1475.5,1924.2,1601.9,281.2
512,1344.2,1430.5,1853.4,1542.7,272.6
513,1273.5,1371.7,1827.3,1490.8,295.5
514,1243.5,1344.9,1778.1,1455.5,284.0
515,1194.8,1275.2,1684.7,1384.9,262.7
516,1132.2,1207.2,1676.2,1338.5,294.8
517,1069.6,1137.7,1611.7,1273.0,295.3
518,1031.9,1079.5,1552.9,1221.4,288.0
519,983.0,1022.6,1485.3,1163.6,279.3
520,928.6,985.0,1423.6,1112.4,271.0
521,859.7,939.4,1342.3,1047.1,258.7
522,828.5,880.9,,854.7,37.0
