Names,Roof_Felt_R1,Roof_Felt_R2,Roof_Felt_R3,Mean,Std. Dev.
332,64.3,146.1,86.7,99.1,42.3
333,64.2,145.0,87.4,98.9,41.6
334,62.8,146.5,86.3,98.5,43.2
335,63.1,143.7,84.8,97.2,41.7
336,62.0,142.4,83.8,96.1,41.6
337,61.3,141.5,81.3,94.7,41.8
338,60.8,141.5,80.4,94.2,42.1
339,59.7,141.8,78.8,93.4,43.0
340,58.8,139.6,77.4,92.0,42.3
341,57.3,141.1,76.1,91.5,44.0
342,57.6,137.2,74.5,89.8,41.9
343,57.1,139.8,72.7,89.9,43.9
344,55.7,136.6,71.3,87.9,42.9
345,54.8,135.3,69.6,86.6,42.8
346,55.1,133.8,70.1,86.3,41.8
347,54.5,134.5,68.8,85.9,42.7
348,54.0,133.1,66.9,84.7,42.5
349,53.6,132.3,66.5,84.2,42.2
350,53.1,131.9,64.8,83.3,42.5
351,52.7,131.8,64.1,82.9,42.8
352,52.3,129.4,62.9,81.5,41.8
353,52.0,128.7,62.0,80.9,41.7
354,51.8,126.4,61.6,80.0,40.6
355,51.4,128.9,60.7,80.3,42.3
356,50.3,126.4,59.6,78.8,41.5
357,50.5,126.4,58.3,78.4,41.8
358,50.1,124.2,58.9,77.7,40.5
359,50.3,125.1,57.0,77.5,41.3
360,49.3,123.5,56.6,76.5,40.9
361,49.4,120.8,55.9,75.3,39.5
362,48.9,120.6,54.6,74.7,39.8
363,49.6,119.7,55.1,74.8,39.0
364,48.3,118.6,52.9,73.2,39.3
365,48.5,116.2,52.4,72.4,38.0
366,47.7,115.5,51.8,71.7,38.0
367,47.4,114.3,51.3,71.0,37.5
368,48.1,111.8,50.1,70.0,36.2
369,47.3,111.9,49.1,69.4,36.8
370,46.6,109.8,48.6,68.3,35.9
371,47.0,108.5,47.7,67.7,35.3
372,47.1,106.0,47.5,66.9,33.9
373,46.5,107.3,47.1,67.0,35.0
374,46.5,105.7,46.2,66.1,34.3
375,45.7,102.4,46.6,64.9,32.5
376,44.9,102.6,46.1,64.5,33.0
377,44.5,102.2,46.1,64.2,32.9
378,44.1,101.3,45.3,63.6,32.7
379,44.5,100.9,45.3,63.6,32.3
380,42.6,98.0,44.6,61.7,31.4
381,42.5,97.3,45.0,61.6,31.0
382,42.4,96.1,44.4,61.0,30.4
383,42.0,96.2,43.8,60.7,30.8
384,41.5,94.2,42.7,59.5,30.1
385,40.5,92.6,44.2,59.1,29.1
386,40.2,92.7,43.6,58.9,29.4
387,40.1,92.6,43.8,58.8,29.3
388,39.4,90.6,43.5,57.8,28.4
389,39.7,90.5,43.4,57.8,28.3
390,39.6,87.4,43.7,56.9,26.5
391,39.0,87.2,43.8,56.7,26.6
392,38.8,86.3,,62.6,33.6
393,38.0,85.0,,61.5,33.3
394,38.0,82.9,,60.4,31.7
395,38.3,81.3,,59.8,30.4
396,37.9,80.8,,59.4,30.3
397,37.6,80.5,,59.0,30.3
398,37.5,79.3,,58.4,29.5
399,37.1,77.9,,57.5,28.9
400,37.3,78.5,,57.9,29.1
401,36.5,76.3,,56.4,28.1
402,36.4,74.7,,55.5,27.1
403,36.3,73.7,,55.0,26.5
404,35.9,74.0,,55.0,27.0
405,35.3,73.0,,54.2,26.7
406,35.5,72.3,,53.9,26.0
407,35.8,71.2,,53.5,25.1
408,35.0,72.1,,53.5,26.2
409,34.6,70.8,,52.7,25.6
410,34.3,69.6,,51.9,25.0
411,34.3,69.3,,51.8,24.7
412,34.2,70.2,,52.2,25.5
413,33.9,69.2,,51.5,25.0
414,33.4,68.7,,51.1,24.9
415,33.3,68.4,,50.9,24.8
416,33.2,67.6,,50.4,24.4
417,33.1,67.6,,50.4,24.4
418,32.8,67.2,,50.0,24.3
419,32.6,67.5,,50.1,24.7
420,32.4,67.0,,49.7,24.5
421,32.9,66.9,,49.9,24.0
422,32.4,65.9,,49.2,23.7
423,32.6,66.4,,49.5,23.8
424,32.0,66.3,,49.2,24.2
425,32.3,65.7,,49.0,23.6
426,32.1,64.8,,48.4,23.1
427,31.5,64.7,,48.1,23.5
428,31.5,65.9,,48.7,24.3
429,31.5,63.4,,47.4,22.6
430,31.3,63.4,,47.4,22.7
431,31.1,62.5,,46.8,22.2
432,31.5,62.8,,47.2,22.2
433,31.5,62.8,,47.2,22.1
434,31.1,61.6,,46.4,21.6
435,30.9,62.0,,46.5,22.0
436,31.3,62.2,,46.7,21.9
437,30.8,61.2,,46.0,21.5
