Time after Ignition,LDPE_R1,LDPE_R2,LDPE_R3,Mean,Std. Dev.
21.25,85.8,66.9,50.1,67.6,17.9
21.5,87.2,68.7,50.3,68.7,18.5
21.75,87.1,69.2,51.2,69.2,18.0
22.0,89.7,68.2,51.7,69.9,19.0
22.25,90.7,69.0,51.7,70.5,19.5
22.5,90.2,70.2,52.3,70.9,18.9
22.75,91.5,70.1,53.4,71.7,19.1
23.0,93.7,70.4,54.1,72.7,19.9
23.25,93.7,70.4,53.7,72.6,20.1
23.5,96.0,71.6,54.8,74.1,20.7
23.75,96.4,71.8,56.0,74.7,20.3
24.0,96.0,72.2,55.8,74.7,20.2
24.25,99.0,73.2,56.9,76.4,21.2
24.5,99.4,74.5,57.4,77.1,21.1
24.75,99.8,75.1,58.0,77.6,21.1
25.0,102.4,76.9,58.1,79.1,22.2
25.25,103.8,76.0,58.3,79.4,23.0
25.5,103.9,77.1,59.4,80.1,22.4
25.75,105.4,77.9,59.5,80.9,23.1
26.0,105.1,77.1,59.0,80.4,23.2
26.25,107.2,79.9,60.6,82.6,23.4
26.5,107.0,79.2,61.5,82.6,23.0
26.75,107.7,81.4,61.0,83.4,23.4
27.0,109.1,81.2,61.4,83.9,23.9
27.25,110.3,82.9,62.5,85.2,24.0
27.5,112.4,82.2,63.8,86.1,24.5
27.75,112.2,83.2,63.4,86.2,24.5
28.0,112.0,83.5,65.2,86.9,23.6
28.25,114.6,84.6,65.5,88.2,24.7
28.5,114.3,86.4,66.1,88.9,24.2
28.75,116.3,85.7,67.6,89.8,24.6
29.0,114.4,86.3,67.6,89.4,23.6
29.25,118.1,88.6,68.6,91.8,24.9
29.5,117.9,90.3,69.4,92.5,24.3
29.75,117.4,90.3,71.2,93.0,23.2
30.0,119.6,91.5,70.2,93.8,24.8
30.25,118.5,90.9,71.6,93.6,23.5
30.5,120.3,91.7,73.6,95.2,23.6
30.75,122.6,91.9,74.9,96.5,24.2
31.0,122.5,91.8,73.4,95.9,24.8
31.25,123.8,93.3,75.0,97.4,24.7
31.5,124.4,93.6,76.1,98.0,24.5
31.75,125.2,95.1,77.3,99.2,24.2
32.0,125.3,95.0,77.2,99.2,24.3
32.25,126.8,95.5,76.9,99.7,25.2
32.5,126.1,96.2,78.1,100.1,24.2
32.75,126.1,98.6,78.6,101.1,23.8
33.0,128.7,98.0,81.0,102.6,24.2
33.25,128.3,98.9,80.8,102.7,23.9
33.5,127.6,99.6,81.6,102.9,23.1
33.75,129.0,101.0,81.9,104.0,23.7
34.0,130.2,100.3,83.1,104.5,23.9
34.25,131.6,99.1,83.6,104.8,24.5
34.5,131.4,100.7,85.3,105.8,23.5
34.75,129.9,101.6,85.0,105.5,22.7
35.0,132.3,102.2,86.4,106.9,23.3
35.25,132.1,103.9,88.4,108.1,22.2
35.5,134.9,103.9,88.1,109.0,23.8
35.75,133.9,104.9,89.9,109.6,22.4
36.0,135.8,106.4,89.9,110.7,23.2
36.25,135.6,106.5,94.0,112.0,21.3
36.5,137.0,108.1,93.6,112.9,22.1
36.75,138.2,110.3,93.9,114.1,22.4
37.0,139.3,110.9,95.7,115.3,22.1
37.25,139.3,110.4,95.8,115.2,22.2
37.5,141.3,110.8,94.5,115.6,23.8
37.75,138.8,111.9,97.1,115.9,21.1
38.0,141.5,113.4,99.1,118.0,21.5
38.25,141.7,115.6,99.7,119.0,21.2
38.5,143.3,115.4,99.8,119.5,22.0
38.75,144.4,117.2,100.3,120.6,22.3
39.0,144.1,118.5,102.2,121.6,21.1
39.25,146.7,119.2,101.4,122.5,22.8
39.5,146.6,118.0,101.0,121.9,23.0
39.75,147.3,118.7,104.4,123.5,21.8
40.0,145.2,120.0,106.2,123.8,19.8
40.25,149.7,120.4,105.6,125.2,22.5
40.5,148.7,120.1,107.1,125.3,21.3
40.75,149.4,122.3,106.8,126.2,21.6
41.0,149.5,123.7,104.6,125.9,22.6
41.25,152.5,123.4,108.8,128.2,22.2
41.5,150.4,124.0,107.9,127.4,21.4
41.75,152.5,124.7,109.9,129.1,21.6
42.0,151.0,124.3,110.9,128.7,20.4
42.25,153.0,124.7,111.9,129.8,21.0
42.5,155.4,126.9,112.6,131.6,21.8
42.75,151.6,129.6,115.3,132.1,18.3
43.0,153.0,127.6,115.9,132.2,19.0
43.25,152.9,128.5,113.6,131.7,19.9
43.5,154.0,130.4,116.6,133.6,18.9
43.75,156.6,127.6,117.8,134.0,20.2
44.0,156.1,132.4,120.5,136.3,18.1
44.25,157.5,128.2,121.3,135.7,19.2
44.5,158.1,132.5,123.1,137.9,18.1
44.75,160.7,131.2,121.1,137.7,20.6
45.0,160.1,134.9,124.0,139.7,18.5
45.25,161.0,132.1,123.1,138.7,19.8
45.5,160.5,135.2,126.0,140.6,17.9
45.75,161.5,134.5,128.9,141.6,17.4
46.0,162.8,138.0,129.1,143.3,17.5
46.25,167.6,139.1,127.4,144.7,20.7
46.5,166.0,138.5,131.7,145.4,18.2
46.75,166.0,139.3,133.8,146.4,17.2
47.0,167.8,142.1,131.0,147.0,18.8
47.25,170.0,140.4,134.5,148.3,19.0
47.5,171.1,142.2,135.7,149.7,18.8
47.75,171.4,143.2,134.8,149.8,19.2
48.0,169.4,142.5,136.5,149.5,17.5
48.25,176.1,144.1,141.1,153.8,19.4
48.5,176.1,144.7,136.4,152.4,21.0
48.75,175.5,145.4,138.3,153.1,19.8
49.0,179.3,147.8,140.3,155.8,20.7
49.25,176.2,146.7,140.1,154.4,19.2
49.5,183.2,148.6,139.6,157.1,23.0
49.75,182.2,150.8,140.8,157.9,21.6
50.0,178.9,153.3,142.6,158.3,18.7
50.25,179.4,149.5,144.3,157.7,18.9
50.5,182.1,151.0,144.4,159.2,20.1
50.75,189.0,154.7,148.1,163.9,22.0
51.0,187.8,154.6,149.2,163.9,20.9
51.25,188.9,155.5,149.3,164.6,21.3
51.5,192.7,156.7,151.5,167.0,22.5
51.75,191.0,153.2,146.9,163.7,23.8
52.0,195.6,155.2,152.0,167.6,24.3
52.25,198.2,157.0,151.3,168.8,25.6
52.5,196.4,158.9,152.3,169.2,23.8
52.75,198.0,157.7,154.0,169.9,24.4
53.0,199.6,157.5,154.4,170.5,25.3
53.25,198.5,160.2,157.2,172.0,23.0
53.5,201.2,162.1,158.1,173.8,23.8
53.75,200.3,161.3,155.6,172.4,24.4
54.0,199.7,164.5,156.7,173.6,22.9
54.25,205.5,162.6,160.1,176.1,25.5
54.5,205.1,165.2,159.9,176.8,24.7
54.75,204.8,166.7,159.4,177.0,24.4
55.0,209.2,168.8,161.8,179.9,25.6
55.25,207.5,166.8,162.0,178.8,25.0
55.5,209.5,167.0,162.1,179.5,26.0
55.75,213.5,169.4,162.6,181.8,27.6
56.0,212.5,166.3,162.7,180.5,27.8
56.25,210.9,171.2,165.0,182.4,24.9
56.5,214.6,170.8,168.7,184.7,25.9
56.75,213.5,171.9,165.0,183.5,26.2
57.0,216.7,170.9,168.8,185.4,27.1
57.25,221.8,174.2,171.6,189.2,28.3
57.5,221.1,173.2,172.0,188.8,28.0
57.75,222.4,176.8,172.1,190.4,27.8
58.0,223.0,176.1,175.9,191.7,27.2
58.25,225.3,177.9,176.2,193.2,27.9
58.5,231.2,180.1,174.8,195.3,31.2
58.75,234.6,180.7,176.0,197.1,32.6
59.0,231.7,184.3,178.4,198.1,29.3
59.25,239.4,182.3,179.1,200.3,33.9
59.5,242.0,185.8,179.7,202.5,34.3
59.75,242.0,186.3,182.1,203.5,33.4
60.0,254.3,189.9,179.6,208.0,40.5
60.25,244.2,190.9,184.5,206.5,32.8
60.5,250.5,198.3,185.6,211.5,34.4
60.75,249.1,191.8,185.3,208.7,35.1
61.0,254.9,194.4,185.0,211.5,37.9
61.25,257.0,199.0,184.5,213.5,38.3
61.5,258.1,203.0,186.6,215.9,37.5
61.75,257.3,202.8,189.0,216.4,36.1
62.0,265.0,203.2,191.7,220.0,39.4
62.25,264.6,206.8,190.7,220.7,38.8
62.5,268.8,205.1,190.6,221.5,41.6
62.75,266.9,212.0,191.3,223.4,39.1
63.0,263.6,208.6,192.7,221.6,37.2
63.25,271.7,213.9,192.5,226.0,41.0
63.5,270.1,211.7,199.1,227.0,37.8
63.75,274.4,218.7,199.7,230.9,38.8
64.0,274.0,217.7,198.9,230.2,39.1
64.25,280.0,216.5,200.6,232.4,42.0
64.5,279.3,215.0,202.1,232.1,41.4
64.75,278.5,219.1,202.9,233.5,39.8
65.0,280.5,225.3,206.0,237.3,38.7
65.25,285.1,216.3,207.8,236.4,42.4
65.5,288.5,222.1,208.5,239.7,42.8
65.75,294.7,228.7,209.7,244.4,44.6
66.0,292.1,229.8,213.1,245.0,41.6
66.25,295.1,230.1,217.2,247.5,41.7
66.5,295.9,230.1,214.8,246.9,43.1
66.75,300.7,238.1,223.1,253.9,41.2
67.0,301.7,231.8,217.7,250.4,45.0
67.25,310.8,236.2,219.7,255.6,48.5
67.5,312.1,234.7,229.3,258.7,46.3
67.75,307.0,242.8,229.1,259.6,41.6
68.0,316.8,241.1,234.9,264.3,45.6
68.25,318.8,240.8,228.8,262.8,48.9
68.5,323.6,241.4,232.2,265.7,50.3
68.75,325.2,246.9,241.2,271.1,46.9
69.0,333.1,255.4,241.0,276.5,49.5
69.25,332.7,257.8,243.6,278.0,47.9
69.5,342.9,256.4,243.2,280.8,54.1
69.75,335.9,255.0,249.5,280.2,48.4
70.0,347.0,262.9,248.7,286.2,53.1
70.25,341.4,265.1,247.7,284.7,49.9
70.5,352.1,269.0,253.2,291.4,53.1
70.75,365.7,270.3,255.6,297.2,59.8
71.0,356.9,275.7,264.1,298.9,50.5
71.25,360.5,283.2,266.2,303.3,50.2
71.5,369.0,275.7,268.7,304.5,56.0
71.75,359.1,283.0,269.2,303.7,48.4
72.0,374.5,282.5,268.0,308.3,57.7
72.25,371.8,290.4,271.3,311.1,53.4
72.5,392.9,291.2,280.2,321.4,62.1
72.75,373.3,300.5,275.3,316.4,50.9
73.0,380.8,300.0,285.4,322.1,51.4
73.25,390.9,305.4,288.4,328.2,54.9
73.5,382.1,313.4,290.0,328.5,47.8
73.75,398.7,308.2,295.2,334.1,56.4
74.0,386.8,320.8,295.0,334.2,47.4
74.25,399.7,317.5,297.4,338.2,54.2
74.5,401.9,323.4,289.6,338.3,57.6
74.75,396.6,326.0,296.8,339.8,51.3
75.0,399.5,330.5,303.5,344.5,49.5
75.25,407.2,335.9,306.8,350.0,51.6
75.5,418.5,326.4,312.1,352.3,57.7
75.75,408.8,335.2,313.8,352.6,49.9
76.0,399.3,339.8,317.1,352.1,42.4
76.25,407.0,330.9,319.8,352.6,47.5
76.5,434.8,337.5,320.9,364.4,61.5
76.75,427.4,348.4,328.2,368.0,52.4
77.0,433.0,340.2,328.6,367.3,57.2
77.25,433.6,346.5,329.5,369.9,55.9
77.5,419.2,357.5,333.2,369.9,44.4
77.75,442.0,358.6,335.4,378.7,56.1
78.0,443.3,351.5,339.1,378.0,56.9
78.25,448.5,366.6,340.5,385.2,56.4
78.5,447.9,364.1,353.3,388.4,51.7
78.75,452.8,361.8,357.9,390.8,53.7
79.0,454.2,362.0,361.1,392.4,53.5
79.25,461.8,374.2,349.0,395.0,59.2
79.5,464.2,378.2,363.3,401.9,54.5
79.75,463.0,384.8,367.6,405.1,50.8
80.0,489.6,379.7,364.5,411.3,68.3
80.25,480.0,379.6,361.6,407.1,63.8
80.5,474.9,395.7,371.3,414.0,54.1
80.75,484.1,396.9,369.1,416.7,60.0
81.0,485.1,388.1,376.8,416.7,59.5
81.25,486.7,401.6,381.9,423.4,55.7
81.5,487.5,407.0,387.9,427.5,52.8
81.75,475.1,407.8,393.9,425.6,43.4
82.0,492.3,413.4,385.7,430.5,55.3
82.25,491.0,406.5,388.4,428.6,54.7
82.5,498.9,415.5,404.4,439.6,51.7
82.75,512.2,408.0,398.4,439.6,63.1
83.0,502.9,407.9,395.1,435.3,58.9
83.25,503.8,415.4,400.4,439.9,55.9
83.5,517.2,422.3,400.0,446.5,62.3
83.75,509.6,424.9,399.9,444.8,57.5
84.0,532.7,418.2,407.4,452.8,69.4
84.25,524.2,408.4,404.4,445.7,68.0
84.5,521.6,436.0,396.1,451.2,64.1
84.75,507.2,429.1,418.6,451.6,48.4
85.0,507.4,432.6,415.5,451.8,48.9
85.25,536.3,434.8,411.2,460.8,66.5
85.5,510.0,425.4,421.2,452.2,50.1
85.75,525.9,441.1,423.8,463.6,54.6
86.0,523.4,450.6,416.0,463.4,54.8
86.25,544.6,449.3,423.1,472.3,63.9
86.5,526.6,454.3,425.7,468.9,52.0
86.75,527.7,453.2,433.9,471.6,49.5
87.0,532.2,442.1,432.9,469.1,54.8
87.25,540.2,451.2,438.3,476.6,55.5
87.5,537.5,444.2,443.1,474.9,54.2
87.75,534.6,461.8,434.3,476.9,51.8
88.0,544.0,448.1,441.0,477.7,57.6
88.25,546.4,455.4,444.0,481.9,56.1
88.5,563.4,459.6,452.5,491.9,62.1
88.75,573.0,474.1,452.4,499.8,64.3
89.0,547.9,469.2,455.3,490.8,50.0
89.25,562.7,480.9,459.3,501.0,54.6
89.5,559.7,472.9,469.7,500.8,51.0
89.75,561.3,486.9,457.2,501.8,53.6
90.0,553.9,489.9,462.5,502.1,46.9
90.25,583.7,501.1,481.8,522.2,54.1
90.5,552.8,485.0,467.3,501.7,45.1
90.75,568.5,473.0,473.4,505.0,55.0
91.0,571.6,494.4,488.0,518.0,46.5
91.25,562.1,489.2,478.5,509.9,45.5
91.5,578.4,490.3,479.7,516.1,54.2
91.75,575.4,488.5,485.2,516.4,51.2
92.0,577.0,477.1,489.8,514.6,54.4
92.25,594.6,505.1,494.1,531.3,55.1
92.5,610.0,509.8,497.8,539.2,61.6
92.75,610.8,505.2,503.3,539.8,61.5
93.0,604.3,492.3,487.4,528.0,66.1
93.25,607.6,527.8,503.4,546.3,54.5
93.5,585.7,526.0,518.5,543.4,36.8
93.75,587.0,519.2,517.2,541.1,39.7
94.0,605.6,527.5,525.4,552.8,45.7
94.25,627.7,547.7,518.7,564.7,56.4
94.5,618.9,527.7,512.3,553.0,57.6
94.75,583.8,547.2,523.7,551.6,30.3
95.0,588.1,537.2,536.2,553.8,29.7
95.25,609.7,547.8,536.1,564.6,39.6
95.5,633.9,542.3,524.6,567.0,58.7
95.75,604.4,537.7,540.6,560.9,37.7
96.0,632.7,554.7,544.3,577.2,48.3
96.25,604.9,566.9,530.5,567.4,37.2
96.5,604.0,572.1,547.3,574.4,28.4
96.75,615.5,556.9,541.6,571.3,39.0
97.0,639.5,555.3,543.0,579.3,52.5
97.25,621.1,568.7,547.6,579.2,37.9
97.5,635.1,572.3,530.5,579.3,52.6
97.75,617.0,590.1,549.9,585.7,33.8
98.0,642.5,579.3,573.2,598.3,38.4
98.25,630.3,597.2,556.2,594.6,37.1
98.5,638.8,590.6,547.1,592.2,45.9
98.75,652.2,592.2,560.8,601.7,46.5
99.0,650.9,601.9,584.0,612.3,34.6
99.25,654.9,573.5,581.1,603.2,44.9
99.5,661.5,592.0,566.0,606.5,49.4
99.75,660.3,589.6,562.7,604.2,50.4
100.0,636.4,583.3,579.2,599.6,31.9
100.25,651.6,603.9,594.5,616.7,30.6
100.5,667.5,616.4,584.6,622.9,41.8
100.75,663.0,615.2,603.7,627.3,31.4
101.0,679.8,603.2,587.2,623.4,49.5
101.25,666.0,601.6,613.3,627.0,34.3
101.5,672.0,621.2,606.8,633.3,34.3
101.75,687.8,619.8,607.1,638.3,43.4
102.0,675.7,632.0,602.1,636.6,37.0
102.25,688.1,631.4,625.3,648.3,34.7
102.5,698.8,630.5,607.7,645.7,47.4
102.75,697.2,636.0,601.5,644.9,48.5
103.0,678.6,637.6,618.3,644.8,30.8
103.25,703.6,636.6,614.2,651.5,46.5
103.5,697.6,633.2,653.3,661.4,32.9
103.75,683.4,627.9,618.5,643.3,35.1
104.0,662.2,648.0,617.0,642.4,23.1
104.25,691.2,677.3,604.9,657.8,46.3
104.5,706.3,634.6,656.6,665.8,36.7
104.75,700.9,645.6,648.5,665.0,31.2
105.0,721.4,660.4,645.7,675.8,40.1
105.25,686.5,661.6,645.7,664.6,20.6
105.5,702.0,673.8,644.9,673.5,28.5
105.75,737.1,654.6,636.6,676.1,53.6
106.0,770.9,694.8,659.4,708.4,57.0
106.25,693.7,682.1,623.3,666.4,37.7
106.5,709.2,666.0,651.2,675.5,30.1
106.75,730.2,688.2,669.8,696.1,31.0
107.0,770.7,667.2,655.6,697.8,63.4
107.25,709.3,674.3,676.8,686.8,19.6
107.5,748.5,727.9,670.5,715.6,40.4
107.75,739.8,698.5,651.7,696.7,44.1
108.0,741.7,662.9,678.1,694.2,41.8
108.25,760.8,703.7,619.1,694.5,71.3
108.5,771.5,688.9,674.7,711.7,52.3
108.75,744.2,682.6,634.0,686.9,55.2
109.0,770.4,686.0,676.2,710.9,51.8
109.25,769.4,692.9,689.8,717.4,45.1
109.5,725.2,753.9,706.1,728.4,24.1
109.75,788.3,707.4,672.5,722.7,59.4
110.0,737.0,731.2,681.6,716.6,30.4
110.25,738.4,728.7,670.8,712.6,36.5
110.5,749.2,716.5,665.4,710.4,42.2
110.75,797.1,733.5,702.4,744.3,48.3
111.0,791.4,747.7,719.3,752.8,36.3
111.25,775.2,717.6,692.7,728.5,42.3
111.5,763.8,743.3,683.6,730.2,41.7
111.75,773.8,751.9,700.3,742.0,37.8
112.0,777.9,737.3,717.6,744.2,30.8
112.25,812.9,738.9,716.6,756.1,50.4
112.5,795.2,710.9,697.0,734.4,53.2
112.75,756.8,740.1,707.8,734.9,24.9
113.0,805.4,742.8,696.1,748.1,54.8
113.25,784.6,710.7,720.8,738.7,40.1
113.5,803.7,737.8,752.6,764.7,34.6
113.75,769.0,748.3,721.1,746.1,24.0
114.0,808.6,752.5,693.2,751.5,57.7
114.25,782.7,773.4,734.2,763.5,25.7
114.5,807.9,785.5,690.6,761.3,62.3
114.75,825.8,742.0,710.1,759.3,59.8
115.0,831.1,783.8,737.4,784.1,46.8
115.25,834.7,766.2,729.4,776.8,53.4
115.5,812.3,753.2,715.9,760.5,48.6
115.75,825.1,822.0,729.5,792.2,54.4
116.0,871.9,780.8,734.7,795.8,69.8
116.25,835.0,801.5,730.3,788.9,53.5
116.5,871.6,836.5,729.0,812.4,74.3
116.75,826.6,787.3,718.3,777.4,54.9
117.0,820.8,836.1,752.5,803.1,44.5
117.25,811.3,820.3,740.4,790.7,43.8
117.5,844.2,830.0,753.0,809.1,49.1
117.75,800.9,814.2,750.9,788.7,33.4
118.0,849.7,793.8,760.3,801.3,45.1
118.25,793.4,846.9,726.1,788.8,60.5
118.5,821.1,835.8,760.6,805.8,39.8
118.75,844.4,837.3,768.3,816.7,42.0
119.0,819.6,849.0,775.5,814.7,37.0
119.25,805.4,790.7,760.6,785.6,22.8
119.5,881.5,850.7,759.9,830.7,63.2
119.75,837.5,882.1,794.4,838.0,43.9
120.0,872.9,832.8,782.5,829.4,45.3
120.25,882.5,854.4,793.4,843.4,45.6
120.5,865.2,882.2,790.1,845.8,49.0
120.75,905.7,915.1,808.4,876.4,59.1
121.0,880.6,892.5,800.4,857.8,50.1
121.25,881.5,836.0,788.8,835.4,46.4
121.5,875.2,876.9,796.3,849.5,46.1
121.75,883.3,837.4,778.3,833.0,52.6
122.0,874.1,827.8,776.8,826.2,48.6
122.25,891.6,873.9,795.7,853.7,51.0
122.5,861.5,845.3,782.6,829.8,41.7
122.75,887.1,994.0,792.1,891.1,101.0
123.0,880.8,893.3,777.4,850.5,63.6
123.25,936.5,891.0,790.0,872.5,75.0
123.5,914.0,958.1,832.5,901.5,63.7
123.75,860.6,849.8,826.3,845.6,17.6
124.0,889.1,955.2,836.4,893.6,59.6
124.25,922.7,893.5,766.5,860.9,83.0
124.5,923.8,944.8,811.9,893.5,71.4
124.75,905.4,939.1,848.9,897.8,45.6
125.0,910.7,958.9,849.9,906.5,54.6
125.25,970.0,912.2,839.1,907.1,65.6
125.5,885.1,931.1,829.8,882.0,50.7
125.75,953.3,983.4,809.6,915.4,92.9
126.0,849.9,983.0,876.1,903.0,70.5
126.25,939.8,955.7,816.9,904.1,76.0
126.5,954.6,1003.7,823.0,927.1,93.4
126.75,926.3,923.7,878.6,909.5,26.8
127.0,975.7,978.3,874.5,942.8,59.2
127.25,927.0,970.1,901.4,932.8,34.7
127.5,977.1,1079.5,868.7,975.1,105.4
127.75,873.7,1008.6,844.0,908.8,87.7
128.0,898.6,966.9,812.2,892.6,77.5
128.25,935.6,1028.3,898.7,954.2,66.8
128.5,927.6,940.4,870.0,912.7,37.5
128.75,926.1,954.0,876.0,918.7,39.5
129.0,945.8,981.7,896.6,941.4,42.7
129.25,941.7,994.8,891.6,942.7,51.6
129.5,961.7,947.9,869.2,926.3,49.9
129.75,918.5,1104.9,887.9,970.4,117.5
130.0,943.7,981.5,932.9,952.7,25.5
130.25,939.5,959.2,880.4,926.4,41.0
130.5,977.1,1070.2,932.2,993.2,70.4
130.75,1045.5,975.5,896.9,972.6,74.3
131.0,971.9,1102.1,858.0,977.3,122.1
131.25,947.2,961.5,828.4,912.4,73.1
131.5,989.7,1079.3,906.2,991.7,86.6
131.75,996.6,1041.5,943.6,993.9,49.0
132.0,954.1,1089.2,917.8,987.0,90.3
132.25,1033.6,1005.5,893.3,977.5,74.2
132.5,939.6,1093.1,840.9,957.9,127.1
132.75,935.0,1059.2,909.3,967.8,80.2
133.0,946.5,1099.6,893.2,979.8,107.1
133.25,1036.3,1102.8,935.3,1024.8,84.4
133.5,932.2,1090.3,949.0,990.5,86.8
133.75,955.9,1104.4,886.1,982.1,111.5
134.0,1003.2,1104.5,905.8,1004.5,99.4
134.25,971.8,1051.7,927.0,983.5,63.2
134.5,994.2,1071.3,978.0,1014.5,49.9
134.75,1007.6,1121.9,987.1,1038.9,72.6
135.0,956.3,1050.3,948.9,985.2,56.5
135.25,978.9,1079.0,964.9,1007.6,62.2
135.5,992.3,1112.7,1038.5,1047.8,60.8
135.75,1016.6,1120.0,946.8,1027.8,87.2
136.0,1018.8,1114.5,980.6,1037.9,69.0
136.25,977.1,1095.5,903.5,992.0,96.9
136.5,1018.8,1200.7,1026.3,1081.9,102.9
136.75,1040.6,1027.7,1019.1,1029.1,10.8
137.0,1057.6,1140.0,957.1,1051.6,91.6
137.25,1059.1,1153.5,961.3,1058.0,96.1
137.5,971.6,1147.5,1029.3,1049.5,89.7
137.75,1093.8,1070.2,940.3,1034.8,82.7
138.0,1020.5,1127.6,1028.9,1059.0,59.6
138.25,1010.2,1189.9,1055.7,1085.3,93.4
138.5,1006.5,1251.0,1021.7,1093.0,137.0
138.75,1019.0,1187.3,1035.5,1080.6,92.8
139.0,1008.4,1168.9,1027.2,1068.2,87.8
139.25,1082.8,1136.4,941.2,1053.5,100.9
139.5,1024.8,1186.4,1048.5,1086.6,87.3
139.75,1044.1,1181.6,995.5,1073.7,96.5
140.0,1036.0,1319.6,1122.5,1159.4,145.4
140.25,1158.2,1138.8,1041.2,1112.7,62.7
140.5,1081.1,1119.7,1072.6,1091.1,25.1
140.75,1048.5,1122.7,1120.2,1097.1,42.1
141.0,1031.7,1222.4,1088.0,1114.0,98.0
141.25,1071.1,1350.9,1033.9,1152.0,173.3
141.5,1014.5,1238.1,1107.3,1120.0,112.3
141.75,1022.2,1228.8,1107.0,1119.3,103.8
142.0,1028.5,1260.0,1059.6,1116.0,125.6
142.25,1071.5,1220.4,1041.6,1111.1,95.8
142.5,1076.5,1238.6,1120.5,1145.2,83.8
142.75,1056.1,1323.7,1094.1,1158.0,144.8
143.0,1114.8,1274.7,1130.0,1173.2,88.3
