Time after Ignition,LDPE_R1,LDPE_R2,LDPE_R3,Mean,Std. Dev.
124.0,1400.5,1471.9,833.7,1235.4,349.7
124.25,1428.7,1379.4,792.8,1200.3,353.8
124.5,1496.2,1406.5,764.7,1222.5,399.0
124.75,1421.5,1430.3,730.2,1194.0,401.7
125.0,1469.5,1393.1,690.7,1184.4,429.3
125.25,1424.4,1347.4,658.6,1143.4,421.7
125.5,1402.7,1378.2,629.9,1136.9,439.2
125.75,1416.6,1343.2,592.1,1117.3,456.3
126.0,1355.6,1353.5,570.8,1093.3,452.5
126.25,1360.5,1249.6,548.5,1052.9,440.3
126.5,1403.4,1272.8,532.4,1069.6,469.8
126.75,1348.6,1186.5,495.8,1010.3,452.9
127.0,1362.8,1248.3,485.2,1032.1,477.1
127.25,1370.4,1218.3,465.8,1018.2,484.4
127.5,1358.1,1207.4,442.2,1002.6,491.1
127.75,1346.5,1130.3,423.6,966.8,482.7
128.0,1350.9,1141.4,403.6,965.3,497.6
128.25,1323.0,1113.1,381.3,939.1,494.3
128.5,1305.5,1097.3,367.7,923.5,492.5
128.75,1275.3,1028.7,351.3,885.1,478.5
129.0,1261.8,1052.8,339.2,884.6,483.7
129.25,1277.0,1030.8,323.6,877.2,494.9
129.5,1218.1,1009.3,309.3,845.6,476.0
129.75,1178.1,985.4,294.0,819.2,464.9
130.0,1164.8,965.3,279.7,803.3,464.3
130.25,1145.9,944.5,270.3,786.9,458.6
130.5,1077.6,920.4,255.6,751.2,436.4
130.75,1074.1,912.3,244.1,743.5,440.0
131.0,1057.1,900.0,231.9,729.7,438.2
131.25,1007.9,868.3,222.8,699.7,418.8
131.5,978.5,834.5,217.3,676.8,404.4
131.75,925.7,827.0,206.3,653.0,390.0
132.0,900.1,811.9,193.5,635.2,385.0
132.25,885.0,798.1,190.0,624.4,378.7
132.5,848.1,766.4,180.6,598.4,364.1
132.75,818.9,738.2,175.4,577.5,350.5
133.0,782.2,724.9,166.3,557.8,340.3
133.25,754.0,714.9,157.8,542.2,333.5
