Names,Overstuffed_Chair_Polyurethane_Foam_R1,Overstuffed_Chair_Polyurethane_Foam_R2,Overstuffed_Chair_Polyurethane_Foam_R3,Mean,Std. Dev.
324,105.1,120.1,128.6,117.9,11.9
325,100.9,114.8,122.8,112.9,11.1
326,101.3,109.1,121.2,110.5,10.0
327,96.2,103.5,116.6,105.4,10.4
328,92.7,99.6,114.4,102.3,11.1
329,90.3,97.0,111.6,99.6,10.9
330,88.2,90.8,109.1,96.1,11.4
331,84.5,88.2,106.9,93.2,12.0
332,81.6,85.0,103.8,90.1,11.9
333,79.2,80.9,100.3,86.8,11.7
334,75.2,77.6,98.9,83.9,13.0
335,73.2,74.5,94.6,80.8,12.0
336,69.5,72.7,93.4,78.5,13.0
337,67.7,70.1,90.2,76.0,12.3
338,65.1,67.9,88.9,74.0,13.0
339,60.7,66.2,86.1,71.0,13.4
340,59.3,65.3,83.4,69.3,12.6
341,58.0,62.6,81.8,67.4,12.6
342,55.8,61.1,78.4,65.1,11.8
343,53.3,58.1,75.1,62.2,11.5
344,50.8,56.8,75.3,61.0,12.8
345,49.3,54.9,73.1,59.1,12.5
346,47.4,52.5,70.2,56.7,11.9
347,46.0,50.9,68.8,55.2,12.0
348,44.1,50.3,66.5,53.6,11.6
349,41.7,47.9,64.8,51.5,12.0
350,40.4,46.0,62.0,49.4,11.2
351,38.7,44.3,60.7,47.9,11.4
352,37.7,43.7,59.6,47.0,11.3
353,36.5,41.6,57.8,45.3,11.1
354,35.1,39.7,56.3,43.7,11.1
355,34.5,38.7,55.4,42.8,11.1
356,33.4,37.9,52.7,41.3,10.1
357,31.6,36.5,53.1,40.4,11.3
