Time after Ignition,Overstuffed_Chair_Polyurethane_Foam_R1,Overstuffed_Chair_Polyurethane_Foam_R2,Overstuffed_Chair_Polyurethane_Foam_R3,Mean,Std. Dev.
28.75,795.2,869.7,1053.1,906.0,132.7
29.0,818.5,918.9,1004.5,914.0,93.1
29.25,798.7,831.9,1139.2,923.3,187.7
29.5,815.1,888.8,1084.2,929.4,139.0
29.75,821.7,907.5,1064.7,931.3,123.2
30.0,858.7,866.8,1109.9,945.1,142.7
30.25,870.9,865.2,1078.5,938.2,121.5
30.5,804.3,871.7,1028.0,901.3,114.8
30.75,824.3,876.1,1085.3,928.6,138.2
31.0,825.1,854.3,1061.5,913.6,128.9
31.25,833.2,880.0,1026.3,913.1,100.7
31.5,812.8,892.6,994.5,900.0,91.1
31.75,840.0,880.8,1071.7,930.8,123.7
32.0,829.9,872.4,960.7,887.7,66.7
32.25,796.7,897.9,1024.7,906.5,114.2
32.5,772.3,856.0,1035.9,888.1,134.7
32.75,838.4,811.1,1040.3,896.6,125.2
33.0,799.3,849.2,1017.9,888.8,114.6
33.25,824.0,843.7,1022.5,896.7,109.4
33.5,855.4,814.7,991.5,887.2,92.6
33.75,755.2,804.1,985.5,848.3,121.4
34.0,817.0,798.6,1001.5,872.4,112.2
34.25,792.6,772.2,956.8,840.5,101.2
34.5,800.5,782.0,967.6,850.0,102.2
34.75,790.5,772.3,935.3,832.7,89.3
35.0,768.3,781.2,938.8,829.5,94.9
35.25,772.9,779.1,901.6,817.9,72.5
35.5,740.1,705.0,903.0,782.7,105.7
35.75,734.7,740.1,913.4,796.1,101.7
36.0,782.0,719.8,883.2,795.0,82.5
36.25,714.4,695.4,865.1,758.3,93.0
36.5,734.4,703.2,837.4,758.3,70.2
36.75,724.0,690.3,818.8,744.4,66.6
37.0,706.1,658.2,793.0,719.1,68.3
37.25,682.4,643.4,754.5,693.4,56.3
37.5,684.4,609.3,739.0,677.6,65.1
37.75,681.8,584.6,710.7,659.0,66.1
38.0,703.7,579.7,678.9,654.1,65.6
38.25,670.4,559.9,640.1,623.5,57.1
38.5,665.7,540.7,611.7,606.0,62.7
38.75,636.9,537.1,586.1,586.7,49.9
39.0,640.6,509.3,564.7,571.5,65.9
39.25,612.2,485.5,529.7,542.4,64.3
39.5,613.9,479.1,506.7,533.2,71.2
39.75,598.3,465.9,491.1,518.4,70.3
40.0,598.2,450.4,457.3,502.0,83.4
40.25,583.1,438.3,440.5,487.3,83.0
40.5,566.5,419.2,425.3,470.3,83.3
40.75,559.7,401.9,394.3,452.0,93.4
41.0,551.6,402.6,380.7,445.0,93.0
41.25,534.8,389.6,366.7,430.4,91.2
41.5,511.5,377.0,351.6,413.3,85.9
41.75,499.7,366.2,334.2,400.0,87.8
42.0,473.3,363.3,323.8,386.8,77.5
42.25,461.3,346.4,303.7,370.5,81.5
42.5,439.1,342.9,294.8,358.9,73.5
42.75,433.7,328.6,285.1,349.1,76.4
43.0,413.2,320.6,282.5,338.8,67.2
