Time after Ignition,Eucalyptus_Flooring_R1,Eucalyptus_Flooring_R2,Eucalyptus_Flooring_R3,Mean,Std. Dev.
2264.5,37.27035459934003,,,37.27035459934003,
2264.75,37.569892991880515,,,37.569892991880515,
2265.0,36.47434151098331,,,36.47434151098331,
2265.25,37.572087360118765,,,37.572087360118765,
2265.5,37.46734393005218,,,37.46734393005218,
2265.75,36.98582149101502,,,36.98582149101502,
2266.0,37.22830343896479,,,37.22830343896479,
2266.25,37.301762813167656,,,37.301762813167656,
2266.5,37.49985471034147,,,37.49985471034147,
2266.75,37.14790737521842,,,37.14790737521842,
2267.0,37.33015515180767,,,37.33015515180767,
2267.25,37.0025378374382,,,37.0025378374382,
2267.5,37.25270576308638,,,37.25270576308638,
2267.75,37.15470334571117,,,37.15470334571117,
2268.0,38.057549154815966,,,38.057549154815966,
2268.25,37.32380318703535,,,37.32380318703535,
2268.5,37.87176380284819,,,37.87176380284819,
2268.75,37.1984060146019,,,37.1984060146019,
2269.0,37.20910345540159,,,37.20910345540159,
2269.25,37.79985141425006,,,37.79985141425006,
2269.5,36.753433189504314,,,36.753433189504314,
2269.75,37.16745667534021,,,37.16745667534021,
2270.0,36.975718139261105,,,36.975718139261105,
2270.25,37.20341203935914,,,37.20341203935914,
2270.5,36.960365043169546,,,36.960365043169546,
2270.75,36.66347745310068,,,36.66347745310068,
2271.0,36.982742031776816,,,36.982742031776816,
2271.25,37.30524599236525,,,37.30524599236525,
2271.5,37.2313239287027,,,37.2313239287027,
2271.75,37.23599444147853,,,37.23599444147853,
2272.0,37.25691356208163,,,37.25691356208163,
2272.25,36.82331554810302,,,36.82331554810302,
2272.5,37.07299569048818,,,37.07299569048818,
2272.75,37.895993572727356,,,37.895993572727356,
2273.0,37.076779773890195,,,37.076779773890195,
2273.25,37.11307259617914,,,37.11307259617914,
2273.5,36.96092951595301,,,36.96092951595301,
2273.75,37.28058028477139,,,37.28058028477139,
2274.0,37.1023380443769,,,37.1023380443769,
2274.25,36.8386446560607,,,36.8386446560607,
2274.5,36.88243516334756,,,36.88243516334756,
2274.75,36.9638620185256,,,36.9638620185256,
2275.0,37.26604077183846,,,37.26604077183846,
2275.25,37.160802145774156,,,37.160802145774156,
2275.5,37.098961716537225,,,37.098961716537225,
2275.75,36.70955091909619,,,36.70955091909619,
2276.0,36.5470533531273,,,36.5470533531273,
2276.25,36.561311066827265,,,36.561311066827265,
2276.5,36.28754773405174,,,36.28754773405174,
2276.75,36.41341854636027,,,36.41341854636027,
2277.0,36.80543816879269,,,36.80543816879269,
2277.25,36.52804006158823,,,36.52804006158823,
2277.5,36.59214617752423,,,36.59214617752423,
2277.75,36.63185967056569,,,36.63185967056569,
2278.0,36.242687160311206,,,36.242687160311206,
2278.25,35.883946986603085,,,35.883946986603085,
2278.5,36.04605643459451,,,36.04605643459451,
2278.75,35.88486010164412,,,35.88486010164412,
2279.0,36.02442040084371,,,36.02442040084371,
2279.25,36.0528184465564,,,36.0528184465564,
2279.5,35.81075923075247,,,35.81075923075247,
2279.75,36.18078068821465,,,36.18078068821465,
2280.0,36.10355600878337,,,36.10355600878337,
2280.25,35.785058984010085,,,35.785058984010085,
2280.5,36.525479559270885,,,36.525479559270885,
2280.75,36.29834991603437,,,36.29834991603437,
2281.0,36.36739526499771,,,36.36739526499771,
2281.25,36.59122829604727,,,36.59122829604727,
2281.5,36.459060629602035,,,36.459060629602035,
2281.75,36.65929640730925,,,36.65929640730925,
2282.0,35.75810659464776,,,35.75810659464776,
2282.25,35.7734638084649,,,35.7734638084649,
2282.5,36.50561533637343,,,36.50561533637343,
2282.75,36.01221752419932,,,36.01221752419932,
2283.0,36.373811105222,,,36.373811105222,
2283.25,36.01566311021648,,,36.01566311021648,
2283.5,36.54628538045894,,,36.54628538045894,
2283.75,36.192839358931565,,,36.192839358931565,
2284.0,35.59484025433698,,,35.59484025433698,
