Temperature (C),HRR_mean,HRR_std
263.00,12.69,1.07
264.00,13.13,0.98
265.00,13.67,1.04
266.00,13.97,1.32
267.00,14.47,1.23
268.00,15.06,1.01
269.00,15.49,1.05
270.00,15.90,1.02
271.00,16.45,1.13
272.00,16.92,1.03
273.00,17.40,1.22
274.00,17.98,1.22
275.00,18.48,1.18
276.00,19.01,1.24
277.00,19.52,1.31
278.00,19.94,1.30
279.00,20.28,1.42
280.00,21.05,1.24
281.00,21.37,1.25
282.00,21.85,1.37
283.00,22.28,1.28
284.00,22.88,1.10
285.00,23.18,1.26
286.00,23.59,1.32
287.00,24.08,1.32
288.00,24.47,1.24
289.00,25.00,1.23
290.00,25.33,1.28
291.00,25.72,1.31
292.00,26.36,1.37
293.00,26.74,1.38
294.00,27.23,1.25
295.00,27.70,1.34
296.00,28.33,1.27
297.00,28.63,1.35
298.00,29.01,1.51
299.00,29.57,1.70
300.00,29.96,1.63
301.00,30.25,1.60
302.00,31.02,1.36
303.00,31.50,1.49
304.00,32.10,1.37
305.00,32.68,1.39
306.00,33.13,1.58
307.00,33.57,1.53
308.00,34.10,1.38
309.00,34.78,1.30
310.00,35.36,1.29
311.00,36.07,1.24
312.00,36.45,1.51
313.00,37.07,1.38
314.00,37.66,1.41
315.00,38.30,1.31
316.00,38.88,1.30
317.00,39.45,1.45
318.00,40.00,1.41
319.00,40.58,1.59
320.00,41.29,1.44
321.00,42.04,1.58
322.00,42.80,1.50
323.00,43.44,1.63
324.00,44.26,1.71
325.00,44.99,1.70
326.00,45.76,1.79
327.00,46.58,1.77
328.00,47.37,1.89
329.00,48.14,2.06
330.00,48.86,2.06
331.00,49.74,2.23
332.00,50.67,2.17
333.00,51.56,2.36
334.00,52.52,1.97
335.00,53.58,2.25
336.00,54.62,2.47
337.00,55.75,2.34
338.00,56.76,2.64
339.00,57.80,2.58
340.00,58.93,2.66
341.00,60.14,2.68
342.00,61.35,2.81
343.00,62.63,3.08
344.00,63.93,3.01
345.00,65.21,2.92
346.00,66.57,2.83
347.00,68.02,2.75
348.00,69.32,3.14
349.00,70.59,3.40
350.00,72.07,3.24
351.00,73.45,3.46
352.00,74.94,3.15
353.00,76.33,3.13
354.00,77.67,3.11
355.00,78.94,2.96
356.00,80.41,2.85
357.00,81.40,2.54
358.00,82.57,2.35
359.00,83.62,2.18
360.00,84.43,1.94
361.00,85.29,1.68
362.00,85.78,1.25
363.00,86.23,0.83
364.00,86.49,0.57
365.00,86.34,0.15
366.00,86.16,0.58
367.00,85.38,0.78
368.00,84.63,1.50
369.00,83.39,2.41
370.00,81.74,2.96
371.00,79.58,3.62
372.00,77.31,4.48
373.00,74.54,5.10
374.00,71.30,5.74
375.00,68.14,6.03
376.00,64.57,6.24
377.00,60.68,6.63
378.00,56.52,6.82
379.00,52.18,6.80
380.00,47.85,6.82
381.00,43.45,6.50
382.00,39.11,6.13
383.00,35.37,6.27
384.00,31.60,5.92
385.00,28.21,4.88
386.00,25.11,4.37
387.00,22.19,3.75
388.00,19.68,2.96
389.00,17.50,2.45
390.00,16.14,1.89
391.00,14.77,1.50
392.00,13.54,1.38
393.00,12.52,0.97
394.00,11.88,1.01
395.00,11.12,0.72
396.00,10.68,0.77
397.00,10.20,0.95
398.00,9.94,0.88
399.00,9.51,1.01
400.00,9.27,0.89
401.00,8.97,0.97
402.00,8.71,0.85
403.00,8.68,0.72
404.00,8.64,0.73
405.00,8.33,0.64
406.00,8.22,0.56
407.00,8.09,0.62
408.00,7.96,0.60
409.00,7.92,0.70
410.00,7.72,0.67
411.00,7.60,0.53
412.00,7.47,0.63
413.00,7.52,0.56
414.00,7.43,0.54
415.00,7.41,0.63
416.00,7.38,0.49
417.00,7.28,0.53
418.00,7.29,0.55
419.00,6.87,0.71
420.00,7.15,0.51
421.00,6.85,0.59
422.00,6.84,0.61
423.00,6.81,0.55
424.00,6.75,0.54
425.00,6.63,0.59
426.00,6.51,0.75
427.00,6.38,0.59
428.00,6.50,0.63
429.00,6.33,0.69
430.00,6.22,0.79
431.00,6.15,0.64
432.00,5.85,0.75
433.00,5.75,0.66
434.00,5.72,0.70
435.00,5.53,0.77
436.00,5.36,0.76
437.00,5.34,0.63
438.00,5.31,0.60
439.00,5.25,0.66
440.00,5.37,0.54
441.00,5.19,0.56
442.00,5.01,0.64
443.00,4.88,0.71
444.00,4.80,0.79
445.00,4.84,0.76
446.00,4.82,0.68
447.00,4.79,0.70
448.00,4.44,0.81
449.00,4.40,0.74
450.00,4.33,0.76
451.00,4.53,0.55
452.00,4.43,0.76
453.00,4.23,0.81
454.00,4.20,0.71
455.00,4.13,0.82
456.00,4.02,0.75
457.00,3.89,0.64
458.00,3.86,0.82
459.00,3.99,0.48
460.00,3.72,0.61
461.00,3.67,0.65
462.00,3.81,0.58
463.00,3.72,0.63
464.00,3.61,0.72
465.00,3.52,0.67
466.00,3.51,0.62
467.00,3.40,0.75
468.00,3.42,0.70
469.00,3.45,0.56
470.00,3.44,0.49
471.00,3.30,0.63
472.00,3.23,0.50
473.00,3.19,0.37
474.00,3.11,0.41
475.00,3.14,0.49
476.00,2.97,0.54
477.00,3.09,0.62
478.00,3.02,0.40
479.00,2.72,0.77
480.00,2.90,0.57
481.00,2.84,0.66
482.00,2.68,0.73
483.00,2.66,0.78
484.00,2.60,0.83
485.00,2.51,0.79
486.00,2.68,0.56
487.00,2.57,0.68
488.00,2.54,0.67
489.00,2.44,0.89
490.00,2.57,0.58
491.00,2.36,0.87
492.00,2.52,0.86
493.00,2.35,0.87
494.00,2.36,0.98
495.00,2.27,0.68
496.00,2.09,0.62
497.00,2.02,0.69
498.00,2.03,0.79
499.00,2.01,0.79
500.00,2.01,0.61
501.00,1.97,1.02
502.00,1.89,0.85
503.00,1.74,0.91
504.00,1.79,0.87
505.00,1.96,0.84
506.00,1.78,0.96
507.00,1.78,0.70
508.00,1.82,0.74
509.00,1.84,0.57
510.00,1.56,0.70
511.00,1.85,0.70
512.00,1.72,0.49
513.00,1.66,0.63
514.00,1.59,0.51
515.00,1.64,0.73
516.00,1.56,0.91
517.00,1.61,0.69
518.00,1.56,0.70
519.00,1.62,0.63
520.00,1.57,0.45
521.00,1.61,0.50
522.00,1.47,0.66
523.00,1.37,0.75
524.00,1.26,0.96
525.00,1.23,0.65
526.00,1.25,0.68
527.00,1.50,0.52
528.00,1.37,0.57
529.00,1.62,0.60
530.00,1.31,0.65
531.00,1.18,0.61
532.00,1.43,0.64
533.00,1.27,0.52
534.00,1.11,0.59
535.00,1.14,0.62
536.00,1.20,0.51
537.00,1.12,0.56
538.00,1.22,0.40
539.00,1.24,0.56
540.00,1.21,0.61
541.00,1.14,0.60
542.00,1.07,0.74
543.00,1.01,0.72
544.00,1.08,0.58
545.00,1.03,0.67
546.00,1.08,0.73
547.00,1.18,0.55
548.00,1.01,0.72
549.00,0.99,0.85
550.00,0.78,0.97
551.00,0.93,0.88
552.00,1.02,0.81
553.00,0.88,0.82
554.00,0.79,0.79
555.00,0.83,0.88
556.00,0.85,0.95
557.00,0.64,1.11
558.00,0.78,0.74
559.00,0.81,0.78
560.00,0.70,0.72
561.00,0.71,0.81
562.00,0.56,0.77
563.00,0.44,0.94
564.00,0.71,0.69
565.00,0.49,0.61
566.00,0.59,0.77
567.00,0.51,0.59
568.00,0.56,0.77
569.00,0.50,0.72
570.00,0.58,0.78
571.00,0.58,0.70
572.00,0.59,0.58
573.00,0.49,0.60
574.00,0.55,0.81
575.00,0.58,0.71
576.00,0.43,0.65
577.00,0.46,0.66
578.00,0.31,0.68
579.00,0.32,0.56
580.00,0.37,0.82
581.00,0.22,0.73
582.00,0.10,0.81
583.00,0.19,0.65
584.00,-0.01,0.38
585.00,-0.04,0.58
586.00,0.21,0.69
587.00,0.22,0.88
588.00,0.30,0.72
589.00,0.19,0.67
590.00,0.36,0.70
591.00,0.33,0.58
592.00,0.30,0.61
593.00,0.25,0.71
594.00,0.06,0.68
595.00,0.08,0.68
596.00,0.24,0.70
597.00,0.42,0.70
598.00,0.27,0.64
599.00,0.29,0.75
600.00,0.25,0.66
601.00,0.26,0.65
602.00,0.33,0.61
603.00,0.15,0.73
604.00,0.23,0.60
605.00,0.18,0.70
606.00,0.26,0.58
607.00,0.27,0.61
608.00,0.25,0.66
609.00,0.25,0.46
610.00,0.13,0.58
611.00,0.28,0.48
612.00,0.02,0.50
613.00,0.13,0.50
614.00,0.13,0.42
615.00,0.30,0.45
616.00,0.26,0.38
617.00,0.11,0.36
618.00,0.03,0.42
619.00,-0.08,0.41
620.00,-0.17,0.31
621.00,-0.20,0.50
622.00,-0.15,0.32
623.00,-0.20,0.46
624.00,-0.14,0.50
625.00,-0.07,0.55
626.00,-0.06,0.47
627.00,-0.05,0.42
628.00,0.07,0.45
629.00,-0.15,0.45
630.00,0.01,0.47
631.00,-0.07,0.42
632.00,-0.06,0.49
633.00,-0.01,0.40
634.00,-0.13,0.47
635.00,-0.05,0.33
636.00,0.06,0.47
637.00,-0.04,0.49
638.00,-0.08,0.49
639.00,-0.03,0.40
640.00,-0.06,0.49
641.00,-0.06,0.45
642.00,-0.08,0.41
643.00,-0.17,0.50
644.00,-0.08,0.43
645.00,-0.17,0.60
646.00,-0.05,0.28
647.00,-0.03,0.37
648.00,-0.11,0.42
649.00,-0.08,0.28
650.00,0.01,0.37
651.00,0.13,0.22
652.00,-0.03,0.35
653.00,-0.06,0.33
654.00,0.03,0.38
655.00,0.01,0.26
656.00,-0.09,0.43
657.00,-0.11,0.53
658.00,0.01,0.23
659.00,0.05,0.48
660.00,-0.03,0.53
661.00,0.01,0.36
662.00,-0.03,0.44
663.00,0.02,0.42
664.00,0.10,0.48
665.00,0.06,0.43
666.00,-0.07,0.45
667.00,-0.09,0.40
668.00,-0.08,0.34
669.00,0.04,0.20
670.00,0.10,0.23
671.00,0.02,0.26
672.00,0.03,0.18
673.00,-0.01,0.06
674.00,0.11,0.23
675.00,0.13,0.23
676.00,-0.05,0.31
677.00,0.12,0.14
678.00,0.15,0.12
679.00,0.00,0.15
680.00,0.11,0.21
681.00,-0.04,0.47
682.00,-0.06,0.25
683.00,0.05,0.23
684.00,0.06,0.23
685.00,-0.13,0.18
686.00,-0.04,0.12
687.00,-0.02,0.25
688.00,-0.02,0.29
689.00,-0.02,0.02
690.00,-0.03,0.02
691.00,0.15,0.34
692.00,0.05,0.05
693.00,0.06,0.16
694.00,0.06,0.01
695.00,0.16,0.10
696.00,0.06,0.07
697.00,-0.00,0.20
698.00,0.20,0.19
699.00,0.09,0.10
700.00,-0.00,0.00
