Temperature (C),R1,R2,R3
369.00,86.05,82.79,81.35
370.00,84.96,81.11,79.14
371.00,83.51,78.83,76.39
372.00,82.26,76.16,73.52
373.00,80.23,73.03,70.37
374.00,77.69,69.66,66.56
375.00,74.99,65.79,63.65
376.00,71.53,62.69,59.48
377.00,68.04,58.81,55.19
378.00,64.09,54.60,50.88
379.00,59.75,50.21,46.59
380.00,55.50,45.63,42.41
381.00,50.75,41.32,38.28
382.00,45.99,37.09,34.24
383.00,42.51,32.85,30.76
384.00,38.35,29.23,27.24
385.00,33.84,25.76,25.04
386.00,30.14,22.93,22.27
387.00,26.52,20.10,19.94
388.00,23.09,17.94,18.00
389.00,20.32,15.83,16.37
390.00,18.31,14.83,15.29
391.00,16.44,13.53,14.33
392.00,14.99,12.25,13.37
393.00,13.35,11.45,12.76
394.00,12.61,10.72,12.30
395.00,11.61,10.30,11.47
396.00,10.97,9.81,11.26
397.00,10.41,9.16,11.01
398.00,10.03,9.02,10.77
399.00,9.45,8.54,10.55
400.00,9.29,8.37,10.16
401.00,8.96,8.00,9.94
402.00,8.75,7.84,9.54
403.00,8.84,7.89,9.31
404.00,8.97,7.80,9.15
405.00,8.19,7.79,9.03
406.00,8.18,7.68,8.80
407.00,7.81,7.66,8.80
408.00,7.84,7.42,8.61
409.00,7.70,7.36,8.71
410.00,7.17,7.52,8.47
411.00,7.38,7.20,8.20
412.00,7.54,6.81,8.05
413.00,7.25,7.14,8.16
414.00,6.98,7.28,8.03
415.00,7.23,6.88,8.11
416.00,7.21,7.00,7.93
417.00,7.10,6.86,7.87
418.00,7.13,6.84,7.90
419.00,6.30,6.65,7.67
420.00,7.02,6.73,7.72
421.00,6.46,6.55,7.53
422.00,6.71,6.30,7.51
423.00,6.64,6.36,7.42
424.00,6.56,6.34,7.36
425.00,6.18,6.41,7.30
426.00,6.27,5.91,7.36
427.00,5.93,6.18,7.04
428.00,6.48,5.87,7.13
429.00,6.14,5.77,7.10
430.00,5.82,5.71,7.13
431.00,5.71,5.87,6.88
432.00,5.14,5.77,6.64
433.00,5.20,5.56,6.48
434.00,5.00,5.76,6.40
435.00,4.81,5.43,6.35
436.00,4.61,5.34,6.13
437.00,4.72,5.29,5.99
438.00,4.71,5.31,5.91
439.00,4.53,5.36,5.84
440.00,4.84,5.36,5.92
441.00,4.67,5.13,5.78
442.00,4.46,4.85,5.71
443.00,4.38,4.57,5.69
444.00,4.05,4.71,5.62
445.00,4.29,4.54,5.70
446.00,4.39,4.47,5.60
447.00,4.47,4.31,5.60
448.00,3.76,4.22,5.33
449.00,3.87,4.09,5.25
450.00,3.71,4.11,5.18
451.00,4.07,4.38,5.14
452.00,4.06,3.93,5.30
453.00,3.73,3.80,5.16
454.00,3.73,3.86,5.02
455.00,3.65,3.65,5.08
456.00,3.46,3.73,4.87
457.00,3.44,3.60,4.63
458.00,3.26,3.52,4.80
459.00,3.70,3.73,4.55
460.00,3.47,3.28,4.42
461.00,3.19,3.40,4.42
462.00,3.51,3.44,4.47
463.00,3.32,3.40,4.45
464.00,3.31,3.09,4.44
465.00,3.17,3.10,4.30
466.00,3.38,2.97,4.18
467.00,3.22,2.75,4.22
468.00,3.04,3.00,4.23
469.00,3.27,3.01,4.08
470.00,3.28,3.06,4.00
471.00,2.75,3.16,3.98
472.00,2.69,3.30,3.69
473.00,2.95,3.01,3.62
474.00,2.80,2.95,3.58
475.00,2.83,2.88,3.70
476.00,2.45,2.93,3.53
477.00,2.48,3.08,3.71
478.00,2.80,2.78,3.48
479.00,2.54,2.06,3.56
480.00,2.62,2.52,3.55
481.00,2.51,2.41,3.59
482.00,2.20,2.31,3.52
483.00,2.23,2.20,3.56
484.00,2.01,2.24,3.55
485.00,1.96,2.16,3.42
486.00,2.29,2.43,3.33
487.00,2.21,2.16,3.36
488.00,2.04,2.27,3.30
489.00,2.34,1.60,3.37
490.00,2.18,2.29,3.23
491.00,1.89,1.82,3.36
492.00,1.78,2.32,3.46
493.00,1.59,2.16,3.30
494.00,1.33,2.47,3.27
495.00,1.57,2.30,2.94
496.00,1.59,1.90,2.78
497.00,1.51,1.74,2.80
498.00,1.27,1.98,2.84
499.00,1.19,2.08,2.76
500.00,1.48,1.85,2.68
501.00,0.95,1.98,2.99
502.00,1.07,1.84,2.77
503.00,0.79,1.84,2.61
504.00,0.95,1.74,2.69
505.00,1.04,2.16,2.68
506.00,0.79,1.84,2.72
507.00,1.09,1.78,2.48
508.00,1.04,1.93,2.50
509.00,1.27,1.84,2.41
510.00,0.81,1.65,2.20
511.00,1.30,1.61,2.63
512.00,1.26,1.68,2.23
513.00,1.00,1.71,2.25
514.00,1.09,1.56,2.11
515.00,0.91,1.63,2.38
516.00,0.61,1.66,2.42
517.00,0.88,1.69,2.26
518.00,0.90,1.50,2.29
519.00,1.05,1.52,2.30
520.00,1.21,1.44,2.08
521.00,1.25,1.41,2.19
522.00,0.98,1.21,2.23
523.00,0.80,1.08,2.22
524.00,0.37,1.15,2.27
525.00,0.75,0.97,1.96
526.00,0.68,1.07,2.00
527.00,1.11,1.31,2.08
528.00,0.96,1.12,2.02
529.00,1.09,1.49,2.27
530.00,0.62,1.40,1.91
531.00,0.67,1.02,1.86
532.00,0.78,1.44,2.06
533.00,0.75,1.26,1.80
534.00,0.51,1.13,1.68
535.00,0.50,1.19,1.74
536.00,0.66,1.29,1.67
537.00,0.77,0.83,1.76
538.00,0.91,1.07,1.66
539.00,0.70,1.23,1.81
540.00,0.58,1.25,1.78
541.00,0.50,1.24,1.69
542.00,0.29,1.13,1.78
543.00,0.22,1.19,1.62
544.00,0.53,1.01,1.69
545.00,0.36,1.05,1.69
546.00,0.30,1.20,1.74
547.00,0.62,1.21,1.71
548.00,0.29,0.99,1.73
549.00,0.11,1.05,1.82
550.00,-0.25,0.92,1.66
551.00,0.01,1.01,1.77
552.00,0.10,1.30,1.66
553.00,-0.02,1.08,1.58
554.00,-0.08,0.99,1.45
555.00,-0.16,1.13,1.52
556.00,-0.24,1.27,1.53
557.00,-0.63,1.07,1.47
558.00,-0.07,1.11,1.29
559.00,-0.08,1.11,1.39
560.00,-0.11,0.99,1.24
561.00,-0.20,0.99,1.34
562.00,-0.25,0.62,1.30
563.00,-0.51,0.47,1.37
564.00,-0.01,0.77,1.37
565.00,-0.15,0.56,1.06
566.00,-0.10,0.46,1.42
567.00,-0.09,0.54,1.08
568.00,-0.26,0.66,1.27
569.00,-0.29,0.68,1.11
570.00,-0.29,0.81,1.22
571.00,-0.16,0.67,1.23
572.00,0.04,0.53,1.20
573.00,-0.10,0.50,1.09
574.00,-0.31,0.67,1.29
575.00,-0.14,0.60,1.28
576.00,-0.23,0.45,1.06
577.00,-0.06,0.25,1.21
578.00,-0.40,0.38,0.96
579.00,-0.21,0.25,0.91
580.00,-0.37,0.22,1.25
581.00,-0.50,0.21,0.95
582.00,-0.76,0.23,0.84
583.00,-0.50,0.28,0.80
584.00,-0.44,0.29,0.12
585.00,-0.68,0.41,0.16
586.00,-0.56,0.41,0.77
587.00,-0.73,0.40,0.99
588.00,-0.46,0.42,0.96
589.00,-0.49,0.22,0.84
590.00,-0.37,0.43,1.03
591.00,-0.24,0.31,0.93
592.00,-0.29,0.26,0.92
593.00,-0.49,0.31,0.92
594.00,-0.67,0.19,0.67
595.00,-0.61,0.11,0.74
596.00,-0.53,0.45,0.81
597.00,-0.37,0.64,0.97
598.00,-0.39,0.29,0.90
599.00,-0.56,0.59,0.85
600.00,-0.50,0.50,0.74
601.00,-0.43,0.33,0.87
602.00,-0.37,0.61,0.76
603.00,-0.67,0.37,0.75
604.00,-0.43,0.40,0.72
605.00,-0.59,0.33,0.79
606.00,-0.38,0.43,0.74
607.00,-0.40,0.45,0.77
608.00,-0.37,0.17,0.95
609.00,-0.16,0.17,0.75
610.00,-0.23,-0.19,0.80
611.00,0.00,0.00,0.84
612.00,-0.34,-0.20,0.59
613.00,-0.30,-0.01,0.68
614.00,-0.16,-0.05,0.61
615.00,0.34,-0.16,0.74
616.00,0.05,0.03,0.69
617.00,-0.17,-0.00,0.51
618.00,-0.30,-0.11,0.51
619.00,-0.42,-0.20,0.38
620.00,-0.48,-0.15,0.13
621.00,-0.74,-0.11,0.25
622.00,-0.40,-0.25,0.21
623.00,-0.61,-0.27,0.29
624.00,-0.54,-0.30,0.42
625.00,-0.44,-0.34,0.56
626.00,-0.40,-0.26,0.47
627.00,-0.42,-0.11,0.40
628.00,-0.13,-0.26,0.58
629.00,-0.48,-0.34,0.36
630.00,-0.17,-0.34,0.54
631.00,-0.31,-0.30,0.42
632.00,-0.22,-0.44,0.49
633.00,-0.31,-0.16,0.45
634.00,-0.40,-0.40,0.41
635.00,-0.26,-0.21,0.33
636.00,-0.42,0.07,0.52
637.00,-0.39,-0.23,0.52
638.00,-0.48,-0.23,0.46
639.00,-0.43,-0.03,0.37
640.00,-0.43,-0.25,0.49
641.00,-0.36,-0.27,0.46
642.00,-0.45,-0.16,0.36
643.00,-0.60,-0.28,0.37
644.00,-0.43,-0.20,0.40
645.00,-0.64,-0.39,0.51
646.00,-0.35,-0.01,0.21
647.00,-0.39,-0.07,0.35
648.00,-0.50,-0.17,0.34
649.00,-0.39,0.02,0.13
650.00,-0.23,-0.18,0.44
651.00,-0.05,0.05,0.37
652.00,-0.39,-0.01,0.31
653.00,-0.36,-0.12,0.30
654.00,-0.11,-0.26,0.47
655.00,-0.20,-0.07,0.30
656.00,-0.45,-0.20,0.39
657.00,-0.59,-0.21,0.46
658.00,-0.10,-0.15,0.27
659.00,-0.39,-0.01,0.56
660.00,-0.52,-0.11,0.54
661.00,-0.20,-0.18,0.43
662.00,-0.46,-0.07,0.43
663.00,-0.40,0.01,0.44
664.00,-0.21,-0.16,0.66
665.00,-0.42,0.19,0.42
666.00,-0.43,-0.24,0.44
667.00,-0.42,-0.20,0.36
668.00,-0.31,-0.26,0.31
669.00,-0.18,0.11,0.19
670.00,-0.17,0.26,0.20
671.00,-0.27,0.08,0.24
672.00,-0.16,0.09,0.17
673.00,0.03,0.02,-0.07
674.00,-0.09,0.04,0.36
675.00,0.07,-0.07,0.38
676.00,-0.18,-0.28,0.31
677.00,0.27,-0.01,0.10
678.00,0.27,0.04,0.13
679.00,-0.04,-0.12,0.16
680.00,0.31,-0.11,0.12
681.00,0.25,-0.58,0.20
682.00,0.08,-0.34,0.09
683.00,0.31,-0.10,-0.06
684.00,0.31,-0.14,0.01
685.00,-0.18,-0.28,0.08
686.00,-0.03,-0.16,0.08
687.00,0.22,-0.28,0.00
688.00,0.13,-0.35,0.16
689.00,-0.04,0.00,-0.02
690.00,-0.01,-0.04,-0.04
691.00,0.54,-0.03,-0.06
692.00,0.09,-0.01,0.08
693.00,0.15,-0.12,0.17
694.00,0.06,0.06,0.05
695.00,0.28,0.07,0.13
696.00,0.04,0.14,-0.01
697.00,-0.24,0.10,0.12
698.00,0.02,0.18,0.40
699.00,-0.02,0.12,0.17
700.00,0.00,0.00,-0.00
