Time after Ignition,XPS_Foam_Board_R1,XPS_Foam_Board_R2,XPS_Foam_Board_R3,Mean,Std. Dev.
15.25,1116.2,1019.8,1065.2,1067.1,48.2
15.5,1023.8,1171.5,1004.0,1066.4,91.6
15.75,1147.0,1020.3,1080.7,1082.7,63.4
16.0,1075.1,1215.3,1173.9,1154.8,72.0
16.25,1149.3,1170.6,1166.1,1162.0,11.2
16.5,1249.3,1200.8,1201.9,1217.3,27.7
16.75,1098.9,1206.7,1246.5,1184.0,76.4
17.0,1215.0,1282.1,1271.5,1256.2,36.1
17.25,1212.5,1306.3,1244.6,1254.4,47.7
17.5,1211.5,1315.1,1279.5,1268.7,52.6
17.75,1199.9,1350.1,1426.0,1325.3,115.1
18.0,1165.7,1409.8,1346.2,1307.3,126.6
18.25,1227.3,1370.2,1302.3,1299.9,71.4
18.5,1245.0,1424.7,1455.6,1375.1,113.7
18.75,1325.3,1346.5,1355.4,1342.4,15.5
19.0,1223.2,1390.4,1431.7,1348.5,110.4
19.25,1248.4,1443.6,1579.5,1423.9,166.4
19.5,1203.8,1374.0,1498.4,1358.7,147.9
19.75,1247.8,1408.7,1410.6,1355.7,93.4
20.0,1247.4,1399.7,1469.5,1372.2,113.6
20.25,1220.4,1506.1,1447.5,1391.3,150.9
20.5,1227.2,1404.5,1405.9,1345.9,102.8
20.75,1238.4,1526.5,1532.2,1432.4,168.0
21.0,1207.3,1484.5,1442.5,1378.1,149.4
21.25,1290.2,1456.3,1456.5,1401.0,95.9
21.5,1156.7,1474.7,1469.6,1367.0,182.1
21.75,1231.8,1455.5,1424.2,1370.5,121.1
22.0,1135.6,1434.1,1477.0,1348.9,186.0
22.25,1196.3,1457.0,1457.0,1370.1,150.5
22.5,1156.8,1472.1,1390.7,1339.9,163.7
22.75,1161.7,1452.0,1425.2,1346.3,160.4
23.0,1128.2,1425.5,1424.7,1326.1,171.4
23.25,1115.3,1448.3,1357.0,1306.8,172.1
23.5,1115.1,1417.4,1340.9,1291.2,157.2
23.75,1120.9,1339.8,1279.9,1246.9,113.1
24.0,1113.2,1326.1,1297.0,1245.4,115.4
24.25,1023.7,1297.9,1256.5,1192.7,147.8
24.5,1059.7,1269.5,1245.3,1191.5,114.8
24.75,1045.4,1232.4,1226.1,1168.0,106.2
25.0,1019.2,1211.1,1187.1,1139.1,104.6
25.25,1010.3,1172.0,1141.2,1107.8,85.8
25.5,994.0,1166.9,1136.2,1099.0,92.2
25.75,957.9,1143.9,1137.8,1079.9,105.7
26.0,952.4,1077.5,1068.6,1032.9,69.8
26.25,925.3,1062.9,1014.2,1000.8,69.8
26.5,906.7,991.8,1007.9,968.8,54.4
26.75,880.9,993.7,959.8,944.8,57.9
27.0,818.3,934.8,960.6,904.6,75.8
27.25,823.7,899.1,910.6,877.8,47.2
27.5,801.9,864.2,872.2,846.1,38.5
27.75,754.7,827.9,860.7,814.4,54.3
28.0,731.4,807.9,825.8,788.4,50.1
28.25,700.1,763.0,792.4,751.8,47.2
28.5,651.0,751.6,746.8,716.5,56.7
28.75,618.0,704.3,722.2,681.5,55.7
29.0,601.6,679.9,715.1,665.5,58.1
29.25,573.3,640.6,660.7,624.9,45.8
29.5,552.5,577.7,648.7,593.0,49.9
29.75,520.4,586.2,621.7,576.1,51.4
30.0,493.3,560.6,595.2,549.7,51.8
30.25,469.9,534.2,574.2,526.1,52.6
30.5,454.6,513.0,549.5,505.7,47.9
30.75,428.4,481.6,535.1,481.7,53.3
31.0,408.4,461.8,504.3,458.2,48.1
31.25,394.7,435.4,476.5,435.5,40.9
31.5,370.3,420.3,461.8,417.5,45.9
31.75,351.3,393.7,441.6,395.5,45.2
32.0,330.3,369.3,418.0,372.5,43.9
32.25,312.7,348.5,398.4,353.2,43.1
32.5,293.1,331.1,382.0,335.4,44.6
32.75,282.1,317.0,363.8,321.0,41.0
33.0,266.6,299.5,345.0,303.7,39.4
33.25,260.0,280.4,325.9,288.7,33.7
33.5,244.8,263.7,310.0,272.8,33.6
33.75,228.7,253.3,295.6,259.2,33.9
34.0,216.0,234.6,281.2,243.9,33.6
34.25,207.6,218.7,267.6,231.3,31.9
34.5,199.9,207.4,248.7,218.7,26.3
34.75,188.5,194.7,240.6,207.9,28.4
35.0,179.0,170.1,226.3,191.8,30.2
35.25,170.1,170.1,216.5,185.6,26.8
35.5,162.0,161.7,201.4,175.1,22.8
35.75,157.7,151.9,189.1,166.2,20.0
36.0,147.9,142.3,181.6,157.3,21.2
36.25,142.3,134.5,171.6,149.5,19.6
36.5,135.4,124.8,160.6,140.3,18.4
36.75,131.5,116.9,150.2,132.9,16.7
37.0,125.6,110.1,141.4,125.7,15.6
37.25,121.1,102.1,136.2,119.8,17.1
37.5,113.7,96.5,128.4,112.9,16.0
37.75,110.8,91.7,122.1,108.2,15.4
38.0,105.2,85.2,113.7,101.4,14.7
38.25,103.8,81.2,106.4,97.1,13.9
38.5,97.5,75.2,102.6,91.8,14.6
38.75,93.5,70.9,96.1,86.8,13.8
39.0,89.9,67.1,90.4,82.5,13.3
39.25,87.3,63.2,85.3,78.6,13.4
39.5,82.5,,80.9,81.7,1.1
39.75,78.9,,76.3,77.6,1.8
40.0,75.5,,71.9,73.7,2.5
40.25,71.6,,,71.6,
40.5,70.3,,,70.3,
40.75,66.0,,,66.0,
41.0,62.5,,,62.5,
41.25,61.1,,,61.1,
41.5,56.8,,,56.8,
