Time after Ignition,Overstuffed_Chair_Assembly_R1,Overstuffed_Chair_Assembly_R2,Overstuffed_Chair_Assembly_R3,Mean,Std. Dev.
10.25,196.4,194.6,247.4,212.8,30.0
10.5,198.2,199.1,242.2,213.2,25.2
10.75,198.2,198.2,240.0,212.1,24.1
11.0,199.6,198.0,241.5,213.0,24.6
11.25,197.6,198.2,239.7,211.8,24.2
11.5,202.7,203.9,239.7,215.4,21.1
11.75,201.3,207.5,242.9,217.3,22.5
12.0,200.0,208.3,247.4,218.6,25.3
12.25,197.4,210.1,243.8,217.1,24.0
12.5,202.5,207.6,240.9,217.0,20.8
12.75,199.0,209.6,242.1,216.9,22.5
13.0,197.7,213.8,240.0,217.2,21.3
13.25,202.0,216.3,248.0,222.1,23.6
13.5,199.3,217.8,240.0,219.0,20.3
13.75,201.9,210.6,243.2,218.6,21.8
14.0,201.2,216.2,247.5,221.6,23.6
14.25,199.5,220.1,250.0,223.2,25.4
14.5,203.8,212.3,248.9,221.7,24.0
14.75,204.0,220.8,250.4,225.1,23.5
15.0,203.8,220.9,257.9,227.5,27.6
15.25,204.9,227.1,256.9,229.7,26.1
15.5,202.9,222.2,270.6,231.9,34.8
15.75,207.5,226.5,278.6,237.5,36.8
16.0,211.9,225.0,280.2,239.1,36.3
16.25,208.5,232.0,282.5,241.0,37.9
16.5,209.0,232.8,295.3,245.7,44.6
16.75,210.2,233.2,301.7,248.4,47.6
17.0,215.5,238.6,314.6,256.2,51.8
17.25,216.8,243.1,319.1,259.6,53.1
17.5,217.5,249.1,315.5,260.7,50.0
17.75,216.5,248.1,321.7,262.1,54.0
18.0,221.6,253.5,337.0,270.7,59.6
18.25,220.1,255.6,349.4,275.0,66.8
18.5,221.6,260.9,349.8,277.4,65.7
18.75,225.0,278.5,365.5,289.7,70.9
19.0,220.7,285.3,360.2,288.7,69.8
19.25,225.0,291.8,368.2,295.0,71.7
19.5,230.1,299.5,370.9,300.2,70.4
19.75,232.1,318.1,378.9,309.7,73.8
20.0,233.6,335.4,406.0,325.0,86.7
20.25,236.7,350.3,398.1,328.3,82.9
20.5,240.5,354.3,416.3,337.0,89.2
20.75,240.7,381.3,430.0,350.7,98.3
21.0,249.2,398.9,456.6,368.2,107.0
21.25,249.3,401.7,430.1,360.4,97.2
21.5,258.9,432.4,483.5,391.6,117.7
21.75,268.1,434.0,499.6,400.6,119.3
22.0,276.9,447.7,495.0,406.6,114.7
22.25,275.1,459.1,502.6,412.3,120.8
22.5,285.9,475.6,537.3,432.9,131.0
22.75,303.8,478.8,590.0,457.5,144.3
23.0,300.3,508.8,567.8,459.0,140.5
23.25,317.1,536.7,595.4,483.1,146.7
23.5,316.7,566.5,596.9,493.4,153.8
23.75,340.2,548.1,657.8,515.4,161.3
24.0,348.3,575.0,693.7,539.0,175.5
24.25,359.0,531.3,647.9,512.7,145.3
24.5,383.2,604.5,658.9,548.9,146.0
24.75,388.7,641.1,701.4,577.1,165.9
25.0,391.6,590.5,687.4,556.5,150.8
25.25,430.7,630.2,721.3,594.1,148.6
25.5,418.9,666.9,701.2,595.7,154.0
25.75,437.2,666.6,753.3,619.0,163.3
26.0,448.1,753.4,739.2,646.9,172.3
26.25,445.5,665.7,777.9,629.7,169.1
26.5,449.5,704.2,796.7,650.1,179.8
26.75,444.6,685.4,719.9,616.6,150.0
27.0,470.5,709.0,790.0,656.5,166.1
27.25,502.1,782.1,801.4,695.2,167.5
27.5,470.0,792.0,842.6,701.5,202.1
27.75,506.6,818.1,881.5,735.4,200.7
28.0,503.2,779.4,846.9,709.9,182.1
28.25,519.6,784.4,813.6,705.9,162.0
28.5,531.9,827.4,847.3,735.6,176.6
28.75,520.6,911.5,840.5,757.5,208.2
29.0,546.1,847.5,849.9,747.8,174.7
29.25,545.4,942.0,961.4,816.2,234.8
29.5,576.1,852.2,874.2,767.5,166.1
29.75,573.5,969.2,939.3,827.3,220.3
30.0,557.7,912.1,930.4,800.1,210.1
30.25,653.7,883.0,943.0,826.6,152.7
30.5,659.4,1032.2,983.0,891.5,202.6
30.75,674.2,980.1,1037.3,897.2,195.3
31.0,712.2,983.5,1028.9,908.2,171.2
31.25,688.4,953.1,992.8,878.1,165.5
31.5,734.4,1011.6,946.6,897.6,145.0
31.75,709.6,1037.1,946.4,897.7,169.1
32.0,798.0,1067.3,979.7,948.3,137.4
32.25,743.1,1029.3,1012.9,928.5,160.7
32.5,831.0,1013.3,1017.4,953.9,106.4
32.75,850.9,1025.9,1040.7,972.5,105.6
33.0,819.9,1020.7,962.6,934.4,103.4
33.25,859.5,1163.6,1045.3,1022.8,153.3
33.5,833.9,993.4,983.5,937.0,89.4
33.75,824.1,1050.5,1018.8,964.4,122.6
34.0,850.8,1145.8,1034.2,1010.3,149.0
34.25,882.8,1175.5,1032.0,1030.1,146.4
34.5,846.7,1083.7,1064.0,998.1,131.5
34.75,868.4,1137.2,1002.1,1002.6,134.4
35.0,867.2,1090.4,1068.5,1008.7,123.0
35.25,912.1,1034.1,1082.1,1009.4,87.6
35.5,943.0,1138.0,1011.2,1030.7,99.0
35.75,930.4,1174.7,1053.3,1052.8,122.1
36.0,971.5,1124.8,1023.3,1039.8,78.0
36.25,1016.1,1124.1,1076.6,1072.3,54.2
36.5,945.1,1078.0,1009.1,1010.7,66.4
36.75,912.4,1167.8,1041.3,1040.5,127.7
37.0,964.0,1130.8,1081.0,1058.6,85.6
37.25,1009.8,1064.4,1004.3,1026.2,33.2
37.5,1042.5,1123.8,1022.3,1062.9,53.7
37.75,926.1,1181.5,1052.9,1053.5,127.7
38.0,1039.7,1170.9,1087.4,1099.3,66.4
38.25,992.4,1138.0,969.5,1033.3,91.4
38.5,1008.6,1106.7,955.4,1023.6,76.8
38.75,963.1,1137.6,985.2,1028.6,95.0
39.0,990.0,1125.4,1017.9,1044.4,71.5
39.25,1024.9,1131.5,953.2,1036.5,89.7
39.5,1081.2,1178.3,1044.3,1101.2,69.2
39.75,958.7,1155.2,1037.5,1050.5,98.9
40.0,1001.9,1132.4,936.6,1023.7,99.7
40.25,1079.9,1120.8,962.3,1054.3,82.3
40.5,1122.5,1143.7,1032.2,1099.5,59.2
40.75,1016.1,1094.1,1006.5,1038.9,48.0
41.0,1058.8,1086.6,971.2,1038.9,60.2
41.25,1080.5,1132.6,931.0,1048.0,104.6
41.5,1066.5,1079.3,961.5,1035.8,64.7
41.75,1056.2,1077.8,948.9,1027.6,69.0
42.0,1077.5,1162.3,951.2,1063.6,106.2
42.25,1045.5,1092.8,943.2,1027.2,76.4
42.5,1073.8,1121.3,994.6,1063.2,64.0
42.75,963.9,1129.9,930.1,1008.0,107.0
43.0,1085.0,1033.3,961.5,1026.6,62.0
43.25,1009.2,1086.8,929.2,1008.4,78.8
43.5,1073.3,986.3,919.8,993.1,77.0
43.75,1045.3,1073.8,944.4,1021.2,68.0
44.0,1040.3,1072.7,969.8,1027.6,52.6
44.25,1032.4,992.2,898.6,974.4,68.6
44.5,1001.1,1052.3,920.0,991.1,66.7
44.75,997.5,985.1,941.7,974.7,29.3
45.0,975.5,953.2,914.3,947.6,31.0
45.25,1002.2,1035.6,944.4,994.0,46.2
45.5,1114.1,968.1,915.9,999.4,102.7
45.75,985.6,956.2,896.6,946.1,45.4
46.0,1019.4,967.6,912.5,966.5,53.5
46.25,946.6,947.3,899.3,931.1,27.5
46.5,1009.8,985.7,876.8,957.4,70.9
46.75,986.5,919.5,870.7,925.6,58.1
47.0,964.8,894.0,895.9,918.2,40.3
47.25,917.6,926.7,810.9,885.1,64.4
47.5,1010.0,896.1,853.9,920.0,80.8
47.75,951.8,941.1,839.1,910.7,62.2
48.0,944.5,861.0,832.8,879.4,58.1
48.25,935.7,849.8,810.3,865.3,64.1
48.5,914.1,852.1,804.2,856.8,55.1
48.75,895.8,866.7,809.7,857.4,43.8
49.0,910.4,861.6,789.0,853.7,61.1
49.25,911.4,788.1,765.1,821.5,78.6
49.5,924.2,741.7,746.4,804.1,104.0
49.75,919.6,753.3,742.1,805.0,99.4
50.0,908.1,761.7,733.5,801.1,93.7
50.25,963.4,748.9,708.9,807.1,136.9
50.5,925.0,733.6,687.0,781.8,126.1
50.75,885.2,705.2,698.0,762.8,106.1
51.0,856.9,697.5,676.4,743.6,98.7
51.25,908.3,698.4,651.6,752.8,136.7
51.5,860.9,673.2,654.2,729.4,114.3
51.75,850.1,672.8,632.0,718.3,115.9
52.0,860.9,642.4,615.7,706.3,134.5
52.25,849.4,629.2,611.5,696.7,132.6
52.5,790.0,612.0,588.9,663.6,110.0
52.75,772.6,584.1,565.0,640.6,114.8
53.0,821.2,578.1,583.5,660.9,138.8
53.25,818.5,568.2,561.5,649.4,146.5
53.5,775.4,553.1,542.1,623.5,131.6
53.75,772.9,521.3,544.0,612.7,139.2
54.0,785.0,517.3,528.8,610.4,151.3
54.25,762.2,514.9,506.8,594.6,145.2
54.5,742.4,508.4,500.1,583.6,137.6
54.75,724.2,486.7,495.9,568.9,134.5
55.0,716.7,489.1,486.8,564.2,132.1
55.25,711.0,476.7,471.5,553.1,136.8
55.5,695.3,468.5,468.8,544.2,130.9
55.75,678.1,438.4,461.7,526.1,132.2
56.0,664.4,427.8,451.3,514.5,130.4
56.25,669.9,420.2,446.4,512.1,137.2
56.5,662.2,399.9,430.5,497.5,143.4
56.75,659.7,383.8,423.3,488.9,149.2
57.0,602.5,363.8,411.7,459.3,126.3
57.25,614.9,358.5,397.6,457.0,138.2
57.5,618.5,336.9,391.5,449.0,149.3
57.75,587.0,323.6,376.8,429.1,139.3
58.0,575.1,312.7,364.7,417.5,138.9
58.25,556.2,298.8,353.3,402.8,135.6
58.5,538.7,285.2,342.9,388.9,132.9
58.75,540.3,271.9,338.3,383.5,139.8
59.0,527.4,265.7,318.4,370.5,138.4
59.25,511.0,247.8,310.7,356.5,137.4
59.5,507.1,235.5,297.0,346.5,142.4
59.75,478.6,221.3,285.4,328.4,133.9
60.0,455.9,211.8,273.5,313.7,126.9
60.25,444.2,202.5,260.5,302.4,126.2
60.5,435.4,196.0,247.7,293.0,126.0
60.75,416.9,190.9,241.2,283.0,118.7
61.0,409.6,175.6,229.1,271.4,122.6
61.25,388.5,168.8,220.3,259.2,114.9
61.5,373.4,159.1,210.4,247.7,111.9
61.75,363.2,153.8,201.5,239.5,109.7
62.0,349.3,148.1,194.2,230.5,105.4
62.25,332.5,139.7,184.8,219.0,100.8
62.5,318.4,131.2,177.2,209.0,97.6
62.75,306.7,126.0,171.6,201.5,94.0
63.0,295.3,,162.6,228.9,93.9
63.25,288.0,,156.3,222.2,93.1
63.5,271.1,,153.0,212.0,83.5
63.75,270.4,,146.8,208.6,87.4
64.0,257.0,,136.8,196.9,85.0
64.25,244.6,,131.4,188.0,80.0
64.5,236.8,,126.6,181.7,77.9
64.75,227.9,,121.7,174.8,75.1
65.0,217.4,,118.5,168.0,69.9
65.25,207.9,,111.6,159.7,68.1
65.5,199.7,,108.8,154.3,64.3
65.75,190.6,,,190.6,
66.0,180.9,,,180.9,
66.25,174.2,,,174.2,
66.5,170.6,,,170.6,
66.75,160.5,,,160.5,
67.0,155.8,,,155.8,
67.25,148.4,,,148.4,
67.5,144.2,,,144.2,
67.75,136.8,,,136.8,
68.0,135.8,,,135.8,
68.25,129.8,,,129.8,
68.5,125.7,,,125.7,
68.75,120.5,,,120.5,
69.0,121.2,,,121.2,
69.25,117.5,,,117.5,
69.5,112.9,,,112.9,
69.75,110.5,,,110.5,
70.0,107.9,,,107.9,
70.25,106.0,,,106.0,
70.5,102.6,,,102.6,
70.75,101.1,,,101.1,
71.0,99.6,,,99.6,
71.25,96.2,,,96.2,
71.5,93.2,,,93.2,
71.75,89.6,,,89.6,
72.0,88.0,,,88.0,
72.25,85.1,,,85.1,
72.5,83.4,,,83.4,
72.75,83.2,,,83.2,
73.0,80.3,,,80.3,
73.25,78.7,,,78.7,
73.5,77.5,,,77.5,
73.75,76.0,,,76.0,
74.0,72.3,,,72.3,
74.25,71.7,,,71.7,
74.5,69.8,,,69.8,
74.75,68.3,,,68.3,
75.0,67.2,,,67.2,
75.25,67.4,,,67.4,
75.5,64.6,,,64.6,
75.75,64.0,,,64.0,
