Names,Overstuffed_Chair_Assembly_R1,Overstuffed_Chair_Assembly_R2,Overstuffed_Chair_Assembly_R3,Mean,Std. Dev.
389,266.2,195.6,225.7,229.2,35.4
390,260.6,193.0,230.8,228.1,33.9
391,263.2,196.7,221.4,227.1,33.7
392,259.1,204.2,219.6,227.6,28.4
393,265.6,207.1,225.9,232.8,29.9
394,267.3,204.5,227.1,233.0,31.8
395,266.7,207.0,222.8,232.2,30.9
396,266.5,206.3,226.6,233.2,30.6
397,268.3,208.8,229.9,235.7,30.2
398,262.5,211.1,229.9,234.5,26.0
399,262.6,221.7,233.8,239.4,21.0
400,259.6,221.2,233.7,238.2,19.6
401,262.5,222.7,236.6,240.6,20.2
402,261.5,222.0,235.1,239.5,20.1
403,264.6,225.0,236.3,242.0,20.4
404,260.0,228.4,239.9,242.8,16.0
405,258.8,227.0,230.5,238.7,17.4
406,263.1,227.2,227.3,239.2,20.7
407,259.4,230.7,235.4,241.8,15.4
408,262.9,234.4,234.3,243.9,16.5
409,255.3,234.6,237.5,242.5,11.2
410,260.0,234.1,240.3,244.8,13.5
411,259.0,239.3,237.7,245.3,11.9
412,264.9,240.4,234.9,246.7,16.0
413,258.3,241.0,236.9,245.4,11.4
414,252.0,236.5,237.1,241.9,8.8
415,261.9,242.0,239.0,247.6,12.5
416,262.7,239.3,243.2,248.4,12.5
417,266.6,248.0,244.0,252.8,12.1
418,264.2,241.9,231.9,246.0,16.5
419,271.8,251.4,241.4,254.8,15.5
420,266.3,243.8,243.9,251.4,13.0
421,269.7,249.9,242.7,254.1,14.0
422,272.9,253.7,245.8,257.4,13.9
423,275.4,256.0,254.9,262.1,11.5
424,267.4,259.7,256.7,261.3,5.5
425,264.2,263.9,256.6,261.6,4.3
426,269.5,264.2,261.1,264.9,4.3
427,268.2,258.8,270.7,265.9,6.2
428,276.6,267.4,269.1,271.0,4.9
429,273.3,272.9,264.3,270.1,5.0
430,270.8,279.5,263.8,271.4,7.8
431,272.6,276.6,267.5,272.2,4.6
432,265.6,273.6,264.3,267.8,5.0
433,279.5,275.7,265.8,273.6,7.1
434,283.0,277.4,268.5,276.3,7.3
435,278.6,286.8,268.2,277.9,9.3
436,275.6,280.7,271.4,275.9,4.6
437,276.5,284.9,274.1,278.5,5.7
438,284.6,287.6,267.6,280.0,10.8
439,275.1,284.7,275.0,278.3,5.5
440,275.6,293.2,286.5,285.1,8.8
441,277.8,287.5,276.6,280.6,6.0
442,279.1,284.8,279.1,281.0,3.3
443,280.7,285.7,273.4,279.9,6.2
444,275.3,287.8,278.4,280.5,6.5
445,279.4,287.9,277.8,281.7,5.4
446,282.7,287.2,279.0,283.0,4.1
447,278.5,288.2,269.0,278.6,9.6
448,273.1,306.7,278.9,286.2,17.9
449,276.9,298.1,278.2,284.4,11.9
450,278.5,289.3,277.4,281.8,6.6
451,278.9,295.9,282.8,285.9,8.9
452,281.6,301.9,281.7,288.4,11.7
453,286.5,300.0,279.7,288.7,10.4
454,273.4,303.2,286.4,287.7,14.9
455,281.0,308.8,289.5,293.1,14.3
456,291.0,326.2,279.9,299.0,24.2
457,285.7,306.9,287.6,293.4,11.7
458,282.4,303.7,278.0,288.0,13.7
459,282.2,310.9,282.5,291.9,16.5
460,287.7,312.2,287.6,295.8,14.2
461,275.8,321.0,288.1,295.0,23.4
462,280.8,330.3,290.6,300.6,26.2
463,287.0,326.6,280.4,298.0,25.0
464,285.2,329.4,290.9,301.8,24.1
465,283.8,334.4,286.0,301.4,28.6
466,281.7,327.3,289.0,299.3,24.5
467,281.9,327.7,292.8,300.8,23.9
468,281.5,334.1,291.0,302.2,28.1
469,284.5,340.4,290.8,305.2,30.6
470,283.0,329.7,290.6,301.1,25.1
471,291.0,327.3,297.1,305.1,19.4
472,286.6,336.7,289.3,304.2,28.2
473,283.2,340.2,292.2,305.2,30.6
474,281.9,337.7,297.3,305.6,28.8
475,286.1,347.9,290.9,308.3,34.4
476,288.7,349.8,298.0,312.2,32.9
477,290.3,336.3,302.5,309.7,23.8
478,290.1,339.0,303.3,310.8,25.3
479,288.5,345.9,296.4,310.3,31.1
480,289.7,345.0,293.5,309.4,30.9
481,288.2,335.2,295.3,306.2,25.3
482,292.7,353.7,297.9,314.8,33.8
483,298.1,342.0,291.5,310.5,27.5
484,299.1,337.2,295.7,310.7,23.1
485,286.8,348.7,289.0,308.2,35.1
486,296.8,335.9,291.4,308.0,24.3
487,292.9,340.7,297.4,310.3,26.4
488,296.7,342.9,295.3,311.7,27.1
489,299.7,335.8,289.9,308.5,24.2
490,301.2,347.0,294.4,314.2,28.6
491,298.2,345.2,290.6,311.3,29.6
492,301.7,354.1,292.0,315.9,33.4
493,296.8,342.2,294.8,311.3,26.8
494,290.5,342.5,287.3,306.8,31.0
495,296.8,352.3,287.4,312.1,35.1
496,303.1,335.9,283.6,307.5,26.4
497,299.7,345.8,288.9,311.5,30.2
498,302.8,348.8,291.0,314.2,30.6
499,294.9,346.2,291.3,310.8,30.7
500,289.2,362.0,288.9,313.4,42.1
501,295.7,352.5,289.2,312.4,34.8
502,300.1,355.0,290.5,315.2,34.8
503,296.7,354.2,289.8,313.6,35.3
504,296.7,346.5,285.2,309.5,32.6
505,302.2,352.1,293.9,316.0,31.5
506,297.0,363.0,284.9,315.0,42.0
507,291.6,356.5,294.2,314.1,36.8
508,304.8,353.5,288.4,315.6,33.8
509,305.2,362.3,288.6,318.7,38.7
510,302.6,349.5,286.1,312.7,32.9
511,300.5,355.8,291.1,315.8,34.9
512,305.7,366.6,281.9,318.1,43.7
513,304.2,357.1,287.7,316.4,36.3
514,299.3,352.8,292.2,314.8,33.1
515,307.0,366.6,296.4,323.3,37.8
516,307.9,358.1,300.1,322.0,31.5
517,297.0,362.8,295.9,318.5,38.3
518,312.1,354.3,294.7,320.4,30.7
519,312.8,363.4,289.7,322.0,37.7
520,304.5,361.3,287.3,317.7,38.7
521,313.7,361.0,295.2,323.3,33.9
522,304.9,356.6,298.2,319.9,31.9
523,312.3,362.3,304.4,326.3,31.4
524,313.1,369.3,297.9,326.8,37.6
525,309.4,360.9,301.1,323.8,32.4
526,312.6,358.7,298.1,323.1,31.6
527,308.2,358.8,303.7,323.6,30.6
528,304.9,363.0,296.9,321.6,36.1
529,315.7,365.3,301.0,327.3,33.7
530,310.8,358.0,306.0,324.9,28.7
531,313.7,356.6,304.6,325.0,27.8
532,313.9,353.7,303.5,323.7,26.5
533,310.8,357.0,309.7,325.9,27.0
534,304.9,367.3,308.0,326.7,35.2
535,310.5,364.4,307.2,327.4,32.1
536,308.9,361.9,304.5,325.1,31.9
537,306.2,356.4,299.8,320.8,31.0
538,313.7,361.0,303.9,326.2,30.5
539,305.8,364.9,315.0,328.5,31.8
540,308.7,359.4,305.7,324.6,30.2
541,301.1,363.5,301.6,322.0,35.9
542,299.8,358.9,300.6,319.7,33.9
543,309.8,364.7,303.4,326.0,33.7
544,305.2,361.1,306.6,324.3,31.9
545,309.7,359.5,305.6,324.9,30.0
546,313.5,365.5,305.5,328.2,32.6
547,315.1,362.1,296.4,324.5,33.9
548,306.7,359.7,299.0,321.8,33.0
549,307.8,368.7,295.9,324.1,39.1
550,318.7,359.6,306.6,328.3,27.8
551,315.5,366.9,301.0,327.8,34.6
552,302.8,361.9,295.7,320.1,36.3
553,308.5,367.5,306.6,327.5,34.6
554,313.7,365.0,299.1,325.9,34.6
555,315.8,366.0,296.7,326.2,35.8
556,309.8,364.8,300.0,324.8,34.9
557,308.8,370.4,303.1,327.4,37.3
558,311.7,367.3,305.3,328.1,34.1
559,311.4,362.2,303.3,325.6,31.9
560,310.4,370.1,299.3,326.6,38.1
561,313.8,367.0,297.6,326.1,36.3
562,303.9,355.7,295.6,318.4,32.6
563,305.2,373.0,296.7,325.0,41.8
564,305.5,356.8,301.2,321.2,30.9
565,308.9,374.0,296.5,326.5,41.6
566,308.0,361.5,294.0,321.2,35.6
567,306.9,364.3,299.2,323.5,35.5
568,302.3,356.1,293.2,317.2,34.0
569,305.3,354.2,294.8,318.1,31.7
570,301.9,365.2,293.0,320.0,39.4
571,297.4,359.4,286.3,314.4,39.4
572,301.2,365.6,290.9,319.3,40.5
573,307.1,355.6,288.0,316.9,34.8
574,300.5,360.2,285.9,315.5,39.3
575,299.1,361.2,288.8,316.4,39.2
576,307.4,360.0,288.4,318.6,37.1
577,313.0,358.8,284.1,318.6,37.7
578,305.9,360.6,292.1,319.6,36.3
579,314.3,373.1,286.7,324.7,44.1
580,305.2,365.3,285.9,318.8,41.4
581,300.2,356.2,279.0,311.8,39.9
582,316.0,352.8,288.1,319.0,32.5
583,311.4,355.1,281.1,315.9,37.2
584,326.2,362.8,279.7,322.9,41.6
585,325.8,354.6,279.1,319.9,38.1
586,326.7,352.6,283.8,321.1,34.7
587,327.2,353.8,281.2,320.8,36.7
588,325.1,370.1,287.2,327.5,41.5
589,320.7,359.2,288.1,322.7,35.6
590,327.7,350.9,284.5,321.0,33.7
591,324.9,351.1,283.0,319.7,34.4
592,324.8,357.1,280.4,320.8,38.5
593,331.1,358.9,273.5,321.2,43.5
594,334.0,348.2,275.1,319.1,38.7
595,330.5,347.5,281.4,319.8,34.3
596,318.6,357.4,278.2,318.1,39.6
597,326.5,349.6,273.9,316.7,38.8
598,324.6,355.1,276.7,318.8,39.5
599,329.6,343.0,277.0,316.6,34.9
600,319.0,344.6,276.6,313.4,34.4
601,312.4,349.6,281.5,314.5,34.1
602,316.8,346.2,272.6,311.9,37.1
603,310.1,342.4,274.5,309.0,33.9
604,310.5,341.5,273.5,308.5,34.0
605,303.8,335.5,271.8,303.7,31.9
606,307.1,336.4,269.3,304.3,33.6
607,297.7,344.1,268.8,303.5,38.0
608,296.7,335.3,273.1,301.7,31.4
609,301.4,338.5,275.1,305.0,31.9
610,293.2,341.6,268.0,300.9,37.4
611,291.8,342.0,271.9,301.9,36.2
612,290.3,338.3,272.4,300.3,34.1
613,293.6,336.2,269.9,299.9,33.6
614,291.0,338.4,268.3,299.2,35.8
615,278.5,341.8,270.1,296.8,39.2
616,283.6,335.7,264.7,294.7,36.8
617,288.1,341.9,268.5,299.5,38.0
618,286.2,334.5,269.1,296.6,33.9
619,275.3,333.7,267.2,292.1,36.3
620,282.6,329.2,263.8,291.9,33.7
621,282.3,335.4,264.6,294.1,36.9
622,275.4,341.7,266.9,294.7,41.0
623,284.7,336.6,259.4,293.6,39.3
624,286.0,334.3,262.2,294.2,36.7
625,277.7,332.6,269.4,293.2,34.3
626,284.5,334.5,271.3,296.8,33.3
627,283.1,321.5,267.2,290.6,27.9
628,282.3,326.4,264.9,291.2,31.7
629,276.1,324.3,265.5,288.6,31.3
630,276.4,321.0,261.7,286.4,30.9
631,280.5,322.2,264.6,289.1,29.8
632,282.0,317.7,262.2,287.3,28.1
633,274.1,324.0,263.7,287.3,32.2
634,279.1,311.4,268.2,286.2,22.4
635,283.3,313.4,254.2,283.6,29.6
636,276.6,314.6,260.0,283.7,28.0
637,276.1,309.9,255.7,280.6,27.4
638,278.3,309.6,261.7,283.2,24.3
639,278.7,305.2,260.2,281.4,22.6
640,276.3,293.5,268.0,279.3,13.0
641,275.1,301.2,264.5,280.3,18.9
642,268.4,305.4,258.6,277.5,24.7
643,276.7,296.2,264.9,279.3,15.8
644,269.6,295.4,262.6,275.9,17.3
645,271.5,295.9,269.5,279.0,14.7
646,268.1,294.0,262.2,274.8,16.9
647,268.8,296.7,263.8,276.5,17.7
648,264.7,292.0,265.3,274.0,15.6
649,262.5,292.2,266.2,273.7,16.2
650,255.4,292.5,271.7,273.2,18.6
651,260.4,293.7,270.1,274.8,17.2
652,261.1,291.3,265.3,272.6,16.4
653,261.5,290.1,268.3,273.3,14.9
654,258.2,283.0,261.0,267.4,13.6
655,255.7,284.4,272.8,271.0,14.4
656,257.8,281.9,272.4,270.7,12.2
657,254.1,294.9,273.9,274.3,20.4
658,251.6,285.7,271.2,269.5,17.1
659,255.9,289.3,269.7,271.6,16.8
660,250.8,286.5,274.2,270.5,18.1
661,253.8,284.6,265.9,268.1,15.5
662,253.1,291.1,270.4,271.6,19.0
663,248.9,283.2,281.8,271.3,19.5
664,248.1,283.3,274.3,268.6,18.3
665,246.0,280.3,274.2,266.8,18.3
666,249.1,288.0,278.4,271.8,20.2
667,250.4,285.9,281.9,272.7,19.5
668,246.2,284.6,281.7,270.8,21.4
669,248.0,286.1,281.8,272.0,20.9
670,246.9,280.1,272.7,266.6,17.4
671,241.5,281.9,273.9,265.8,21.4
672,245.0,285.0,274.9,268.3,20.8
673,243.6,280.9,268.7,264.4,19.0
674,235.7,282.2,263.2,260.3,23.4
675,236.3,282.2,268.4,262.3,23.6
676,239.4,282.0,262.0,261.2,21.3
677,243.4,275.5,260.6,259.8,16.1
678,241.6,278.4,259.5,259.8,18.4
679,239.7,276.3,260.0,258.7,18.3
680,235.2,284.0,254.3,257.8,24.6
681,240.1,271.5,250.4,254.0,16.0
682,234.7,275.4,249.9,253.3,20.6
683,235.6,268.0,247.7,250.4,16.4
684,240.8,266.9,245.2,251.0,14.0
685,239.1,264.6,244.5,249.4,13.5
686,241.9,265.9,243.8,250.5,13.3
687,238.2,269.1,241.6,249.6,17.0
688,233.5,262.0,238.0,244.5,15.3
689,236.6,259.4,237.3,244.4,13.0
690,236.0,260.5,240.1,245.6,13.1
691,238.0,257.6,236.6,244.1,11.8
692,239.3,265.5,237.5,247.5,15.7
693,243.3,260.0,236.3,246.5,12.2
694,235.6,259.6,228.5,241.2,16.3
695,236.7,255.3,233.3,241.8,11.8
696,242.8,264.2,233.9,247.0,15.6
697,239.5,259.8,233.1,244.1,13.9
698,238.8,259.0,232.9,243.6,13.7
699,243.9,258.0,233.8,245.3,12.2
700,236.9,257.4,235.6,243.3,12.3
701,243.8,261.4,232.7,246.0,14.5
702,243.1,257.1,232.9,244.3,12.2
703,243.2,258.9,230.5,244.2,14.2
704,242.2,260.4,230.4,244.3,15.1
705,240.6,258.6,232.7,243.9,13.3
706,235.9,258.4,237.8,244.0,12.5
707,234.3,258.8,235.2,242.8,13.9
708,234.5,256.7,236.3,242.5,12.3
709,238.0,264.4,232.7,245.0,17.0
710,231.0,261.7,231.5,241.4,17.6
711,231.2,265.6,237.2,244.7,18.3
712,229.8,261.0,229.1,240.0,18.2
713,228.3,264.2,238.4,243.6,18.5
714,225.9,270.9,227.3,241.4,25.6
715,226.2,266.6,232.3,241.7,21.8
716,221.4,270.5,233.9,241.9,25.6
717,221.8,270.3,238.7,243.6,24.6
718,221.6,275.1,230.4,242.4,28.7
719,215.3,274.2,231.3,240.3,30.5
720,215.8,274.7,230.5,240.3,30.6
721,218.4,280.7,234.2,244.4,32.4
722,220.9,282.2,227.3,243.5,33.7
723,214.4,282.1,229.3,241.9,35.6
724,216.1,290.2,229.1,245.2,39.6
725,214.1,289.5,230.1,244.6,39.7
726,213.3,282.8,233.1,243.1,35.8
727,214.4,294.1,228.5,245.6,42.5
728,209.6,292.3,228.7,243.6,43.3
729,209.1,285.9,226.2,240.4,40.3
730,207.0,294.6,228.4,243.3,45.7
731,209.6,295.9,226.0,243.9,45.8
732,206.0,297.6,225.2,242.9,48.3
733,204.5,303.6,224.1,244.1,52.5
734,204.3,293.4,228.6,242.1,46.0
735,201.9,298.1,231.2,243.7,49.3
736,199.4,296.5,228.7,241.5,49.8
737,197.4,295.5,227.0,240.0,50.3
738,196.9,297.9,225.0,239.9,52.1
739,197.4,298.9,224.3,240.2,52.6
740,194.7,309.9,224.3,243.0,59.8
741,189.8,306.8,221.7,239.4,60.5
742,193.7,310.8,220.5,241.7,61.4
743,189.6,300.2,218.7,236.2,57.3
744,189.8,314.9,223.1,242.6,64.8
745,187.0,311.8,216.8,238.6,65.2
746,184.2,301.7,217.0,234.3,60.6
747,180.5,301.7,219.3,233.8,61.9
748,181.1,303.1,222.8,235.7,62.0
749,181.2,301.1,221.3,234.5,61.0
750,179.5,303.3,216.0,233.0,63.6
751,177.9,304.0,218.0,233.3,64.4
752,178.2,302.3,225.6,235.4,62.6
753,172.9,287.0,217.5,225.8,57.5
754,173.1,286.9,220.6,226.9,57.2
755,170.6,291.6,217.5,226.6,61.0
756,171.8,284.1,218.1,224.7,56.4
757,168.6,285.8,220.2,224.9,58.8
758,164.5,276.7,213.7,218.3,56.2
759,165.0,270.5,214.7,216.7,52.8
760,164.4,260.7,210.3,211.8,48.1
761,163.6,260.3,209.7,211.2,48.4
762,162.8,256.4,213.4,210.9,46.9
763,162.1,249.0,208.8,206.6,43.5
764,158.6,243.2,206.7,202.8,42.5
765,157.8,238.5,204.9,200.4,40.5
766,156.4,231.9,205.2,197.8,38.3
767,157.8,232.5,206.0,198.8,37.9
768,155.7,227.2,200.8,194.5,36.2
769,153.2,219.7,197.7,190.2,33.9
770,156.6,216.9,196.3,189.9,30.6
771,153.3,210.6,198.9,187.6,30.3
772,153.0,207.8,195.0,185.3,28.7
773,152.6,202.7,196.1,183.8,27.2
774,151.4,197.8,198.4,182.5,27.0
775,152.5,195.1,193.5,180.4,24.1
776,151.5,193.0,194.8,179.8,24.5
777,149.8,188.2,191.2,176.4,23.1
778,149.1,185.1,193.3,175.8,23.5
779,148.6,181.3,188.5,172.8,21.3
780,146.3,182.1,190.6,173.0,23.5
781,145.3,174.0,191.2,170.2,23.2
782,148.3,171.1,184.9,168.1,18.5
783,147.2,166.1,184.5,166.0,18.7
784,146.8,162.2,182.7,163.9,18.0
785,149.1,163.2,178.4,163.6,14.7
786,148.3,157.2,181.3,162.3,17.1
787,144.8,151.1,179.6,158.5,18.6
788,146.6,144.8,177.1,156.2,18.2
789,144.7,145.1,176.4,155.4,18.1
790,142.1,142.8,175.7,153.5,19.2
791,144.2,140.0,174.5,152.9,18.8
792,144.0,134.1,173.8,150.6,20.7
793,145.6,130.5,172.3,149.5,21.2
794,144.0,128.5,171.0,147.8,21.5
795,145.5,124.7,168.5,146.3,21.9
796,145.9,118.6,165.3,143.3,23.5
797,147.0,116.5,165.5,143.0,24.7
798,143.6,113.4,165.1,140.7,26.0
799,144.1,110.8,164.0,139.6,26.9
800,144.0,106.8,160.4,137.1,27.4
801,147.0,103.3,159.3,136.5,29.5
802,150.1,101.5,158.3,136.6,30.7
803,145.7,97.7,156.8,133.4,31.4
804,146.6,96.8,154.7,132.7,31.3
805,146.2,94.6,154.8,131.9,32.6
806,150.4,91.1,153.2,131.6,35.1
807,144.0,89.5,152.2,128.5,34.1
808,147.6,86.7,151.0,128.4,36.2
809,145.2,86.1,148.8,126.7,35.2
810,143.4,83.8,147.0,124.7,35.5
811,145.0,80.0,147.7,124.2,38.3
812,144.7,79.2,146.5,123.5,38.4
813,146.3,77.0,145.7,123.0,39.8
814,145.5,75.1,145.3,122.0,40.6
815,142.8,72.7,140.5,118.7,39.8
816,144.6,72.6,140.2,119.1,40.3
817,142.2,70.6,138.8,117.2,40.4
818,141.6,67.7,138.4,115.9,41.8
819,139.2,66.4,132.7,112.8,40.3
820,137.8,64.9,133.8,112.2,41.0
821,134.0,63.1,131.8,109.6,40.3
822,135.4,62.4,131.6,109.8,41.1
823,133.8,61.0,129.5,108.1,40.8
824,129.9,58.1,128.9,105.6,41.2
825,131.0,57.7,125.8,104.8,40.9
826,130.4,56.2,124.3,103.6,41.2
827,127.3,54.7,123.5,101.8,40.9
828,126.6,54.0,122.2,101.0,40.7
829,124.3,52.5,124.0,100.3,41.4
830,121.1,51.2,123.2,98.5,41.0
831,121.8,50.5,120.3,97.5,40.7
832,122.6,49.6,117.6,96.6,40.8
833,120.3,49.6,118.1,96.0,40.2
834,120.0,48.9,117.9,95.6,40.5
835,116.8,47.6,115.6,93.3,39.6
836,116.4,46.6,115.2,92.7,40.0
837,114.7,46.1,114.5,91.8,39.6
838,115.0,45.7,113.8,91.5,39.7
839,114.2,45.1,112.8,90.7,39.5
840,112.5,44.0,109.6,88.7,38.7
841,112.0,43.8,109.0,88.2,38.6
842,110.8,42.8,109.1,87.5,38.8
843,109.4,42.0,106.2,85.9,38.0
844,107.3,41.3,107.4,85.4,38.1
845,106.9,41.3,103.8,84.0,37.0
846,106.4,39.2,105.2,83.6,38.5
847,102.2,38.7,103.2,81.4,37.0
848,102.6,38.8,101.1,80.8,36.4
849,100.3,38.2,101.7,80.1,36.3
850,98.4,36.7,100.1,78.4,36.2
851,97.4,36.1,98.8,77.4,35.8
852,96.0,34.6,96.6,75.7,35.6
853,94.1,33.4,95.2,74.3,35.4
854,92.5,33.1,95.4,73.7,35.2
855,91.3,31.8,93.1,72.1,34.9
856,89.6,31.4,92.6,71.2,34.5
857,87.1,30.4,91.4,69.7,34.0
858,86.5,30.1,90.4,69.0,33.8
859,85.2,28.8,88.7,67.6,33.6
860,84.1,28.4,88.7,67.1,33.5
861,82.4,27.6,87.0,65.7,33.0
862,82.4,27.7,85.4,65.2,32.5
863,79.4,26.8,84.6,63.6,32.0
864,78.2,25.9,82.9,62.3,31.7
865,77.2,25.3,82.7,61.7,31.6
866,76.2,24.8,79.5,60.1,30.7
867,75.8,24.4,79.6,59.9,30.8
868,74.4,23.9,78.1,58.8,30.3
869,73.8,23.2,76.4,57.8,30.0
870,72.8,23.2,75.6,57.2,29.4
871,71.6,22.3,76.0,56.6,29.8
872,70.9,22.0,71.6,54.8,28.4
873,69.0,21.8,71.0,53.9,27.8
874,68.2,21.5,69.4,53.0,27.4
875,68.6,21.1,68.7,52.8,27.5
876,65.6,20.5,67.3,51.1,26.6
877,65.8,20.1,66.5,50.8,26.6
878,65.1,19.6,64.2,49.6,26.0
879,63.4,19.0,63.3,48.6,25.6
880,63.2,18.6,62.3,48.0,25.5
