Time after Ignition,Vinyl_Plank_Flooring_R1,Vinyl_Plank_Flooring_R2,Vinyl_Plank_Flooring_R3,Mean,Std. Dev.
20.25,282.6,315.0,277.0,291.6,20.5
20.5,282.6,324.8,276.9,294.8,26.2
20.75,283.5,324.0,276.3,294.6,25.7
21.0,274.6,318.9,282.2,291.9,23.7
21.25,277.9,323.2,279.7,293.6,25.7
21.5,279.6,322.3,273.6,291.8,26.5
21.75,281.3,327.2,282.4,297.0,26.2
22.0,279.3,330.1,282.5,297.3,28.4
22.25,273.3,329.0,281.9,294.7,30.0
22.5,272.4,325.9,281.1,293.1,28.7
22.75,281.0,333.7,286.2,300.3,29.1
23.0,276.6,338.1,285.0,299.9,33.4
23.25,268.7,329.9,286.2,294.9,31.5
23.5,279.2,337.5,277.5,298.1,34.1
23.75,273.9,335.4,285.7,298.3,32.6
24.0,281.9,332.8,285.8,300.2,28.3
24.25,271.1,329.8,292.1,297.6,29.7
24.5,268.9,338.4,292.6,299.9,35.3
24.75,272.1,334.7,290.9,299.2,32.1
25.0,271.0,339.5,290.7,300.4,35.3
25.25,264.7,336.2,291.1,297.3,36.2
25.5,269.9,332.0,298.2,300.1,31.1
25.75,270.6,330.2,296.5,299.1,29.9
26.0,267.4,338.9,295.6,300.6,36.0
26.25,260.8,337.6,298.8,299.1,38.4
26.5,264.5,329.3,296.2,296.7,32.4
26.75,259.1,338.1,293.8,297.0,39.6
27.0,261.1,327.7,297.9,295.5,33.4
27.25,263.9,326.9,296.8,295.9,31.5
27.5,262.3,328.9,296.6,295.9,33.3
27.75,263.2,321.8,296.2,293.7,29.4
28.0,261.7,320.7,303.4,295.3,30.3
28.25,261.5,323.7,297.9,294.4,31.2
28.5,257.9,330.4,303.8,297.4,36.7
28.75,257.3,325.4,303.1,295.2,34.7
29.0,256.2,324.8,297.6,292.9,34.6
29.25,248.4,324.2,297.2,289.9,38.4
29.5,254.4,319.4,300.4,291.4,33.4
29.75,252.8,318.9,304.6,292.1,34.8
30.0,251.9,324.3,301.7,292.6,37.1
30.25,247.4,312.2,306.7,288.7,35.9
30.5,249.0,309.6,305.7,288.1,33.9
30.75,253.4,304.9,299.6,286.0,28.3
31.0,250.4,302.3,300.3,284.3,29.4
31.25,250.4,310.0,303.3,287.9,32.7
31.5,252.3,291.8,294.6,279.5,23.6
31.75,251.7,300.5,293.1,281.8,26.3
32.0,258.8,300.9,293.9,284.5,22.6
32.25,253.4,291.1,299.5,281.3,24.6
32.5,249.3,300.8,296.6,282.2,28.6
32.75,246.3,300.7,290.8,279.3,29.0
33.0,254.3,297.3,288.1,279.9,22.6
33.25,249.3,295.6,285.5,276.8,24.3
33.5,249.2,289.8,288.5,275.8,23.0
33.75,246.9,287.5,290.8,275.1,24.4
34.0,248.3,285.9,284.8,273.0,21.4
34.25,244.0,292.9,283.0,273.3,25.8
34.5,244.9,290.5,281.6,272.4,24.1
34.75,245.2,289.1,278.3,270.9,22.9
35.0,241.0,289.0,279.3,269.8,25.4
35.25,244.9,290.8,276.9,270.9,23.6
35.5,245.7,282.3,275.1,267.7,19.4
35.75,239.8,283.1,277.1,266.7,23.4
36.0,237.1,281.6,274.7,264.4,23.9
36.25,233.7,285.4,271.9,263.7,26.8
36.5,233.4,288.3,269.4,263.7,27.9
36.75,236.1,278.4,271.0,261.8,22.6
37.0,238.1,289.3,271.0,266.1,25.9
37.25,231.3,289.5,265.3,262.0,29.2
37.5,231.2,283.8,267.2,260.8,26.9
37.75,230.5,288.0,268.4,262.3,29.2
38.0,227.4,284.3,263.4,258.4,28.8
38.25,228.6,285.3,266.2,260.1,28.8
38.5,231.0,284.7,264.2,260.0,27.1
38.75,232.4,287.7,263.9,261.3,27.7
39.0,233.1,288.1,262.2,261.1,27.5
39.25,227.6,280.9,270.6,259.7,28.3
39.5,226.3,274.3,262.2,254.2,25.0
39.75,221.7,279.4,266.2,255.8,30.2
40.0,223.7,284.1,272.2,260.0,32.0
40.25,224.8,281.3,265.9,257.3,29.2
40.5,226.7,278.7,272.0,259.1,28.3
40.75,222.3,282.0,266.3,256.9,30.9
41.0,221.7,282.3,271.3,258.5,32.3
41.25,218.3,282.6,266.0,255.6,33.4
41.5,223.4,277.8,265.8,255.7,28.6
41.75,224.0,278.3,269.5,257.3,29.1
42.0,220.6,276.0,265.6,254.1,29.5
42.25,222.7,275.3,268.6,255.5,28.7
42.5,220.8,277.6,273.6,257.3,31.7
42.75,227.9,274.7,268.2,256.9,25.3
43.0,221.6,272.9,270.0,254.8,28.8
43.25,222.0,271.8,270.0,254.6,28.2
43.5,225.9,270.7,270.3,255.6,25.8
43.75,223.9,266.8,267.1,252.6,24.9
44.0,223.4,266.3,266.5,252.1,24.8
44.25,224.6,263.1,271.4,253.0,25.0
44.5,220.6,258.4,267.4,248.8,24.9
44.75,222.0,261.4,267.1,250.2,24.6
45.0,224.7,262.5,268.3,251.8,23.7
45.25,220.5,262.8,272.6,252.0,27.7
45.5,222.3,257.3,263.1,247.6,22.1
45.75,221.4,254.9,262.9,246.4,22.0
46.0,225.0,254.8,263.6,247.8,20.2
46.25,222.3,255.9,261.2,246.5,21.1
46.5,224.3,255.8,259.1,246.4,19.2
46.75,220.9,256.1,258.8,245.3,21.2
47.0,220.4,252.1,255.2,242.6,19.2
47.25,221.8,250.3,255.5,242.5,18.1
47.5,217.5,251.2,254.7,241.1,20.5
47.75,220.5,244.6,255.6,240.2,18.0
48.0,218.4,242.1,252.1,237.5,17.3
48.25,219.4,243.3,248.7,237.1,15.6
48.5,223.1,237.1,248.0,236.1,12.5
48.75,223.3,235.8,245.0,234.7,10.9
49.0,218.1,232.5,242.8,231.1,12.4
49.25,217.5,229.6,241.5,229.6,12.0
49.5,215.6,228.4,241.1,228.4,12.7
49.75,216.6,219.8,241.7,226.1,13.7
50.0,218.7,218.6,237.3,224.9,10.8
50.25,216.8,213.4,237.0,222.4,12.7
50.5,213.2,211.7,229.2,218.1,9.7
50.75,215.9,207.9,232.3,218.7,12.4
51.0,212.3,211.8,231.0,218.4,10.9
51.25,212.8,207.6,230.5,217.0,12.0
51.5,212.3,199.2,225.3,212.3,13.0
51.75,207.7,196.3,225.5,209.8,14.7
52.0,204.8,196.7,216.9,206.1,10.2
52.25,201.9,189.6,217.3,202.9,13.9
52.5,204.2,190.8,218.0,204.3,13.6
52.75,204.1,186.5,217.6,202.7,15.6
53.0,204.5,183.5,218.0,202.0,17.4
53.25,202.1,182.7,214.7,199.8,16.1
53.5,200.3,180.1,213.5,197.9,16.8
53.75,202.7,181.6,208.8,197.7,14.3
54.0,198.6,175.2,204.9,192.9,15.6
54.25,198.8,173.3,206.2,192.8,17.3
54.5,198.0,168.0,203.3,189.8,19.1
54.75,194.8,167.0,199.8,187.2,17.7
55.0,193.0,163.1,198.4,184.8,19.0
55.25,192.2,163.7,198.7,184.9,18.6
55.5,189.1,161.9,195.4,182.1,17.8
55.75,188.4,156.9,193.0,179.4,19.7
56.0,188.6,158.0,192.0,179.5,18.8
56.25,185.9,152.8,190.2,176.3,20.5
56.5,182.1,149.7,187.8,173.2,20.5
56.75,180.8,150.3,184.1,171.7,18.6
57.0,179.3,146.9,181.6,169.3,19.4
57.25,179.9,142.9,180.5,167.7,21.6
57.5,174.9,142.7,180.4,166.0,20.4
57.75,177.8,139.8,178.1,165.3,22.1
58.0,172.9,138.2,172.9,161.3,20.1
58.25,168.3,135.6,168.4,157.4,18.9
58.5,168.4,134.6,167.9,156.9,19.3
58.75,166.3,134.0,162.7,154.3,17.7
59.0,162.1,132.6,161.7,152.1,16.9
59.25,162.6,130.1,158.8,150.5,17.8
59.5,161.7,129.7,154.6,148.6,16.8
59.75,158.1,123.4,149.7,143.7,18.1
60.0,157.2,128.2,148.4,144.6,14.9
60.25,154.2,128.2,148.4,143.6,13.6
60.5,154.7,125.6,144.5,141.6,14.7
60.75,152.7,124.2,142.3,139.7,14.4
61.0,151.1,125.1,140.3,138.9,13.1
61.25,145.0,122.4,140.7,136.1,12.0
61.5,144.9,120.9,137.9,134.6,12.4
61.75,144.4,119.9,137.3,133.8,12.6
62.0,143.3,119.2,135.5,132.7,12.3
62.25,143.2,118.9,133.1,131.7,12.2
62.5,140.8,119.0,133.9,131.2,11.1
62.75,140.2,115.6,130.6,128.8,12.4
63.0,138.4,114.4,129.6,127.5,12.2
63.25,138.0,115.3,131.2,128.1,11.7
63.5,132.6,112.6,128.3,124.5,10.6
63.75,133.1,110.7,127.9,123.9,11.7
64.0,133.8,110.4,128.3,124.2,12.2
64.25,134.0,105.2,128.2,122.5,15.2
64.5,132.5,106.6,123.4,120.8,13.2
64.75,134.4,104.7,123.2,120.8,15.0
65.0,134.2,102.7,120.7,119.2,15.8
65.25,126.4,102.1,119.2,115.9,12.5
65.5,129.3,99.2,118.7,115.7,15.3
65.75,128.8,98.1,117.0,114.6,15.5
66.0,128.3,97.6,116.8,114.2,15.5
66.25,129.7,94.7,116.0,113.5,17.6
66.5,126.8,93.1,115.7,111.9,17.2
66.75,126.5,91.9,112.6,110.4,17.4
67.0,126.6,88.5,109.3,108.1,19.1
67.25,124.8,88.2,111.1,108.0,18.5
67.5,125.9,86.6,108.6,107.0,19.7
67.75,125.5,86.8,107.7,106.7,19.4
68.0,124.3,84.6,105.7,104.9,19.8
68.25,122.7,83.2,105.6,103.9,19.8
68.5,121.0,81.2,105.0,102.4,20.0
68.75,120.7,79.5,101.5,100.6,20.6
69.0,118.9,78.2,101.1,99.4,20.4
69.25,119.8,76.9,101.4,99.4,21.5
69.5,120.4,76.0,101.8,99.4,22.3
69.75,118.2,74.5,99.8,97.5,21.9
70.0,118.5,71.6,97.3,95.8,23.5
70.25,116.5,72.1,96.4,95.0,22.2
70.5,115.7,70.2,95.9,93.9,22.8
70.75,115.7,69.3,94.8,93.3,23.2
71.0,112.8,68.0,92.0,90.9,22.4
71.25,114.9,67.0,91.7,91.2,24.0
71.5,113.1,66.5,91.7,90.4,23.3
71.75,110.7,64.8,88.8,88.1,22.9
72.0,109.4,63.2,87.3,86.7,23.1
72.25,108.1,62.1,85.1,85.1,23.0
72.5,107.0,61.9,83.8,84.2,22.5
72.75,105.8,60.1,83.8,83.2,22.9
73.0,105.5,58.4,82.4,82.1,23.6
73.25,104.6,59.2,80.0,81.3,22.7
73.5,102.7,57.2,78.6,79.5,22.8
73.75,102.5,57.0,78.7,79.4,22.8
74.0,103.6,55.6,77.3,78.8,24.1
74.25,101.5,53.7,75.9,77.0,23.9
74.5,100.4,53.9,73.6,76.0,23.3
74.75,99.3,52.4,74.0,75.2,23.5
75.0,99.5,51.1,73.2,74.6,24.2
75.25,100.0,50.0,71.2,73.8,25.1
75.5,98.4,48.9,70.8,72.7,24.8
75.75,97.3,48.0,68.9,71.4,24.8
76.0,96.3,45.8,68.2,70.1,25.3
76.25,95.9,44.9,67.1,69.3,25.6
76.5,97.3,43.7,66.0,69.0,27.0
76.75,95.5,42.6,65.6,67.9,26.5
77.0,94.5,41.2,64.1,66.6,26.7
77.25,92.4,39.7,63.5,65.2,26.4
77.5,94.2,38.6,62.8,65.2,27.9
77.75,93.0,,62.4,77.7,21.6
78.0,93.3,,61.0,77.2,22.8
78.25,90.5,,59.8,75.2,21.7
78.5,89.9,,58.6,74.2,22.1
78.75,87.9,,57.7,72.8,21.3
79.0,86.2,,56.6,71.4,20.9
79.25,85.4,,55.3,70.4,21.3
79.5,84.1,,54.3,69.2,21.1
79.75,83.4,,53.1,68.2,21.4
80.0,81.5,,52.4,66.9,20.6
80.25,81.2,,51.4,66.3,21.1
80.5,78.8,,50.4,64.6,20.1
80.75,78.0,,48.2,63.1,21.0
81.0,77.2,,48.3,62.7,20.4
81.25,74.2,,47.5,60.8,18.9
81.5,71.9,,46.4,59.1,18.0
81.75,71.4,,44.7,58.0,18.8
82.0,70.8,,44.1,57.4,18.8
82.25,69.0,,44.5,56.7,17.4
82.5,68.4,,43.2,55.8,17.8
82.75,68.2,,42.3,55.3,18.3
83.0,66.7,,41.0,53.9,18.2
83.25,65.9,,40.9,53.4,17.7
83.5,64.8,,40.2,52.5,17.4
83.75,64.3,,39.2,51.8,17.7
84.0,63.1,,38.7,50.9,17.2
84.25,61.7,,38.3,50.0,16.6
84.5,60.4,,37.5,48.9,16.2
84.75,58.7,,36.4,47.5,15.8
85.0,58.7,,35.5,47.1,16.4
85.25,57.4,,34.5,45.9,16.2
85.5,57.8,,34.1,46.0,16.7
85.75,56.1,,33.5,44.8,16.0
86.0,54.9,,33.3,44.1,15.2
86.25,54.6,,32.4,43.5,15.7
86.5,52.6,,31.8,42.2,14.7
86.75,51.7,,31.1,41.4,14.6
87.0,50.4,,,50.4,
87.25,50.1,,,50.1,
87.5,48.9,,,48.9,
87.75,47.5,,,47.5,
88.0,47.0,,,47.0,
88.25,46.3,,,46.3,
88.5,45.0,,,45.0,
88.75,45.2,,,45.2,
89.0,44.6,,,44.6,
89.25,43.6,,,43.6,
89.5,42.2,,,42.2,
89.75,41.5,,,41.5,
90.0,41.5,,,41.5,
90.25,40.3,,,40.3,
90.5,39.7,,,39.7,
90.75,38.6,,,38.6,
91.0,37.9,,,37.9,
91.25,37.1,,,37.1,
91.5,36.5,,,36.5,
91.75,35.7,,,35.7,
92.0,34.9,,,34.9,
92.25,34.0,,,34.0,
92.5,33.2,,,33.2,
92.75,32.7,,,32.7,
93.0,32.0,,,32.0,
93.25,31.1,,,31.1,
93.5,30.6,,,30.6,
93.75,29.9,,,29.9,
94.0,29.1,,,29.1,
94.25,28.7,,,28.7,
94.5,28.1,,,28.1,
94.75,27.1,,,27.1,
95.0,26.7,,,26.7,
95.25,26.7,,,26.7,
95.5,26.1,,,26.1,
95.75,25.4,,,25.4,
96.0,25.6,,,25.6,
96.25,25.2,,,25.2,
96.5,24.3,,,24.3,
96.75,24.5,,,24.5,
97.0,24.3,,,24.3,
97.25,24.1,,,24.1,
97.5,23.5,,,23.5,
97.75,23.2,,,23.2,
98.0,23.1,,,23.1,
98.25,23.3,,,23.3,
98.5,22.8,,,22.8,
98.75,22.8,,,22.8,
99.0,22.6,,,22.6,
99.25,22.9,,,22.9,
99.5,22.2,,,22.2,
99.75,22.8,,,22.8,
100.0,22.6,,,22.6,
100.25,22.1,,,22.1,
100.5,21.9,,,21.9,
100.75,21.3,,,21.3,
101.0,20.8,,,20.8,
101.25,20.4,,,20.4,
101.5,20.2,,,20.2,
101.75,19.9,,,19.9,
102.0,19.5,,,19.5,
102.25,19.5,,,19.5,
102.5,19.2,,,19.2,
102.75,19.1,,,19.1,
103.0,19.0,,,19.0,
103.25,18.6,,,18.6,
103.5,18.2,,,18.2,
103.75,18.4,,,18.4,
104.0,18.2,,,18.2,
104.25,18.3,,,18.3,
104.5,17.9,,,17.9,
104.75,17.9,,,17.9,
105.0,17.9,,,17.9,
105.25,17.5,,,17.5,
105.5,17.1,,,17.1,
105.75,17.0,,,17.0,
106.0,16.8,,,16.8,
106.25,16.3,,,16.3,
106.5,16.1,,,16.1,
106.75,15.8,,,15.8,
