Names,Vinyl_Plank_Flooring_R1,Vinyl_Plank_Flooring_R2,Vinyl_Plank_Flooring_R3,Mean,Std. Dev.
175,329.6,368.5,314.9,337.7,27.7
176,332.2,357.9,307.2,332.4,25.3
177,326.1,357.0,305.1,329.4,26.1
178,317.4,348.4,302.4,322.8,23.5
179,323.5,352.0,303.0,326.2,24.6
180,318.4,347.6,294.8,320.3,26.4
181,313.5,342.5,294.8,316.9,24.0
182,313.0,338.9,292.2,314.7,23.4
183,308.4,326.3,280.8,305.2,22.9
184,300.6,326.3,284.4,303.8,21.1
185,300.0,321.8,278.8,300.2,21.5
186,292.3,321.4,271.2,295.0,25.2
187,291.9,310.1,272.0,291.3,19.1
188,288.9,310.3,261.1,286.8,24.7
189,280.0,305.3,257.6,281.0,23.8
190,280.5,297.5,259.7,279.2,18.9
191,273.7,293.0,256.8,274.5,18.1
192,273.5,284.6,252.2,270.1,16.4
193,268.5,285.9,246.5,267.0,19.7
194,263.6,281.2,245.1,263.3,18.0
195,266.4,279.7,240.1,262.1,20.1
196,260.7,269.1,239.7,256.5,15.1
197,258.4,270.2,232.2,253.6,19.5
198,252.1,264.8,229.8,248.9,17.7
199,248.3,257.5,229.3,245.0,14.4
200,244.0,258.8,223.2,242.0,17.9
201,241.6,249.6,221.6,237.6,14.4
202,237.6,246.8,213.9,232.8,17.0
203,233.1,244.0,206.9,228.0,19.1
204,234.3,241.7,205.0,227.0,19.4
205,230.5,240.7,202.1,224.4,20.0
206,229.2,232.5,197.1,219.6,19.6
207,221.7,229.5,194.1,215.1,18.6
208,218.5,226.7,190.8,212.0,18.8
209,215.9,219.8,185.7,207.2,18.7
210,208.9,215.0,179.7,201.2,18.9
211,205.1,208.6,177.3,197.0,17.2
212,201.4,207.3,171.1,193.3,19.4
213,199.2,203.8,169.3,190.8,18.7
214,194.7,203.9,165.0,187.8,20.4
215,192.5,198.9,159.2,183.5,21.3
216,181.0,195.4,160.0,178.8,17.8
217,182.5,189.2,154.7,175.5,18.3
218,177.0,187.9,152.4,172.5,18.2
219,171.6,186.3,148.7,168.9,18.9
220,168.8,182.9,143.3,165.0,20.0
221,164.4,177.9,143.5,162.0,17.3
222,164.7,175.5,138.3,159.5,19.1
223,164.2,170.7,137.7,157.5,17.5
224,159.6,172.8,134.2,155.6,19.6
225,157.9,169.3,128.8,152.0,20.9
226,155.7,163.9,128.8,149.5,18.4
227,153.5,160.9,128.6,147.7,16.9
228,150.1,156.5,124.4,143.7,17.0
229,149.8,156.9,122.0,142.9,18.4
230,148.9,155.2,118.4,140.8,19.7
231,145.2,152.3,116.5,138.0,18.9
232,139.6,150.1,112.3,134.0,19.5
233,140.1,145.2,111.5,132.3,18.1
234,140.5,141.4,107.2,129.7,19.5
235,136.6,140.1,105.2,127.3,19.2
236,132.7,134.0,103.7,123.5,17.1
237,130.6,132.0,100.9,121.2,17.6
238,129.3,129.6,98.2,119.1,18.0
239,125.5,130.1,96.3,117.3,18.3
240,123.7,126.1,92.3,114.0,18.9
241,119.8,124.3,91.1,111.8,18.0
242,116.1,119.4,89.3,108.3,16.5
243,113.1,117.3,85.4,105.3,17.4
244,109.0,114.7,83.2,102.3,16.8
245,107.6,113.6,81.9,101.1,16.8
246,105.8,109.3,79.3,98.1,16.4
247,101.4,108.6,77.6,95.8,16.2
248,99.1,106.5,75.1,93.6,16.4
249,96.2,103.5,74.1,91.3,15.4
250,95.1,101.5,71.1,89.2,16.0
251,92.2,99.4,69.8,87.2,15.4
252,90.2,97.4,67.1,84.9,15.9
253,88.3,95.2,65.6,83.0,15.5
254,86.9,94.4,64.0,81.7,15.8
255,84.9,92.7,60.7,79.5,16.7
256,82.8,91.0,59.5,77.8,16.4
257,81.6,88.8,57.2,75.9,16.6
258,78.8,87.0,55.7,73.8,16.2
259,77.8,84.1,55.0,72.3,15.3
260,76.5,83.1,52.8,70.8,15.9
261,74.4,79.0,51.1,68.1,15.0
262,71.6,78.5,49.9,66.7,14.9
263,70.0,77.4,48.1,65.2,15.2
264,68.7,75.3,46.6,63.5,15.0
265,67.4,72.4,45.2,61.7,14.5
266,65.3,70.0,43.5,59.6,14.2
267,63.2,67.8,43.2,58.1,13.1
268,62.5,66.4,41.6,56.8,13.4
269,60.4,64.5,40.4,55.1,12.9
270,58.4,63.1,39.7,53.7,12.4
271,57.2,61.3,38.5,52.3,12.2
272,57.4,59.8,37.1,51.5,12.4
273,55.9,57.6,36.7,50.1,11.6
274,54.3,57.5,35.9,49.3,11.6
275,53.2,55.2,35.4,47.9,10.9
276,52.0,54.2,34.7,47.0,10.7
277,50.3,52.2,34.2,45.6,9.9
278,48.3,51.7,,50.0,2.4
279,47.6,50.8,,49.2,2.3
280,46.8,48.8,,47.8,1.4
281,45.5,48.7,,47.1,2.2
282,44.2,47.3,,45.7,2.2
283,43.7,46.7,,45.2,2.1
284,43.0,45.0,,44.0,1.4
285,41.6,44.4,,43.0,2.0
286,41.5,44.1,,42.8,1.9
287,40.1,43.1,,41.6,2.1
288,39.0,42.1,,40.5,2.2
289,38.1,41.9,,40.0,2.7
290,37.9,40.4,,39.1,1.8
291,36.8,39.7,,38.3,2.0
292,35.6,38.3,,37.0,1.9
293,34.4,37.9,,36.2,2.5
294,33.9,38.1,,36.0,3.0
295,33.4,37.1,,35.3,2.6
296,32.0,36.1,,34.1,2.9
297,31.8,35.4,,33.6,2.5
298,31.1,35.0,,33.0,2.7
299,30.6,33.3,,31.9,1.9
300,30.4,,,30.4,
301,29.5,,,29.5,
302,29.0,,,29.0,
303,28.7,,,28.7,
304,28.4,,,28.4,
305,27.4,,,27.4,
306,27.0,,,27.0,
307,26.9,,,26.9,
308,26.2,,,26.2,
309,26.1,,,26.1,
310,25.5,,,25.5,
311,25.0,,,25.0,
