Names,FRP_Panel_R1,FRP_Panel_R2,FRP_Panel_R3,FRP_Panel_R4,Mean,Std. Dev.
454,163.2,70.9,65.9,50.4,87.6,51.2
455,162.9,69.7,63.5,48.9,86.2,51.8
456,159.7,68.9,62.7,48.5,84.9,50.5
457,155.6,67.2,61.2,47.9,83.0,49.1
458,154.9,64.7,59.6,48.7,82.0,49.1
459,149.4,63.3,59.1,47.9,79.9,46.8
460,148.0,61.8,58.1,47.7,78.9,46.4
461,145.3,60.7,,48.0,84.7,52.9
462,142.0,60.5,,47.4,83.3,51.3
463,140.0,58.2,,47.2,81.8,50.7
464,136.5,58.2,,46.6,80.5,48.9
465,136.5,56.5,,46.6,79.9,49.3
466,131.6,56.7,,46.2,78.2,46.6
467,129.0,55.6,,46.4,77.0,45.3
468,126.5,54.7,,46.4,75.9,44.1
469,124.2,54.3,,45.4,74.6,43.1
470,122.1,53.5,,45.4,73.7,42.2
471,118.6,52.0,,45.5,72.0,40.5
472,115.4,52.0,,44.5,70.6,38.9
473,112.5,51.8,,44.1,69.5,37.5
474,110.2,50.6,,44.8,68.5,36.2
475,107.1,50.1,,45.0,67.4,34.5
476,105.5,50.2,,43.7,66.5,33.9
477,104.2,50.4,,43.8,66.2,33.1
478,100.7,49.6,,43.9,64.7,31.3
479,97.6,49.9,,43.6,63.7,29.6
480,95.3,48.8,,44.0,62.7,28.3
481,92.3,48.7,,43.4,61.5,26.8
482,92.2,48.4,,43.6,61.4,26.8
483,89.5,48.2,,43.1,60.3,25.4
484,88.4,48.0,,42.9,59.8,24.9
485,86.1,47.2,,42.5,58.6,23.9
486,84.5,46.7,,42.8,58.0,23.0
487,82.0,46.5,,42.8,57.1,21.7
488,81.0,46.8,,42.8,56.9,21.0
489,79.9,45.8,,42.4,56.0,20.8
490,76.9,46.3,,42.3,55.1,18.9
491,75.2,46.2,,42.0,54.4,18.1
492,75.3,45.7,,42.2,54.4,18.2
493,74.1,45.2,,41.6,53.6,17.9
494,72.6,45.1,,42.6,53.4,16.6
495,71.8,45.7,,41.6,53.0,16.4
496,70.1,44.6,,41.4,52.0,15.7
497,68.8,44.8,,41.3,51.6,14.9
498,67.9,44.7,,41.5,51.4,14.4
499,66.8,44.5,,41.5,50.9,13.8
500,67.5,44.3,,41.4,51.1,14.3
501,64.8,44.2,,41.0,50.0,12.9
502,63.7,43.5,,41.1,49.5,12.4
503,62.7,43.0,,40.9,48.9,12.0
504,62.0,43.9,,41.2,49.0,11.3
