Time after Ignition,FRP_Panel_R1,FRP_Panel_R2,FRP_Panel_R3,Mean,Std. Dev.
17.75,387.1,445.1,462.3,431.5,39.4
18.0,395.2,462.4,481.5,446.4,45.3
18.25,403.5,465.5,477.4,448.8,39.7
18.5,404.1,488.3,484.8,459.1,47.6
18.75,421.2,503.8,505.2,476.7,48.1
19.0,437.2,504.5,512.6,484.8,41.4
19.25,447.1,508.5,509.2,488.3,35.7
19.5,455.9,525.3,541.1,507.4,45.4
19.75,475.6,536.6,517.3,509.9,31.2
20.0,470.2,563.0,523.8,519.0,46.6
20.25,491.6,568.3,549.3,536.4,40.0
20.5,515.6,559.3,536.9,537.2,21.9
20.75,519.5,586.8,550.9,552.4,33.6
21.0,519.3,612.0,567.7,566.3,46.4
21.25,520.0,596.7,577.5,564.7,39.9
21.5,532.4,610.7,580.7,574.6,39.5
21.75,535.0,641.5,578.9,585.1,53.6
22.0,549.6,644.2,587.0,593.6,47.7
22.25,570.9,631.0,586.4,596.1,31.2
22.5,557.4,645.4,590.1,597.6,44.5
22.75,563.0,664.0,611.9,612.9,50.5
23.0,575.6,691.2,615.6,627.5,58.7
23.25,576.2,682.6,649.6,636.1,54.4
23.5,580.3,681.9,621.1,627.8,51.1
23.75,592.6,676.8,632.7,634.0,42.1
24.0,581.4,711.0,635.4,642.6,65.1
24.25,610.5,679.9,680.2,656.9,40.1
24.5,610.2,704.6,664.0,659.6,47.3
24.75,611.2,716.8,665.1,664.4,52.8
25.0,614.2,721.7,686.6,674.2,54.8
25.25,619.4,715.1,680.4,671.7,48.5
25.5,616.7,699.6,687.9,668.1,44.9
25.75,622.9,695.4,682.8,667.0,38.7
26.0,620.3,713.1,690.8,674.7,48.4
26.25,637.3,736.6,712.6,695.5,51.8
26.5,621.4,721.4,724.2,689.0,58.6
26.75,661.4,726.5,711.2,699.7,34.1
27.0,657.9,703.7,718.2,693.3,31.5
27.25,657.9,704.4,722.8,695.0,33.5
27.5,673.0,751.7,733.5,719.4,41.2
27.75,682.2,740.8,708.8,710.6,29.3
28.0,649.3,720.0,736.2,701.8,46.2
28.25,668.5,729.2,716.4,704.7,32.0
28.5,666.0,727.3,707.2,700.1,31.3
28.75,683.5,754.0,728.9,722.1,35.7
29.0,674.3,744.0,739.1,719.1,38.9
29.25,653.5,743.1,736.7,711.1,50.0
29.5,678.8,751.4,767.8,732.7,47.3
29.75,679.2,710.4,740.9,710.2,30.8
30.0,707.6,731.4,761.3,733.4,26.9
30.25,655.2,717.3,748.7,707.1,47.6
30.5,672.4,728.1,762.3,720.9,45.4
30.75,687.2,724.9,762.8,725.0,37.8
31.0,682.0,728.3,728.1,712.8,26.7
31.25,667.2,734.4,750.6,717.4,44.2
31.5,684.8,721.5,758.1,721.5,36.7
31.75,671.8,730.3,760.2,720.8,45.0
32.0,699.0,741.1,748.7,729.6,26.8
32.25,673.7,734.5,752.1,720.1,41.1
32.5,679.6,729.2,764.4,724.4,42.6
32.75,676.9,737.2,732.9,715.7,33.6
33.0,681.1,734.9,740.4,718.8,32.8
33.25,666.6,738.9,786.0,730.5,60.1
33.5,676.1,735.9,761.7,724.5,43.9
33.75,665.3,755.3,720.8,713.8,45.4
34.0,676.6,719.6,744.5,713.6,34.4
34.25,669.1,761.8,733.9,721.6,47.6
34.5,688.6,738.2,768.2,731.7,40.2
34.75,684.8,718.9,779.3,727.7,47.9
35.0,682.9,679.4,769.9,710.7,51.3
35.25,672.1,726.0,739.8,712.6,35.8
35.5,657.0,718.4,752.7,709.4,48.5
35.75,670.0,700.6,747.9,706.2,39.2
36.0,665.1,692.9,753.9,704.0,45.5
36.25,682.5,723.8,749.7,718.7,33.9
36.5,669.2,699.7,758.3,709.1,45.3
36.75,668.4,722.8,755.8,715.7,44.2
37.0,644.5,719.1,752.7,705.4,55.4
37.25,677.5,728.7,736.1,714.1,31.9
37.5,669.2,729.5,768.5,722.4,50.0
37.75,658.8,737.1,729.4,708.5,43.2
38.0,678.3,699.3,753.4,710.3,38.8
38.25,681.4,687.7,730.6,699.9,26.8
38.5,645.3,702.5,778.7,708.8,66.9
38.75,680.1,714.5,734.7,709.7,27.6
39.0,644.9,721.1,733.2,699.7,47.9
39.25,659.7,701.0,730.2,697.0,35.4
39.5,667.7,700.6,747.7,705.3,40.2
39.75,658.5,722.0,738.6,706.4,42.3
40.0,656.5,704.1,741.9,700.8,42.8
40.25,652.0,708.0,768.3,709.5,58.2
40.5,663.8,715.4,726.7,702.0,33.6
40.75,650.4,714.2,741.8,702.1,46.9
41.0,661.8,719.3,723.4,701.5,34.4
41.25,651.3,688.6,739.8,693.2,44.4
41.5,638.0,719.6,719.2,692.2,47.0
41.75,637.9,693.0,716.8,682.6,40.4
42.0,654.5,706.6,727.2,696.1,37.4
42.25,658.0,733.1,750.9,714.0,49.3
42.5,628.1,693.4,736.0,685.9,54.3
42.75,661.3,695.1,739.9,698.8,39.4
43.0,663.3,693.6,720.7,692.5,28.7
43.25,656.9,709.8,743.5,703.4,43.7
43.5,651.1,710.1,711.2,690.8,34.4
43.75,632.2,678.7,714.4,675.1,41.2
44.0,654.7,694.7,736.4,695.3,40.9
44.25,630.9,668.5,729.1,676.2,49.6
44.5,630.1,700.6,727.9,686.2,50.5
44.75,639.3,716.9,731.6,695.9,49.6
45.0,639.9,690.0,721.3,683.7,41.1
45.25,648.1,658.7,717.6,674.8,37.4
45.5,672.8,686.9,701.1,686.9,14.1
45.75,643.0,691.5,682.7,672.4,25.8
46.0,629.5,697.3,724.6,683.8,48.9
46.25,638.3,706.6,711.8,685.6,41.0
46.5,645.1,691.7,692.2,676.3,27.0
46.75,638.5,680.5,709.7,676.2,35.8
47.0,636.5,691.8,674.9,667.8,28.3
47.25,650.6,710.9,682.5,681.4,30.2
47.5,653.9,702.6,706.8,687.8,29.4
47.75,668.2,689.1,699.2,685.5,15.8
48.0,628.9,685.9,698.6,671.1,37.1
48.25,651.7,691.9,678.5,674.0,20.5
48.5,635.1,695.5,703.2,677.9,37.3
48.75,652.8,661.5,683.1,665.8,15.6
49.0,639.1,677.5,689.3,668.6,26.2
49.25,619.5,654.2,684.6,652.7,32.6
49.5,640.1,667.3,678.2,661.9,19.6
49.75,657.6,665.5,662.2,661.8,4.0
50.0,626.9,690.9,682.1,666.6,34.7
50.25,622.2,667.2,672.9,654.1,27.7
50.5,632.9,654.3,679.9,655.7,23.5
50.75,612.8,663.6,678.0,651.5,34.3
51.0,615.4,661.2,677.5,651.3,32.2
51.25,622.0,668.7,683.3,658.0,32.1
51.5,619.1,661.6,679.7,653.5,31.1
51.75,635.2,673.2,647.1,651.9,19.4
52.0,605.0,653.1,672.2,643.4,34.6
52.25,616.2,673.3,664.0,651.2,30.7
52.5,599.1,653.6,663.3,638.6,34.6
52.75,618.0,656.5,655.4,643.3,21.9
53.0,606.7,646.9,654.9,636.2,25.8
53.25,603.5,636.9,655.6,632.0,26.4
53.5,604.5,656.2,643.1,634.6,26.9
53.75,614.0,663.4,649.9,642.4,25.5
54.0,604.1,647.4,634.9,628.8,22.3
54.25,603.9,669.4,640.1,637.8,32.8
54.5,584.7,653.4,629.3,622.5,34.9
54.75,576.4,630.2,632.9,613.2,31.9
55.0,583.8,645.3,625.4,618.2,31.4
55.25,583.8,622.0,617.4,607.8,20.9
55.5,583.9,646.5,619.4,616.6,31.4
55.75,596.9,628.6,606.8,610.8,16.2
56.0,561.3,629.5,619.2,603.3,36.7
56.25,588.4,634.8,609.9,611.0,23.2
56.5,581.4,612.3,612.8,602.2,18.0
56.75,567.7,614.6,605.3,595.9,24.8
57.0,571.6,614.1,598.7,594.8,21.5
57.25,554.0,614.8,619.6,596.1,36.6
57.5,566.5,599.2,605.0,590.2,20.7
57.75,567.2,594.1,588.9,583.4,14.3
58.0,555.4,592.3,606.2,584.7,26.2
58.25,543.7,604.3,581.6,576.5,30.6
58.5,558.6,610.6,583.3,584.2,26.0
58.75,545.8,588.1,568.4,567.4,21.2
59.0,545.5,580.2,568.0,564.6,17.6
59.25,538.2,578.8,576.5,564.5,22.8
59.5,556.0,563.8,554.2,558.0,5.1
59.75,547.0,577.2,554.5,559.6,15.7
60.0,550.8,557.8,552.2,553.6,3.7
60.25,541.7,560.3,539.2,547.1,11.5
60.5,530.7,555.1,552.3,546.0,13.4
60.75,539.6,562.1,539.3,547.0,13.1
61.0,527.0,538.4,545.9,537.1,9.5
61.25,526.7,533.7,523.2,527.9,5.3
61.5,521.7,554.5,527.3,534.5,17.5
61.75,529.9,540.2,527.4,532.5,6.8
62.0,510.6,526.7,536.6,524.6,13.1
62.25,515.5,513.0,516.0,514.9,1.6
62.5,509.1,532.9,530.0,524.0,13.0
62.75,506.8,520.4,505.3,510.8,8.3
63.0,498.7,515.2,509.8,507.9,8.4
63.25,485.1,519.6,499.6,501.5,17.3
63.5,487.1,509.4,509.5,502.0,12.9
63.75,504.8,507.6,499.9,504.1,3.9
64.0,480.1,498.1,498.7,492.3,10.5
64.25,489.9,493.2,487.4,490.2,2.9
64.5,484.8,491.3,486.9,487.6,3.3
64.75,482.0,481.9,476.7,480.2,3.0
65.0,482.2,472.0,477.2,477.1,5.1
65.25,491.3,472.3,478.9,480.9,9.6
65.5,475.4,462.1,477.3,471.6,8.3
65.75,463.9,465.6,464.5,464.7,0.8
66.0,475.4,461.1,453.5,463.4,11.1
66.25,466.9,454.6,452.1,457.9,7.9
66.5,462.7,451.4,450.0,454.7,6.9
66.75,459.3,435.5,447.3,447.4,11.9
67.0,459.4,431.1,440.5,443.7,14.4
67.25,450.7,438.5,441.0,443.4,6.5
67.5,456.3,435.3,423.8,438.4,16.5
67.75,462.8,426.9,431.3,440.4,19.6
68.0,440.0,424.9,427.6,430.8,8.1
68.25,445.5,412.6,418.1,425.4,17.6
68.5,446.6,415.0,419.8,427.1,17.0
68.75,440.5,407.3,400.5,416.1,21.4
69.0,427.6,409.4,405.6,414.2,11.7
69.25,421.6,399.6,406.3,409.2,11.3
69.5,434.6,398.6,401.5,411.5,20.0
69.75,433.7,388.4,411.3,411.1,22.7
70.0,428.7,380.9,390.9,400.1,25.2
70.25,422.5,377.6,385.3,395.1,24.0
70.5,415.9,370.6,384.1,390.2,23.3
70.75,410.9,360.2,374.9,382.0,26.1
71.0,413.5,366.8,378.6,386.3,24.3
71.25,414.1,358.2,372.2,381.5,29.1
71.5,401.3,348.6,363.1,371.0,27.2
71.75,416.1,349.2,367.8,377.7,34.5
72.0,403.9,337.5,363.7,368.4,33.5
72.25,401.5,336.3,362.0,366.6,32.8
72.5,400.8,326.9,349.0,358.9,37.9
72.75,398.9,327.7,348.4,358.3,36.6
73.0,394.1,320.2,345.7,353.3,37.5
73.25,392.2,321.4,332.5,348.7,38.0
73.5,375.8,314.6,337.7,342.7,30.9
73.75,382.7,310.3,332.8,341.9,37.0
74.0,376.5,308.6,326.5,337.2,35.2
74.25,369.5,304.0,312.9,328.8,35.5
74.5,366.1,295.6,322.1,328.0,35.6
74.75,365.6,290.4,312.9,323.0,38.6
75.0,364.6,288.3,308.2,320.4,39.6
75.25,357.7,282.0,307.1,315.6,38.6
75.5,349.4,280.6,297.6,309.2,35.9
75.75,339.6,276.9,292.9,303.1,32.6
76.0,339.8,275.8,289.3,301.6,33.7
76.25,332.0,277.4,288.7,299.4,28.8
76.5,332.7,269.5,289.7,297.3,32.3
76.75,326.1,268.7,285.5,293.4,29.5
77.0,329.2,268.7,279.8,292.5,32.2
77.25,324.1,260.4,274.1,286.2,33.5
77.5,320.1,256.1,272.0,282.7,33.3
77.75,312.0,256.0,266.4,278.1,29.8
78.0,314.6,246.1,259.8,273.5,36.2
78.25,310.4,250.3,255.6,272.1,33.3
78.5,312.2,248.2,250.5,270.3,36.3
78.75,306.2,241.0,250.6,265.9,35.2
79.0,299.7,236.9,242.6,259.7,34.8
79.25,302.9,231.8,241.0,258.6,38.7
79.5,296.0,226.3,232.8,251.7,38.5
79.75,293.3,221.2,230.6,248.3,39.2
80.0,293.1,221.5,225.9,246.8,40.1
80.25,291.0,214.3,221.2,242.2,42.4
80.5,282.5,212.9,218.4,237.9,38.7
80.75,283.2,210.3,212.4,235.3,41.5
81.0,279.7,205.9,207.6,231.1,42.1
81.25,278.3,196.4,205.2,226.6,45.0
81.5,275.4,194.4,201.2,223.7,45.0
81.75,270.0,191.7,196.6,219.4,43.9
82.0,265.0,186.1,193.6,214.9,43.5
82.25,262.8,181.9,188.0,210.9,45.1
82.5,260.6,178.5,188.2,209.1,44.8
82.75,254.8,177.7,183.8,205.4,42.9
83.0,250.6,173.9,179.0,201.2,42.9
83.25,243.9,169.7,179.3,197.6,40.4
83.5,244.6,166.6,175.2,195.5,42.8
83.75,241.1,161.5,173.5,192.0,42.9
84.0,234.8,160.2,170.6,188.5,40.4
84.25,233.4,157.8,167.2,186.1,41.2
84.5,233.1,150.9,164.1,182.7,44.1
84.75,230.8,148.2,160.5,179.8,44.5
85.0,227.6,145.9,158.1,177.2,44.1
85.25,225.2,142.9,158.4,175.5,43.7
85.5,222.0,138.8,155.3,172.0,44.0
85.75,219.2,135.9,150.2,168.4,44.5
86.0,216.7,133.2,149.9,166.6,44.2
86.25,217.0,133.0,147.3,165.8,45.0
86.5,211.5,126.2,143.1,160.3,45.2
86.75,213.2,123.6,138.4,158.4,48.0
87.0,209.0,123.8,138.3,157.0,45.5
87.25,207.2,118.1,133.6,153.0,47.6
87.5,201.1,117.7,133.8,150.9,44.2
87.75,199.1,113.2,130.3,147.5,45.5
88.0,197.5,112.4,128.6,146.1,45.2
88.25,194.8,109.9,125.0,143.2,45.3
88.5,193.9,107.3,124.8,142.0,45.8
88.75,189.3,104.2,121.8,138.5,44.9
89.0,186.3,101.9,119.7,136.0,44.5
89.25,186.8,100.3,116.2,134.4,46.1
89.5,184.3,98.1,115.3,132.6,45.6
89.75,177.8,96.5,114.5,129.6,42.7
90.0,176.2,91.9,111.2,126.4,44.1
90.25,173.4,90.7,109.0,124.4,43.5
90.5,171.7,89.4,107.7,122.9,43.2
90.75,169.8,86.6,105.5,120.6,43.6
91.0,163.9,85.5,103.8,117.7,41.0
91.25,163.4,82.5,101.8,115.9,42.3
91.5,159.0,80.2,98.6,112.6,41.2
91.75,157.8,78.5,96.1,110.8,41.7
92.0,155.3,77.2,94.7,109.1,41.0
92.25,153.0,74.7,91.8,106.5,41.2
92.5,151.6,72.7,90.8,105.0,41.3
92.75,148.4,71.4,88.3,102.7,40.5
93.0,146.6,68.9,87.9,101.1,40.5
93.25,145.6,67.4,85.1,99.4,41.0
93.5,144.5,66.6,82.3,97.8,41.2
93.75,143.0,65.3,80.9,96.4,41.1
94.0,136.6,64.4,78.1,93.0,38.4
94.25,136.5,63.4,76.6,92.1,39.0
94.5,133.2,62.4,73.7,89.8,38.0
94.75,131.9,60.9,72.6,88.5,38.0
95.0,129.8,59.1,71.0,86.6,37.9
95.25,127.4,58.1,69.3,84.9,37.2
95.5,123.3,56.2,68.7,82.7,35.7
95.75,124.1,55.0,68.4,82.5,36.6
96.0,119.5,54.0,65.8,79.8,34.9
96.25,115.9,53.0,65.1,78.0,33.4
96.5,113.0,52.0,63.3,76.1,32.5
96.75,111.0,51.4,62.1,74.8,31.8
97.0,106.6,50.1,62.6,73.1,29.7
97.25,104.1,49.4,60.3,71.2,28.9
97.5,100.6,48.8,59.3,69.6,27.4
97.75,99.0,47.7,58.4,68.4,27.1
98.0,96.3,46.7,56.3,66.4,26.3
98.25,93.6,45.8,56.5,65.3,25.1
98.5,90.2,44.8,55.3,63.4,23.8
98.75,87.1,44.0,55.0,62.0,22.4
99.0,85.3,43.6,53.1,60.7,21.8
99.25,83.9,,52.5,68.2,22.2
99.5,81.5,,51.3,66.4,21.4
99.75,78.4,,50.0,64.2,20.1
100.0,75.9,,49.5,62.7,18.7
100.25,73.2,,48.2,60.7,17.7
100.5,72.5,,47.9,60.2,17.4
100.75,69.7,,46.2,57.9,16.6
101.0,67.1,,45.7,56.4,15.1
101.25,66.3,,44.8,55.6,15.2
101.5,63.8,,44.6,54.2,13.6
101.75,62.5,,43.3,52.9,13.6
102.0,60.2,,42.8,51.5,12.3
102.25,58.9,,42.5,50.7,11.6
102.5,57.8,,41.8,49.8,11.3
102.75,55.2,,,55.2,
103.0,54.5,,,54.5,
103.25,53.1,,,53.1,
103.5,52.0,,,52.0,
