##Temp./°C,Time/min,Mass loss(subtr.)/mg,DSC(subtr.2)/(mW/mg),Integral(DSC (subtr.2), 2, 199.3..406.4°C)/%,DTG(subtr.)/(mg/min),Sensit./(uV/mW)
70.299,13.37086,-0.03356665,0.28509,            ,0.008849713,1.06445,,
70.399,13.38154,-0.03355721,0.28639000000000003,            ,0.00587647,1.0644,,
70.499,13.39221,-0.03356093,0.28543,            ,0.002470264,1.06435,,
70.599,13.402820000000002,-0.0335598,0.28864,            ,-0.0005360242,1.06429,,
70.699,13.41354,-0.03355973,0.2888,            ,-0.004344057,1.0642399999999999,,
70.799,13.4242,-0.03356153,0.28951,            ,-0.01026936,1.06419,,
70.899,13.434829999999998,-0.03355362,0.28947,            ,-0.01788002,1.0641399999999999,,
70.999,13.44546,-0.03363916,0.28808,            ,-0.02436033,1.06409,,
71.099,13.45604,-0.0345358,0.28995,            ,-0.02713638,1.0640399999999999,,
71.199,13.466629999999999,-0.0349407,0.29070999999999997,            ,-0.02646056,1.06398,,
71.299,13.4773,-0.03488162,0.29018,            ,-0.02446629,1.0639299999999998,,
71.399,13.488010000000001,-0.03483299,0.29111,            ,-0.02221254,1.06388,,
71.499,13.49862,-0.03545547,0.29279,            ,-0.01822227,1.0638299999999998,,
71.599,13.5092,-0.03587152,0.29329,            ,-0.009878488000000001,1.06378,,
71.699,13.519620000000002,-0.03588065,0.2959,            ,0.0025200279999999997,1.06372,,
71.799,13.53,-0.03588002,0.29381,            ,0.01488769,1.0636700000000001,,
71.899,13.54059,-0.03549843,0.2923,            ,0.02193601,1.06362,,
71.999,13.5512,-0.03450493,0.29496,            ,0.020339,1.0635700000000001,,
72.099,13.561720000000001,-0.03457699,0.29459,            ,0.0108607,1.06352,,
72.199,13.57228,-0.03456538,0.29488000000000003,            ,-0.0030084940000000004,1.0634700000000001,,
72.299,13.582820000000002,-0.03450867,0.29836,            ,-0.01580745,1.06341,,
72.399,13.593420000000002,-0.03484255,0.29685,            ,-0.02322089,1.06336,,
72.499,13.60391,-0.03576706,0.29827,            ,-0.02351187,1.06331,,
72.599,13.614479999999999,-0.03587759,0.29793000000000003,            ,-0.01815308,1.06326,,
72.699,13.624979999999999,-0.03586806,0.29769,            ,-0.01075261,1.06321,,
72.799,13.63548,-0.03587049,0.29801,            ,-0.004856712,1.06316,,
72.899,13.645920000000002,-0.03586988,0.29865,            ,-0.001633393,1.0631,,
72.999,13.65637,-0.03587004,0.29936,            ,-0.0004004132,1.06305,,
73.099,13.666910000000001,-0.03586996,0.29913,            ,-0.0006236161,1.063,,
73.199,13.677520000000001,-0.03587011,0.29939,            ,-0.0024436379999999997,1.06295,,
73.299,13.68806,-0.03586966,0.29865,            ,-0.006578481,1.0629,,
73.399,13.698579999999998,-0.03587104,0.29986,            ,-0.01331841,1.06284,,
73.499,13.70909,-0.03586726,0.3006,            ,-0.02056928,1.06279,,
73.599,13.719610000000001,-0.03616841,0.30096,            ,-0.02475128,1.06274,,
73.699,13.730410000000001,-0.03721195,0.30173,            ,-0.02341562,1.06269,,
73.799,13.74116,-0.03717527,0.30191999999999997,            ,-0.01721911,1.06264,,
73.899,13.751710000000001,-0.03719536,0.30154000000000003,            ,-0.009737561,1.06259,,
73.999,13.762120000000001,-0.03718838,0.29986999999999997,            ,-0.00418078,1.06253,,
74.099,13.77263,-0.03719048,0.30029,            ,-0.00129233,1.0624799999999999,,
74.199,13.78314,-0.03718987,0.30268,            ,-0.0002182151,1.06243,,
74.299,13.79362,-0.03719004,0.30373,            ,2.343521e-06,1.0623799999999999,,
74.399,13.80415,-0.03719,0.30499,            ,-3.129913e-06,1.06233,,
74.499,13.814670000000001,-0.03718999,0.30461,            ,2.664158e-06,1.06228,,
74.599,13.82511,-0.03719006,0.30601,            ,-9.215044e-05,1.0622200000000002,,
74.699,13.8356,-0.03718976,0.30627,            ,-0.0007668441000000001,1.06217,,
74.799,13.84612,-0.03719092,0.30614,            ,-0.0029092540000000004,1.0621200000000002,,
74.899,13.856679999999999,-0.03718663,0.30683,            ,-0.0077956909999999996,1.06207,,
74.999,13.867270000000001,-0.03720192,0.30687,            ,-0.01621347,1.06202,,
75.099,13.87776,-0.03714872,0.30651,            ,-0.02682297,1.06196,,
75.199,13.88824,-0.03769296,0.30899,            ,-0.03780529,1.0619100000000001,,
75.299,13.89874,-0.03856194,0.30946999999999997,            ,-0.04770107,1.06186,,
75.399,13.90915,-0.03859605,0.30966,            ,-0.0547972,1.0618100000000001,,
75.499,13.91964,-0.03933856,0.31101999999999996,            ,-0.05750164,1.06176,,
75.599,13.93009,-0.0403744,0.31015,            ,-0.05296774,1.06171,,
75.699,13.94051,-0.04074999,0.31106,            ,-0.03934412,1.06165,,
75.799,13.95096,-0.04207117,0.31012,            ,-0.01930701,1.0616,,
75.899,13.96139,-0.04152749,0.31075,            ,0.001067349,1.06155,,
75.999,13.971870000000001,-0.04062414,0.31206,            ,0.01798361,1.0615,,
76.099,13.98236,-0.04070417,0.31177,            ,0.03178859,1.06145,,
76.199,13.99279,-0.04071287,0.31188,            ,0.04463143,1.0614,,
76.299,14.003260000000001,-0.04053298,0.31173,            ,0.05576274,1.06134,,
76.399,14.013739999999999,-0.03896343,0.31244,            ,0.06135326,1.06129,,
76.499,14.024170000000002,-0.03765542,0.31267,            ,0.059359,1.06124,,
76.599,14.03459,-0.03798018,0.31386,            ,0.05124335,1.0611899999999999,,
76.699,14.045,-0.03737696,0.3155,            ,0.0403492,1.06114,,
76.799,14.055370000000002,-0.03658884,0.3143,            ,0.0293629,1.0610899999999999,,
76.899,14.06574,-0.03652342,0.31654,            ,0.01901303,1.06103,,
76.999,14.0761,-0.03653163,0.3152,            ,0.01026206,1.06098,,
77.099,14.08651,-0.03652961,0.31592,            ,0.004443044,1.06093,,
77.199,14.096879999999999,-0.03653009,0.31446999999999997,            ,0.001458922,1.0608799999999998,,
77.299,14.10718,-0.03652999,0.31606999999999996,            ,0.00028715450000000003,1.06083,,
77.399,14.11759,-0.03652997,0.31469,            ,1.4785e-05,1.0607799999999998,,
77.499,14.12795,-0.03653011,0.31561,            ,-0.0002759889,1.06072,,
77.599,14.138320000000002,-0.03652964,0.31842,            ,-0.001464175,1.06067,,
77.699,14.14874,-0.0365311,0.32015,            ,-0.0045272129999999996,1.0606200000000001,,
77.799,14.1591,-0.03652682,0.31772,            ,-0.01027013,1.06057,,
77.899,14.1694,-0.03653828,0.31856999999999996,            ,-0.01761379,1.0605200000000001,,
77.999,14.179789999999999,-0.03651854,0.31939,            ,-0.02350098,1.06047,,
78.099,14.19019,-0.03753549,0.32014000000000004,            ,-0.02494578,1.06041,,
78.199,14.200579999999999,-0.03785218,0.32082,            ,-0.02180595,1.06036,,
78.299,14.210970000000001,-0.03784901,0.3202,            ,-0.01714288,1.06031,,
78.399,14.221279999999998,-0.03785076,0.32172,            ,-0.01533711,1.06026,,
78.499,14.23153,-0.03784783,0.32147,            ,-0.01815547,1.06021,,
78.599,14.24186,-0.0378617,0.32094,            ,-0.02283364,1.06016,,
78.699,14.2523,-0.03840279,0.32154,            ,-0.02506492,1.0601,,
78.799,14.26269,-0.03926125,0.32066999999999996,            ,-0.02241759,1.06005,,
78.899,14.273029999999999,-0.03914457,0.31988,            ,-0.01588302,1.06,,
78.999,14.28338,-0.03917698,0.32132,            ,-0.00867398,1.05995,,
79.099,14.293729999999998,-0.03916812,0.32105,            ,-0.0035720129999999998,1.0599,,
79.199,14.304129999999999,-0.03917051,0.32226,            ,-0.001056047,1.05985,,
79.299,14.31449,-0.03916985,0.32456,            ,-0.0001550739,1.05979,,
79.399,14.324810000000001,-0.0391701,0.32531,            ,-7.93561e-05,1.05974,,
79.499,14.335170000000002,-0.03916975,0.32635,            ,-0.0006942742,1.05969,,
79.599,14.345479999999998,-0.03917095,0.32509,            ,-0.002540609,1.05964,,
79.699,14.35578,-0.03916641,0.32659,            ,-0.006234488000000001,1.05959,,
79.799,14.366060000000001,-0.03918356,0.3258,            ,-0.01118027,1.05954,,
79.899,14.376420000000001,-0.03912035,0.32584,            ,-0.01447979,1.05948,,
79.999,14.38676,-0.03955505,0.32835,            ,-0.01231908,1.0594299999999999,,
80.099,14.397039999999999,-0.04035389,0.32766,            ,-0.004096489,1.05938,,
80.199,14.40736,-0.04035185,0.32861999999999997,            ,0.006121522,1.0593299999999999,,
80.299,14.417670000000001,-0.03933246,0.32891,            ,0.01222965,1.05928,,
80.399,14.42799,-0.03912503,0.32902,            ,0.0102062,1.05923,,
80.499,14.438329999999999,-0.03916302,0.32855,            ,0.000592635,1.0591700000000002,,
80.599,14.44869,-0.0391738,0.32871,            ,-0.0117831,1.05912,,
80.699,14.459010000000001,-0.03911337,0.32816999999999996,            ,-0.02117773,1.0590700000000002,,
80.799,14.46923,-0.04008195,0.32904,            ,-0.02442172,1.05902,,
80.899,14.47954,-0.04047788,0.32907,            ,-0.0213283,1.05897,,
80.999,14.48983,-0.0404802,0.33050999999999997,            ,-0.01446625,1.05892,,
81.099,14.50015,-0.04048004,0.3309,            ,-0.007569138,1.0588600000000001,,
81.199,14.510370000000002,-0.04047997,0.3306,            ,-0.0032306970000000003,1.05881,,
81.299,14.520660000000001,-0.04048003,0.33226999999999995,            ,-0.001921404,1.0587600000000001,,
81.399,14.53098,-0.04047991,0.33324000000000004,            ,-0.003612336,1.05871,,
81.499,14.541329999999999,-0.04048046,0.33424,            ,-0.008387387,1.05866,,
81.599,14.55163,-0.04047784,0.33276,            ,-0.01541425,1.05861,,
81.699,14.561910000000001,-0.04049204,0.33371,            ,-0.02197326,1.05855,,
81.799,14.572020000000002,-0.04100282,0.3328,            ,-0.0247774,1.0585,,
81.899,14.58218,-0.04186972,0.33305999999999997,            ,-0.02247452,1.05845,,
81.999,14.59246,-0.0417675,0.3335,            ,-0.01615617,1.0584,,
82.099,14.602739999999999,-0.04179639,0.33292,            ,-0.00899257,1.05835,,
