Names,PMMA_R1,PMMA_R2,PMMA_R3,Mean,Std. Dev.
478,367.4,403.4,420.7,397.2,27.2
479,364.9,395.8,431.2,397.3,33.2
480,372.3,402.0,429.5,401.2,28.6
481,375.0,403.4,432.6,403.7,28.8
482,373.8,404.1,429.4,402.4,27.8
483,376.9,406.2,431.0,404.7,27.1
484,393.6,409.9,433.4,412.3,20.0
485,379.8,405.7,443.8,409.8,32.2
486,381.1,421.5,435.6,412.7,28.3
487,388.9,416.6,448.3,417.9,29.8
488,398.9,425.9,453.1,426.0,27.1
489,392.5,428.9,449.3,423.5,28.8
490,392.5,427.0,443.8,421.1,26.1
491,394.9,432.5,477.5,435.0,41.4
492,396.4,432.5,450.8,426.6,27.7
493,402.8,442.8,448.2,431.3,24.8
494,410.6,436.8,473.8,440.4,31.8
495,409.5,446.9,467.8,441.4,29.5
496,420.4,438.5,454.5,437.8,17.1
497,424.4,450.3,455.1,443.3,16.6
498,415.2,448.4,464.9,442.8,25.3
499,421.7,448.4,469.6,446.5,24.0
500,422.2,446.5,460.2,443.0,19.3
501,434.1,443.0,472.9,450.0,20.4
502,423.8,454.0,477.0,451.6,26.7
503,432.4,458.1,487.1,459.2,27.4
504,441.3,462.2,491.7,465.1,25.3
505,438.3,469.7,479.7,462.6,21.6
506,447.0,466.2,499.4,470.8,26.5
507,447.2,460.2,494.0,467.1,24.2
508,439.9,451.9,495.5,462.4,29.3
509,456.5,476.9,497.8,477.1,20.6
510,446.8,471.0,499.2,472.4,26.2
511,448.8,470.0,500.8,473.2,26.1
512,450.0,448.0,507.4,468.5,33.8
513,449.2,466.4,509.1,474.9,30.8
514,462.3,474.2,519.7,485.4,30.3
515,455.8,465.5,500.0,473.7,23.2
516,458.2,476.5,516.5,483.7,29.8
517,457.4,462.4,525.7,481.8,38.1
518,452.8,474.9,502.1,476.6,24.7
519,449.2,482.6,515.1,482.3,32.9
520,462.9,474.7,527.7,488.4,34.5
521,459.9,472.2,538.3,490.1,42.2
522,455.2,473.5,529.5,486.1,38.7
523,456.6,483.5,532.6,490.9,38.5
524,468.0,471.8,540.7,493.5,40.9
525,477.6,499.3,538.9,505.2,31.1
526,472.8,489.9,548.6,503.8,39.7
527,475.8,496.8,527.7,500.1,26.1
528,471.5,489.3,544.6,501.8,38.1
529,464.6,492.6,540.5,499.2,38.4
530,463.8,498.5,563.0,508.4,50.3
531,490.8,484.6,565.6,513.7,45.1
532,490.3,497.0,545.4,510.9,30.1
533,483.1,496.4,553.5,511.0,37.4
534,484.3,483.6,553.9,507.3,40.4
535,472.1,503.6,558.0,511.2,43.5
536,473.6,504.9,563.7,514.0,45.7
537,487.3,515.5,584.3,529.0,49.9
538,490.5,518.6,562.2,523.8,36.2
539,487.8,510.5,565.4,521.2,39.9
540,489.9,516.2,555.8,520.6,33.2
541,507.4,505.7,579.2,530.7,41.9
542,503.6,522.9,564.7,530.4,31.2
543,513.9,522.2,562.2,532.8,25.8
544,488.3,543.7,579.8,537.3,46.1
545,504.8,532.5,572.4,536.5,34.0
546,497.9,526.8,575.8,533.5,39.4
547,514.9,520.2,555.4,530.2,22.0
548,504.1,544.1,580.5,542.9,38.2
549,514.6,529.9,581.0,541.8,34.8
550,524.4,537.2,573.5,545.0,25.5
551,522.2,533.4,584.0,546.5,32.9
552,518.5,529.7,589.6,545.9,38.2
553,522.2,546.4,578.3,549.0,28.1
554,527.4,529.3,586.2,547.6,33.4
555,520.8,538.6,567.5,542.3,23.6
556,516.7,533.8,602.5,551.0,45.4
557,517.9,571.1,592.1,560.4,38.2
558,524.1,561.0,608.5,564.5,42.3
559,524.5,541.9,589.3,551.9,33.5
560,525.3,541.3,599.4,555.3,39.0
561,535.3,547.5,608.4,563.7,39.2
562,551.5,554.8,606.8,571.0,31.0
563,532.5,557.2,613.6,567.8,41.5
564,518.0,548.2,613.7,560.0,48.9
565,533.3,569.5,596.6,566.5,31.8
566,521.7,554.5,614.5,563.6,47.0
567,550.4,569.2,638.8,586.1,46.5
568,537.9,561.6,614.9,571.5,39.5
569,558.0,542.9,614.0,571.6,37.5
570,537.7,565.5,637.7,580.3,51.6
571,536.3,576.2,634.0,582.2,49.1
572,548.5,577.9,620.2,582.2,36.0
573,567.5,552.9,626.3,582.3,38.8
574,544.1,572.6,643.4,586.7,51.1
575,568.0,564.4,646.1,592.8,46.2
576,553.7,571.2,638.7,587.9,44.9
577,561.1,569.1,629.5,586.6,37.4
578,572.1,574.1,630.7,592.3,33.3
579,548.1,578.1,629.4,585.2,41.1
580,557.8,569.1,657.2,594.7,54.4
581,583.6,599.3,634.3,605.7,26.0
582,573.3,577.8,639.4,596.8,36.9
583,562.8,588.5,657.5,602.9,49.0
584,579.6,589.3,635.7,601.5,30.0
585,569.1,586.6,662.9,606.2,49.9
586,571.7,575.0,662.7,603.1,51.6
587,585.8,597.4,639.6,607.6,28.3
588,564.0,606.2,672.3,614.2,54.6
589,592.9,590.5,671.9,618.4,46.3
590,589.7,592.9,653.8,612.1,36.1
591,590.1,606.9,690.1,629.0,53.6
592,588.8,571.3,662.8,607.7,48.6
593,590.5,588.1,683.4,620.7,54.4
594,576.9,592.9,685.3,618.4,58.5
595,574.6,596.0,655.3,608.6,41.8
596,587.5,594.8,659.9,614.1,39.8
597,587.1,608.7,702.9,632.9,61.6
598,581.7,593.8,688.7,621.4,58.6
599,607.2,611.1,707.2,641.8,56.6
600,596.6,627.7,678.6,634.3,41.4
601,608.0,602.5,691.7,634.1,50.0
602,587.5,613.2,702.6,634.4,60.4
603,607.8,614.1,685.5,635.8,43.2
604,597.1,612.2,682.8,630.7,45.7
605,613.8,609.9,710.4,644.7,56.9
606,580.0,599.5,688.5,622.7,57.9
607,603.0,624.1,684.7,637.3,42.4
608,606.9,605.2,699.7,637.3,54.1
609,603.0,619.3,708.3,643.5,56.7
610,609.9,632.5,688.5,643.6,40.5
611,611.9,634.7,692.0,646.2,41.3
612,603.0,630.2,710.1,647.8,55.7
613,620.1,620.0,721.8,654.0,58.8
614,621.5,632.5,733.9,662.6,62.0
615,618.0,629.3,704.0,650.4,46.7
616,610.9,644.5,728.4,661.3,60.5
617,600.4,638.0,710.8,649.7,56.1
618,617.7,625.5,731.4,658.2,63.5
619,617.7,623.9,698.6,646.7,45.0
620,614.8,644.6,716.5,658.6,52.3
621,618.2,637.1,733.2,662.8,61.7
622,609.0,668.5,754.5,677.3,73.1
623,608.8,645.1,723.0,659.0,58.3
624,615.8,632.0,709.3,652.3,50.0
625,596.4,642.2,720.3,653.0,62.6
626,616.3,663.5,711.1,663.6,47.4
627,618.1,641.0,739.4,666.1,64.4
628,632.7,642.7,753.2,676.2,66.9
629,627.4,652.3,716.5,665.4,46.0
630,631.6,669.2,714.6,671.8,41.5
631,622.1,664.9,720.6,669.2,49.4
632,646.8,649.9,738.6,678.4,52.1
633,616.6,663.5,727.6,669.2,55.7
634,635.6,656.0,762.0,684.5,67.9
635,634.1,643.4,746.3,674.6,62.2
636,636.2,660.5,745.4,680.7,57.4
637,634.3,649.7,751.5,678.5,63.7
638,652.5,619.4,753.0,675.0,69.6
639,630.1,674.3,730.4,678.3,50.3
640,650.8,647.4,757.9,685.4,62.9
641,642.3,682.8,729.0,684.7,43.4
642,634.4,646.9,764.3,681.9,71.7
643,638.4,672.5,758.7,689.9,62.0
644,656.9,669.5,755.3,693.9,53.5
645,656.8,653.1,719.6,676.5,37.4
646,641.0,654.1,769.0,688.1,70.4
647,666.8,682.3,719.1,689.4,26.9
648,639.5,683.9,769.4,697.6,66.0
649,661.2,668.8,740.8,690.3,43.9
650,654.6,697.0,738.8,696.8,42.1
651,648.9,683.8,749.2,694.0,50.9
652,649.5,652.9,737.1,679.8,49.6
653,664.0,677.0,770.5,703.8,58.1
654,674.3,698.4,754.6,709.1,41.2
655,662.0,661.5,761.3,694.9,57.5
656,678.9,688.1,754.2,707.0,41.1
657,654.0,697.6,762.9,704.8,54.8
658,665.8,679.1,768.2,704.4,55.7
659,665.9,681.5,753.1,700.2,46.5
660,672.2,691.3,761.8,708.4,47.2
661,673.1,695.7,780.3,716.4,56.5
662,677.7,691.1,756.9,708.6,42.4
663,656.5,689.3,794.6,713.5,72.2
664,669.2,662.4,742.9,691.5,44.6
665,675.3,686.3,783.8,715.2,59.7
666,677.3,661.4,759.0,699.2,52.4
667,678.4,681.3,790.2,716.6,63.7
668,683.1,695.9,740.3,706.4,30.0
669,664.0,699.6,760.9,708.2,49.0
670,642.1,665.8,785.3,697.7,76.8
671,688.6,679.7,760.5,709.6,44.3
672,707.3,688.4,783.0,726.2,50.1
673,704.7,702.4,779.8,729.0,44.1
674,672.7,688.0,802.1,720.9,70.7
675,680.1,704.9,769.0,718.0,45.9
676,695.5,673.9,765.7,711.7,48.0
677,696.0,680.7,763.2,713.3,43.9
678,679.8,686.0,766.8,710.9,48.5
679,688.8,688.7,794.7,724.0,61.2
680,694.1,705.2,755.3,718.2,32.6
681,691.9,693.7,765.4,717.0,41.9
682,690.9,670.2,782.5,714.5,59.8
683,688.2,700.1,800.3,729.5,61.6
684,689.4,702.9,747.3,713.2,30.3
685,693.5,661.4,774.8,709.9,58.4
686,685.5,710.1,791.4,729.0,55.4
687,721.8,690.2,782.7,731.6,47.1
688,675.9,679.5,772.7,709.4,54.9
689,700.7,684.7,795.6,727.0,60.0
690,695.0,705.9,770.8,723.9,41.0
691,707.8,700.1,771.8,726.5,39.4
692,696.6,666.9,763.6,709.0,49.5
693,684.6,689.6,789.9,721.4,59.4
694,706.1,689.5,777.5,724.4,46.8
695,681.6,696.0,755.7,711.1,39.3
696,690.1,719.1,793.9,734.4,53.6
697,707.7,690.9,764.3,720.9,38.5
698,674.0,663.2,791.5,709.6,71.1
699,699.4,704.0,750.0,717.8,28.0
700,699.9,713.3,775.9,729.7,40.6
701,696.6,679.2,761.0,712.2,43.1
702,675.8,688.3,730.2,698.1,28.5
703,686.9,689.5,762.2,712.9,42.8
704,695.4,674.3,732.5,700.8,29.5
705,710.5,719.1,753.7,727.8,22.9
706,713.6,705.5,748.2,722.4,22.7
707,677.6,691.1,792.4,720.4,62.8
708,693.3,701.5,761.7,718.8,37.3
709,681.0,690.0,784.9,718.6,57.5
710,688.1,721.4,788.0,732.5,50.9
711,693.3,677.6,718.8,696.6,20.8
712,706.3,689.6,762.5,719.4,38.2
713,683.1,702.5,769.2,718.3,45.2
714,669.5,679.5,716.6,688.5,24.8
715,715.6,695.9,752.1,721.2,28.5
716,702.5,683.8,758.4,714.9,38.8
717,729.2,688.8,751.8,723.3,31.9
718,674.3,675.5,719.6,689.8,25.8
719,688.9,677.4,759.4,708.5,44.4
720,690.1,694.3,751.7,712.0,34.4
721,692.7,705.9,736.1,711.6,22.2
722,690.7,671.2,759.3,707.0,46.3
723,703.4,684.1,752.0,713.2,35.0
724,702.0,706.8,742.4,717.1,22.1
725,696.0,710.2,762.2,722.8,34.9
726,708.3,712.2,740.1,720.2,17.3
727,718.4,676.1,750.9,715.1,37.5
728,693.0,665.5,740.0,699.5,37.6
729,686.0,694.3,736.7,705.7,27.2
730,694.4,703.1,720.8,706.1,13.4
731,726.0,678.0,773.6,725.9,47.8
732,682.5,703.5,750.3,712.1,34.7
733,695.0,679.2,763.1,712.4,44.6
734,683.0,688.3,741.4,704.2,32.3
735,696.6,699.0,756.9,717.5,34.1
736,689.6,689.5,729.8,703.0,23.2
737,683.1,702.6,765.2,717.0,42.9
738,707.8,669.3,737.1,704.7,34.0
739,702.1,693.9,727.9,708.0,17.8
740,686.1,684.8,744.9,705.3,34.3
741,711.7,674.4,766.4,717.5,46.3
742,689.5,675.5,767.2,710.7,49.4
743,710.6,677.1,756.4,714.7,39.8
744,695.9,687.4,737.6,707.0,26.9
745,697.0,703.7,736.3,712.3,21.0
746,692.6,705.3,741.6,713.2,25.4
747,683.1,700.2,767.2,716.8,44.5
748,670.5,700.2,741.2,704.0,35.5
749,687.3,689.1,741.4,705.9,30.8
750,682.9,678.5,716.8,692.7,21.0
751,684.4,694.6,734.9,704.7,26.7
752,667.1,687.8,761.5,705.5,49.6
753,655.3,688.5,756.1,700.0,51.4
754,709.1,664.9,734.6,702.9,35.3
755,681.5,666.2,739.1,695.6,38.5
756,674.9,720.4,764.0,719.8,44.6
757,701.3,693.1,740.0,711.4,25.0
758,674.8,678.1,737.1,696.7,35.0
759,708.1,697.7,752.5,719.4,29.1
760,677.9,701.9,741.4,707.1,32.1
761,701.0,667.9,751.0,706.6,41.8
762,705.8,668.9,733.6,702.8,32.5
763,693.9,696.1,755.3,715.1,34.8
764,695.0,698.3,795.3,729.6,57.0
765,679.6,678.5,771.3,709.8,53.3
766,670.0,683.4,758.3,703.9,47.6
767,683.0,681.7,735.5,700.0,30.7
768,702.8,687.1,740.7,710.2,27.6
769,693.3,680.4,744.7,706.1,34.0
770,691.2,706.0,754.5,717.2,33.1
771,693.8,685.6,751.7,710.4,36.1
772,651.9,686.5,745.6,694.7,47.4
773,689.1,680.7,733.4,701.1,28.3
774,692.8,693.6,747.6,711.3,31.4
775,683.6,682.4,781.4,715.8,56.8
776,681.0,673.6,730.0,694.8,30.7
777,653.5,694.2,758.5,702.1,52.9
778,709.3,688.7,766.6,721.5,40.4
779,688.4,674.1,782.9,715.1,59.2
780,700.0,679.5,754.1,711.2,38.5
781,675.7,686.8,746.2,702.9,37.9
782,678.4,716.9,734.7,710.0,28.8
783,668.8,680.5,761.8,703.7,50.6
784,658.2,698.1,779.0,711.7,61.5
785,681.0,695.7,742.4,706.4,32.1
786,669.3,665.7,763.9,699.7,55.7
787,683.2,684.9,762.8,710.3,45.5
788,690.4,695.8,767.4,717.8,43.0
789,663.7,671.0,742.1,692.3,43.3
790,708.3,683.1,764.9,718.7,41.9
791,667.5,701.9,751.0,706.8,41.9
792,688.5,676.6,762.6,709.2,46.6
793,709.5,690.0,797.3,732.3,57.2
794,677.4,692.0,787.1,718.8,59.6
795,677.9,687.9,780.7,715.5,56.7
796,666.9,685.4,749.1,700.5,43.1
797,673.9,701.2,779.5,718.2,54.8
798,681.8,689.2,759.6,710.2,42.9
799,696.2,689.4,750.9,712.2,33.7
800,676.0,691.8,747.9,705.2,37.8
801,676.6,685.8,796.9,719.7,67.0
802,673.2,681.9,751.5,702.2,42.9
803,717.8,689.2,758.3,721.8,34.7
804,676.3,685.7,790.5,717.5,63.4
805,694.5,699.8,805.8,733.4,62.8
806,670.5,692.5,764.9,709.3,49.4
807,662.2,705.2,754.4,707.3,46.1
808,679.1,703.4,772.4,718.3,48.4
809,669.9,650.3,791.5,703.9,76.5
810,703.7,713.1,748.3,721.7,23.5
811,696.1,670.2,757.6,708.0,44.9
812,688.0,693.9,755.5,712.4,37.4
813,684.6,694.3,773.0,717.3,48.5
814,674.0,689.8,770.9,711.6,52.0
815,691.5,694.7,783.9,723.4,52.4
816,700.8,687.8,792.0,726.9,56.8
817,681.5,694.6,761.6,712.6,42.9
818,662.0,690.8,781.1,711.3,62.2
819,711.8,693.2,775.1,726.7,42.9
820,706.8,692.0,789.7,729.5,52.7
821,671.1,680.1,788.7,713.3,65.4
822,686.2,698.4,773.6,719.4,47.3
823,692.1,679.3,760.1,710.5,43.4
824,698.5,682.7,793.1,724.8,59.7
825,669.4,681.2,772.4,707.7,56.4
826,672.9,723.8,763.7,720.1,45.5
827,683.0,707.0,764.6,718.2,42.0
828,673.2,679.4,768.2,707.0,53.2
829,678.5,715.5,781.4,725.1,52.1
830,693.2,690.5,766.2,716.7,42.9
831,679.1,699.6,746.3,708.3,34.4
832,687.6,706.0,769.7,721.1,43.1
833,670.7,696.7,751.1,706.2,41.1
834,666.1,691.2,804.5,720.6,73.7
835,673.3,680.8,746.0,700.0,40.0
836,659.3,710.0,752.0,707.1,46.5
837,681.6,687.2,788.5,719.1,60.2
838,689.6,709.0,739.1,712.6,25.0
839,677.3,694.4,795.4,722.4,63.8
840,674.5,709.9,789.7,724.7,59.0
841,684.4,686.5,769.8,713.6,48.7
842,675.7,682.6,760.4,706.2,47.0
843,695.5,672.0,756.8,708.1,43.8
844,687.8,734.2,767.7,729.9,40.1
845,665.4,699.8,785.0,716.8,61.6
846,673.4,686.2,767.2,708.9,50.9
847,692.5,698.1,774.3,721.7,45.7
848,688.5,686.6,766.8,714.0,45.8
849,682.1,703.1,781.5,722.2,52.4
850,659.8,703.8,767.1,710.2,53.9
851,669.4,706.9,799.2,725.1,66.8
852,683.1,706.1,738.0,709.1,27.5
853,678.1,699.6,757.1,711.6,40.8
854,678.1,692.5,759.0,709.9,43.2
855,687.5,692.6,797.7,725.9,62.2
856,667.2,683.1,781.5,710.6,61.9
857,699.0,714.4,770.2,727.9,37.5
858,693.9,696.1,789.5,726.5,54.6
859,689.1,708.8,783.6,727.2,49.9
860,689.3,694.6,752.7,712.2,35.2
861,677.0,693.4,775.0,715.1,52.5
862,676.3,696.3,793.8,722.1,62.8
863,672.7,687.9,751.1,703.9,41.6
864,694.7,675.3,751.7,707.2,39.7
865,657.3,712.8,761.2,710.4,52.0
866,686.3,700.6,778.8,721.9,49.8
867,693.4,683.0,789.2,721.9,58.5
868,698.8,697.3,762.0,719.4,36.9
869,687.8,701.9,779.8,723.2,49.5
870,679.2,737.7,748.9,721.9,37.4
871,654.3,692.1,783.8,710.1,66.6
872,699.3,703.1,778.1,726.8,44.4
873,689.7,696.4,764.7,716.9,41.5
874,664.2,713.2,776.4,717.9,56.3
875,698.1,696.1,781.9,725.4,49.0
876,679.3,695.8,750.0,708.4,37.0
877,695.5,695.5,798.8,729.9,59.6
878,709.0,690.5,765.2,721.6,38.9
879,696.0,698.0,774.1,722.7,44.5
880,694.6,704.2,763.2,720.7,37.2
881,689.3,685.1,752.8,709.1,38.0
882,694.7,701.5,768.9,721.7,41.0
883,682.7,698.9,760.7,714.1,41.1
884,665.0,739.3,773.6,726.0,55.5
885,707.2,699.5,771.0,725.9,39.2
886,685.0,699.9,787.5,724.1,55.4
887,700.9,702.0,763.6,722.1,35.9
888,705.2,726.7,747.7,726.5,21.2
889,728.8,712.1,754.1,731.7,21.2
890,696.3,713.3,739.6,716.4,21.8
891,697.5,709.7,761.8,723.0,34.2
892,691.7,723.4,764.2,726.5,36.4
893,695.6,692.8,802.0,730.1,62.2
894,679.8,694.5,739.8,704.7,31.3
895,678.0,713.5,753.8,715.1,37.9
896,698.5,708.2,769.3,725.3,38.4
897,690.6,718.1,766.9,725.2,38.6
898,690.7,700.9,785.0,725.5,51.8
899,685.2,714.2,756.7,718.7,35.9
900,715.2,694.1,774.6,728.0,41.7
901,703.4,700.3,787.0,730.2,49.2
902,702.2,693.6,777.4,724.4,46.1
903,696.0,717.3,757.4,723.6,31.2
904,720.9,680.3,763.6,721.6,41.6
905,711.2,683.6,786.9,727.2,53.5
906,681.8,694.7,771.9,716.1,48.7
907,696.4,731.4,752.5,726.8,28.3
908,718.4,725.2,768.7,737.4,27.3
909,703.2,694.1,764.0,720.5,38.0
910,691.5,694.1,760.6,715.4,39.2
911,676.7,709.0,764.6,716.8,44.4
912,705.2,684.7,747.7,712.5,32.1
913,716.9,692.6,771.6,727.0,40.5
914,689.4,712.2,753.6,718.4,32.6
915,695.8,712.3,761.4,723.2,34.1
916,664.0,690.9,762.4,705.8,50.9
917,679.5,714.3,766.5,720.1,43.8
918,675.9,712.8,759.7,716.1,42.0
919,691.7,712.7,752.0,718.8,30.6
920,676.7,710.6,727.7,705.0,26.0
921,686.0,707.3,743.0,712.1,28.8
922,685.5,701.4,753.1,713.4,35.4
923,721.4,687.7,759.0,722.7,35.7
924,729.9,706.4,719.7,718.6,11.8
925,708.0,691.0,744.1,714.4,27.1
926,680.3,669.4,741.1,696.9,38.6
927,683.2,727.1,749.8,720.1,33.9
928,680.7,700.9,716.4,699.3,17.9
929,694.9,692.7,744.1,710.6,29.1
930,695.5,698.9,737.1,710.5,23.1
931,692.5,683.4,717.2,697.7,17.5
932,685.3,697.3,772.6,718.4,47.3
933,664.5,668.6,733.6,688.9,38.7
934,700.4,695.0,719.4,704.9,12.8
935,686.6,699.5,724.7,703.6,19.4
936,705.7,698.3,725.5,709.9,14.0
937,688.5,687.6,709.5,695.2,12.4
938,682.2,698.7,707.8,696.2,12.9
939,705.1,682.5,717.6,701.7,17.8
940,686.8,686.9,706.4,693.4,11.3
941,682.2,683.2,716.8,694.1,19.7
942,677.7,687.1,705.9,690.2,14.4
943,693.9,714.0,714.7,707.5,11.8
944,685.8,696.1,681.2,687.7,7.7
945,672.2,687.8,692.0,684.0,10.4
946,701.2,720.9,694.3,705.4,13.8
947,667.3,693.5,701.4,687.4,17.9
948,703.0,676.5,653.0,677.5,25.0
949,681.6,688.4,689.3,686.4,4.2
950,691.1,713.0,680.5,694.9,16.6
951,688.9,684.6,665.5,679.7,12.5
952,677.7,697.4,676.6,683.9,11.7
953,703.5,673.7,677.6,684.9,16.2
954,655.0,695.5,666.9,672.5,20.8
955,665.8,675.4,656.9,666.1,9.2
956,696.8,673.0,643.9,671.2,26.5
957,671.1,686.4,663.7,673.8,11.6
958,695.8,688.5,655.8,680.0,21.3
959,643.4,676.7,654.6,658.3,16.9
960,669.5,683.3,650.1,667.6,16.7
961,688.8,672.4,660.5,673.9,14.2
962,681.9,687.7,670.1,679.9,9.0
963,680.4,698.2,659.5,679.4,19.4
964,674.5,684.2,660.7,673.1,11.8
965,671.3,681.8,653.6,668.9,14.3
966,653.2,670.4,623.8,649.1,23.6
967,661.3,678.3,645.5,661.7,16.4
968,689.3,671.0,632.3,664.2,29.1
969,671.1,689.5,631.7,664.1,29.5
970,678.0,645.5,647.5,657.0,18.2
971,677.5,666.4,628.6,657.5,25.7
972,646.4,675.3,621.0,647.6,27.1
973,672.2,644.8,616.2,644.4,28.0
974,685.1,678.1,624.4,662.5,33.2
975,695.2,658.7,620.4,658.1,37.4
976,693.6,657.5,633.1,661.4,30.4
977,664.3,666.1,643.4,657.9,12.6
978,653.2,653.1,599.3,635.2,31.1
979,670.2,665.2,619.1,651.5,28.2
980,661.5,653.4,599.0,638.0,34.0
981,671.2,672.3,610.7,651.4,35.3
982,666.3,648.3,588.9,634.5,40.5
983,652.4,658.3,614.7,641.8,23.7
984,677.7,690.2,597.6,655.2,50.2
985,651.2,658.6,613.4,641.1,24.3
986,680.9,646.0,587.4,638.1,47.2
987,655.0,650.1,602.9,636.0,28.7
988,668.7,661.2,593.9,641.3,41.2
989,662.1,666.6,592.3,640.3,41.7
990,667.3,646.7,586.9,633.6,41.7
991,659.2,629.6,573.0,620.6,43.8
992,627.0,656.6,581.6,621.8,37.8
993,648.9,656.5,582.6,629.3,40.6
994,673.9,627.5,573.9,625.1,50.0
995,656.6,655.0,573.3,628.3,47.7
996,626.1,618.6,577.0,607.3,26.4
997,664.0,636.2,579.0,626.4,43.4
998,645.2,641.8,578.5,621.8,37.6
999,672.7,616.0,548.8,612.5,62.0
1000,662.9,639.6,554.3,618.9,57.2
1001,646.4,646.5,555.6,616.2,52.5
1002,650.5,648.8,561.4,620.2,51.0
1003,631.2,623.5,544.1,599.6,48.2
1004,657.0,625.7,541.1,607.9,60.0
1005,621.1,624.1,540.4,595.2,47.5
1006,651.8,602.2,550.3,601.5,50.7
1007,614.8,610.4,540.7,588.6,41.6
1008,602.6,622.9,538.0,587.9,44.4
1009,645.7,613.4,531.1,596.7,59.1
1010,636.1,606.4,533.2,591.9,53.0
1011,658.7,628.4,536.8,608.0,63.5
1012,641.1,610.3,524.9,592.1,60.2
1013,635.5,613.8,521.0,590.1,60.8
1014,618.7,610.5,522.4,583.8,53.4
1015,639.5,602.3,517.0,586.3,62.8
1016,619.0,618.6,499.3,578.9,69.0
1017,637.1,609.6,503.8,583.5,70.4
1018,635.5,603.0,498.7,579.1,71.5
1019,617.5,615.0,503.3,578.6,65.2
1020,640.1,623.5,493.9,585.8,80.1
1021,612.3,572.0,486.4,556.9,64.3
1022,630.7,580.5,495.0,568.8,68.6
1023,628.4,605.4,483.4,572.4,77.9
1024,601.8,593.0,487.3,560.7,63.7
1025,624.2,589.2,482.1,565.2,74.0
1026,636.3,570.2,465.1,557.2,86.4
1027,618.1,582.7,470.9,557.2,76.8
1028,615.1,575.2,460.4,550.2,80.3
1029,620.7,581.0,437.7,546.5,96.3
1030,599.5,562.4,445.4,535.7,80.4
1031,615.4,557.0,443.2,538.5,87.6
1032,603.9,563.0,443.7,536.9,83.3
1033,609.6,576.3,427.0,537.7,97.2
